date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
01-22-2020,555,0,0,0,0,0
01-23-2020,654,18,30,99,18,30
01-24-2020,941,26,36,287,8,6
01-25-2020,2019,56,49,1078,30,13
01-26-2020,2794,80,54,775,24,5
01-27-2020,4473,106,63,1679,26,9
01-28-2020,6057,132,110,1584,26,47
01-29-2020,7783,170,133,1726,38,23
01-30-2020,9776,213,187,1993,43,54
01-31-2020,9926,213,222,150,0,35
02-01-2020,14549,305,340,4623,92,118
02-02-2020,17295,362,487,2746,57,147
02-03-2020,20588,426,644,3293,64,157
02-04-2020,24503,492,899,3915,66,255
02-05-2020,24630,494,1029,127,2,130
02-06-2020,28430,567,1362,3800,73,333
02-07-2020,31532,638,1763,3102,71,401
02-08-2020,35402,732,2376,3870,94,613
02-09-2020,40535,910,3310,5133,178,934
02-10-2020,42767,1013,3949,2232,103,639
02-11-2020,45117,1115,4782,2350,102,833
02-12-2020,60329,1368,5987,15212,253,1205
02-13-2020,64378,1383,6796,4049,15,809
02-14-2020,67077,1525,8190,2699,142,1394
02-15-2020,69187,1669,9563,2110,144,1373
02-16-2020,71331,1775,10993,2144,106,1430
02-17-2020,73334,1873,12743,2003,98,1750
02-18-2020,75198,2010,14561,1864,137,1818
02-19-2020,75724,2126,16393,526,116,1832
02-20-2020,76716,2247,18507,992,121,2114
02-21-2020,77801,2360,20913,1085,113,2406
02-22-2020,78780,2462,23120,979,102,2207
02-23-2020,79363,2619,24993,583,157,1873
02-24-2020,80144,2700,27585,781,81,2592
02-25-2020,81003,2763,30034,859,63,2449
02-26-2020,82175,2800,32809,1172,37,2775
02-27-2020,83393,2858,36517,1218,58,3708
02-28-2020,85208,2922,39423,1815,64,2906
02-29-2020,86982,2978,42152,1774,56,2729
03-01-2020,89068,3044,45111,2086,66,2959
03-02-2020,90954,3116,47988,1886,72,2877
03-03-2020,93127,3202,50693,2173,86,2705
03-04-2020,95531,3285,53234,2404,83,2541
03-05-2020,98353,3386,55371,2822,101,2137
03-06-2020,102134,3492,57367,3781,106,1996
03-07-2020,106098,3597,59780,3964,105,2413
03-08-2020,110051,3827,61939,3953,230,2159
03-09-2020,114427,4024,63803,4376,197,1864
03-10-2020,118828,4286,66002,4401,262,2199
03-11-2020,126107,4614,66586,7279,328,584
03-12-2020,133543,4952,68555,7436,338,1969
03-13-2020,145626,5419,71871,12083,467,3316
03-14-2020,156520,5832,73629,10894,413,1758
03-15-2020,169345,6517,76935,12825,685,3306
03-16-2020,182048,7144,79093,12703,627,2158
03-17-2020,197288,7910,80344,15240,766,1251
03-18-2020,216426,8888,84202,19138,978,3858
03-19-2020,242025,9876,84561,25599,988,359
03-20-2020,273619,11358,86956,31594,1482,2395
03-21-2020,304330,12973,90670,30711,1615,3714
03-22-2020,335457,14595,97389,31127,1622,6719
