date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-01-2020,1,0,0,1,0,0
03-02-2020,1,0,0,0,0,0
03-03-2020,1,0,0,0,0,0
03-04-2020,1,0,0,0,0,0
03-05-2020,1,0,0,0,0,0
03-06-2020,1,0,0,0,0,0
03-07-2020,1,0,0,0,0,0
03-08-2020,1,0,0,0,0,0
03-09-2020,1,0,0,0,0,0
03-10-2020,1,0,0,0,0,0
03-11-2020,1,0,0,0,0,0
03-12-2020,1,0,0,0,0,0
03-13-2020,1,0,0,0,0,0
03-14-2020,18,0,0,17,0,0
03-15-2020,26,0,0,8,0,0
03-16-2020,52,0,0,26,0,0
03-17-2020,78,0,1,26,0,1
03-18-2020,78,0,1,0,0,0
03-19-2020,115,0,1,37,0,0
03-20-2020,136,0,1,21,0,0
03-21-2020,136,0,1,0,0,0
03-22-2020,190,0,2,54,0,1
