date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
02-28-2020,1,0,0,1,0,0
02-29-2020,3,0,0,2,0,0
03-01-2020,3,0,0,0,0,0
03-02-2020,3,0,0,0,0,0
03-03-2020,3,0,0,0,0,0
03-04-2020,3,0,0,0,0,0
03-05-2020,6,0,0,3,0,0
03-06-2020,6,0,0,0,0,0
03-07-2020,9,0,0,3,0,0
03-08-2020,9,0,0,0,0,0
03-09-2020,9,0,0,0,0,0
03-10-2020,11,0,0,2,0,0
03-11-2020,11,0,0,0,0,0
03-12-2020,11,0,0,0,0,0
03-13-2020,15,1,0,4,1,0
03-14-2020,15,1,3,0,0,3
03-15-2020,23,1,6,8,0,3
03-16-2020,25,1,6,2,0,0
03-17-2020,28,1,6,3,0,0
03-18-2020,28,1,6,0,0,0
03-19-2020,28,1,6,0,0,0
03-20-2020,44,1,6,16,0,0
03-21-2020,44,1,6,0,0,0
03-22-2020,65,1,10,21,0,4
