date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
02-24-2020,2,0,0,2,0,0
02-25-2020,23,0,0,21,0,0
02-26-2020,33,0,0,10,0,0
02-27-2020,33,0,0,0,0,0
02-28-2020,38,0,0,5,0,0
02-29-2020,41,0,0,3,0,0
03-01-2020,47,0,0,6,0,0
03-02-2020,49,0,0,2,0,0
03-03-2020,49,0,0,0,0,0
03-04-2020,52,0,0,3,0,0
03-05-2020,55,0,0,3,0,0
03-06-2020,60,0,4,5,0,4
03-07-2020,85,0,4,25,0,0
03-08-2020,85,0,4,0,0,0
03-09-2020,109,0,14,24,0,10
03-10-2020,110,0,14,1,0,0
03-11-2020,195,0,35,85,0,21
03-12-2020,195,0,35,0,0,0
03-13-2020,210,0,35,15,0,0
03-14-2020,210,0,35,0,0,0
03-15-2020,214,0,60,4,0,25
03-16-2020,214,1,77,0,1,17
03-17-2020,228,1,81,14,0,4
03-18-2020,228,1,81,0,0,0
03-19-2020,269,1,100,41,0,19
03-20-2020,285,1,100,16,0,0
03-21-2020,285,1,100,0,0,0
03-22-2020,323,2,149,38,1,49
