date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
02-26-2020,1,0,0,1,0,0
02-27-2020,1,0,0,0,0,0
02-28-2020,1,0,0,0,0,0
02-29-2020,2,0,0,1,0,0
03-01-2020,2,0,0,0,0,0
03-02-2020,2,0,0,0,0,0
03-03-2020,2,0,0,0,0,0
03-04-2020,4,0,0,2,0,0
03-05-2020,8,0,0,4,0,0
03-06-2020,13,0,0,5,0,0
03-07-2020,13,0,0,0,0,0
03-08-2020,20,0,0,7,0,0
03-09-2020,25,0,0,5,0,0
03-10-2020,30,0,0,5,0,0
03-11-2020,52,0,0,22,0,0
03-12-2020,52,0,0,0,0,0
03-13-2020,151,0,0,99,0,0
03-14-2020,151,0,1,0,0,1
03-15-2020,162,0,0,11,0,-1
03-16-2020,200,0,1,38,0,1
03-17-2020,291,1,2,91,1,1
03-18-2020,428,2,2,137,1,0
03-19-2020,635,7,2,207,5,0
03-20-2020,635,7,2,0,0,0
03-21-2020,1128,18,2,493,11,0
03-22-2020,1209,18,2,81,0,0
