date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
01-26-2020,1,0,0,1,0,0
01-27-2020,1,0,0,0,0,0
01-28-2020,2,0,0,1,0,0
01-29-2020,3,0,0,1,0,0
01-30-2020,3,0,0,0,0,0
01-31-2020,3,0,0,0,0,0
02-01-2020,4,0,0,1,0,0
02-02-2020,4,0,0,0,0,0
02-03-2020,4,0,0,0,0,0
02-04-2020,4,0,0,0,0,0
02-05-2020,4,0,0,0,0,0
02-06-2020,5,0,0,1,0,0
02-07-2020,7,0,0,2,0,0
02-08-2020,7,0,0,0,0,0
02-09-2020,7,0,0,0,0,0
02-10-2020,7,0,0,0,0,0
02-11-2020,7,0,0,0,0,0
02-12-2020,7,0,1,0,0,1
02-13-2020,7,0,1,0,0,0
02-14-2020,8,0,1,1,0,0
02-15-2020,8,0,1,0,0,0
02-16-2020,8,0,1,0,0,0
02-17-2020,8,0,1,0,0,0
02-18-2020,8,0,1,0,0,0
02-19-2020,8,0,1,0,0,0
02-20-2020,8,0,1,0,0,0
02-21-2020,8,0,3,0,0,2
02-22-2020,8,0,3,0,0,0
02-23-2020,9,0,4,1,0,1
02-24-2020,11,0,4,2,0,0
02-25-2020,11,0,4,0,0,0
02-26-2020,12,0,4,1,0,0
02-27-2020,13,0,4,1,0,0
02-28-2020,15,0,4,2,0,0
02-29-2020,20,0,6,5,0,2
03-01-2020,24,0,6,4,0,0
03-02-2020,27,0,6,3,0,0
03-03-2020,33,0,6,6,0,0
03-04-2020,33,0,6,0,0,0
03-05-2020,37,0,6,4,0,0
03-06-2020,52,0,6,15,0,0
03-07-2020,60,0,6,8,0,0
03-08-2020,66,0,8,6,0,2
03-09-2020,70,1,8,4,1,0
03-10-2020,97,1,8,27,0,0
03-11-2020,117,1,8,20,0,0
03-12-2020,158,1,8,41,0,0
03-13-2020,200,1,8,42,0,0
03-14-2020,252,1,8,52,0,0
03-15-2020,341,1,9,89,0,1
03-16-2020,441,4,10,100,3,1
03-17-2020,598,8,10,157,4,0
03-18-2020,727,9,11,129,1,1
03-19-2020,727,9,11,0,0,0
03-20-2020,873,12,11,146,3,0
03-21-2020,1330,19,16,457,7,5
03-22-2020,1426,18,18,96,-1,2
