date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
02-14-2020,1,0,0,1,0,0
02-15-2020,1,0,0,0,0,0
02-16-2020,1,0,0,0,0,0
02-17-2020,1,0,0,0,0,0
02-18-2020,1,0,0,0,0,0
02-19-2020,1,0,0,0,0,0
02-20-2020,1,0,0,0,0,0
02-21-2020,1,0,0,0,0,0
02-22-2020,1,0,0,0,0,0
02-23-2020,1,0,0,0,0,0
02-24-2020,1,0,0,0,0,0
02-25-2020,1,0,0,0,0,0
02-26-2020,1,0,0,0,0,0
02-27-2020,1,0,0,0,0,0
02-28-2020,1,0,0,0,0,0
02-29-2020,1,0,0,0,0,0
03-01-2020,2,0,0,1,0,0
03-02-2020,2,0,0,0,0,0
03-03-2020,2,0,0,0,0,0
03-04-2020,2,0,0,0,0,0
03-05-2020,3,0,0,1,0,0
03-06-2020,15,0,0,12,0,0
03-07-2020,15,0,0,0,0,0
03-08-2020,49,1,1,34,1,1
03-09-2020,59,1,12,10,0,11
03-10-2020,59,1,12,0,0,0
03-11-2020,60,1,27,1,0,15
03-12-2020,67,1,27,7,0,0
03-13-2020,80,2,27,13,1,0
03-14-2020,109,2,27,29,0,0
03-15-2020,110,2,21,1,0,-6
03-16-2020,150,2,27,40,0,6
03-17-2020,196,4,32,46,2,5
03-18-2020,196,4,32,0,0,0
03-19-2020,210,6,32,14,2,0
03-20-2020,285,8,39,75,2,7
03-21-2020,285,8,39,0,0,0
03-22-2020,294,10,42,9,2,3
