date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
02-21-2020,1,0,0,1,0,0
02-22-2020,1,0,0,0,0,0
02-23-2020,1,0,0,0,0,0
02-24-2020,2,0,0,1,0,0
02-25-2020,6,0,0,4,0,0
02-26-2020,6,0,0,0,0,0
02-27-2020,7,0,1,1,0,1
02-28-2020,7,0,2,0,0,1
02-29-2020,7,0,2,0,0,0
03-01-2020,10,0,2,3,0,0
03-02-2020,10,0,2,0,0,0
03-03-2020,12,0,2,2,0,0
03-04-2020,15,0,2,3,0,0
03-05-2020,16,0,2,1,0,0
03-06-2020,17,0,2,1,0,0
03-07-2020,21,0,2,4,0,0
03-08-2020,39,0,2,18,0,0
03-09-2020,50,0,4,11,0,2
03-10-2020,58,0,4,8,0,0
03-11-2020,109,0,4,51,0,0
03-12-2020,127,0,4,18,0,0
03-13-2020,161,0,4,34,0,0
03-14-2020,193,0,4,32,0,0
03-15-2020,251,0,4,58,0,0
03-16-2020,298,0,4,47,0,0
03-17-2020,337,0,11,39,0,7
03-18-2020,337,0,11,0,0,0
03-19-2020,529,0,11,192,0,0
