date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
02-27-2020,1,0,0,1,0,0
02-28-2020,1,0,0,0,0,0
02-29-2020,1,0,0,0,0,0
03-01-2020,1,0,0,0,0,0
03-02-2020,1,0,0,0,0,0
03-03-2020,1,0,0,0,0,0
03-04-2020,1,0,0,0,0,0
03-05-2020,1,0,0,0,0,0
03-06-2020,10,0,0,9,0,0
03-07-2020,10,0,0,0,0,0
03-08-2020,10,0,0,0,0,0
03-09-2020,10,0,0,0,0,0
03-10-2020,12,0,0,2,0,0
03-11-2020,13,0,0,1,0,0
03-12-2020,13,0,0,0,0,0
03-13-2020,79,0,0,66,0,0
03-14-2020,115,0,0,36,0,0
03-15-2020,171,0,1,56,0,1
03-16-2020,205,0,1,34,0,0
03-17-2020,225,0,1,20,0,0
03-18-2020,225,0,1,0,0,0
03-19-2020,258,0,1,33,0,0
03-20-2020,283,0,1,25,0,0
03-21-2020,283,0,1,0,0,0
03-22-2020,329,0,2,46,0,1
