date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
01-27-2020,1,0,0,1,0,0
01-28-2020,4,0,0,3,0,0
01-29-2020,4,0,0,0,0,0
01-30-2020,4,0,0,0,0,0
01-31-2020,5,0,0,1,0,0
02-01-2020,8,0,0,3,0,0
02-02-2020,10,0,0,2,0,0
02-03-2020,12,0,0,2,0,0
02-04-2020,12,0,0,0,0,0
02-05-2020,12,0,0,0,0,0
02-06-2020,12,0,0,0,0,0
02-07-2020,13,0,0,1,0,0
02-08-2020,13,0,0,0,0,0
02-09-2020,14,0,0,1,0,0
02-10-2020,14,0,0,0,0,0
02-11-2020,16,0,0,2,0,0
02-12-2020,16,0,0,0,0,0
02-13-2020,16,0,1,0,0,1
02-14-2020,16,0,1,0,0,0
02-15-2020,16,0,1,0,0,0
02-16-2020,16,0,1,0,0,0
02-17-2020,16,0,1,0,0,0
02-18-2020,16,0,7,0,0,6
02-19-2020,16,0,7,0,0,0
02-20-2020,16,0,7,0,0,0
02-21-2020,16,0,7,0,0,0
02-22-2020,16,0,7,0,0,0
02-23-2020,16,0,14,0,0,7
02-24-2020,16,0,14,0,0,0
02-25-2020,18,0,14,2,0,0
02-26-2020,26,0,14,8,0,0
02-27-2020,48,0,14,22,0,0
02-28-2020,70,0,14,22,0,0
02-29-2020,79,0,16,9,0,2
03-01-2020,130,0,16,51,0,0
03-02-2020,181,0,16,51,0,0
03-03-2020,219,0,16,38,0,0
03-04-2020,376,0,16,157,0,0
03-05-2020,560,0,16,184,0,0
03-06-2020,708,0,16,148,0,0
03-07-2020,836,0,16,128,0,0
03-08-2020,1065,0,16,229,0,0
03-09-2020,1224,2,16,159,2,0
03-10-2020,1602,2,16,378,0,0
03-11-2020,1966,3,25,364,1,9
03-12-2020,2754,4,25,788,1,0
03-13-2020,3874,8,46,1120,4,21
03-14-2020,4585,9,46,711,1,0
03-15-2020,5864,13,46,1279,4,0
03-16-2020,7272,17,67,1408,4,21
03-17-2020,9257,24,67,1985,7,0
03-18-2020,12327,28,105,3070,4,38
03-19-2020,15320,44,113,2993,16,8
03-20-2020,19711,53,180,4391,9,67
03-21-2020,22333,73,240,2622,20,60
03-22-2020,25247,83,240,2914,10,0
