date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
02-26-2020,1,0,0,1,0,0
02-27-2020,3,0,0,2,0,0
02-28-2020,4,0,0,1,0,0
02-29-2020,4,0,0,0,0,0
03-01-2020,7,0,0,3,0,0
03-02-2020,7,0,0,0,0,0
03-03-2020,7,0,0,0,0,0
03-04-2020,8,0,0,1,0,0
03-05-2020,31,0,0,23,0,0
03-06-2020,45,0,0,14,0,0
03-07-2020,66,0,0,21,0,0
03-08-2020,73,0,0,7,0,0
03-09-2020,73,0,0,0,0,0
03-10-2020,89,0,0,16,0,0
03-11-2020,99,1,0,10,1,0
03-12-2020,99,1,0,0,0,0
03-13-2020,190,1,0,91,0,0
03-14-2020,228,3,0,38,2,0
03-15-2020,331,4,8,103,1,8
03-16-2020,352,4,8,21,0,0
03-17-2020,387,5,8,35,1,0
03-18-2020,414,5,8,27,0,0
03-19-2020,464,6,8,50,1,0
03-20-2020,464,6,8,0,0,0
03-21-2020,530,13,19,66,7,11
03-22-2020,624,15,21,94,2,2
