date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
01-23-2020,2,0,0,2,0,0
01-24-2020,2,0,0,0,0,0
01-25-2020,5,0,0,3,0,0
01-26-2020,8,0,0,3,0,0
01-27-2020,8,0,0,0,0,0
01-28-2020,8,0,0,0,0,0
01-29-2020,10,0,0,2,0,0
01-30-2020,12,0,0,2,0,0
01-31-2020,12,0,0,0,0,0
02-01-2020,14,0,0,2,0,0
02-02-2020,15,0,0,1,0,0
02-03-2020,15,0,0,0,0,0
02-04-2020,18,1,0,3,1,0
02-05-2020,21,1,0,3,0,0
02-06-2020,24,1,0,3,0,0
02-07-2020,25,1,0,1,0,0
02-08-2020,26,1,0,1,0,0
02-09-2020,36,1,0,10,0,0
02-10-2020,38,1,0,2,0,0
02-11-2020,49,1,0,11,0,0
02-12-2020,50,1,1,1,0,1
02-13-2020,53,1,1,3,0,0
02-14-2020,56,1,1,3,0,0
02-15-2020,56,1,1,0,0,0
02-16-2020,57,1,2,1,0,1
02-17-2020,60,1,2,3,0,0
02-18-2020,62,2,4,2,1,2
02-19-2020,65,2,5,3,0,1
02-20-2020,68,2,5,3,0,0
02-21-2020,68,2,6,0,0,1
02-22-2020,69,2,11,1,0,5
02-23-2020,74,2,11,5,0,0
02-24-2020,81,2,19,7,0,8
02-25-2020,85,2,18,4,0,-1
02-26-2020,91,2,24,6,0,6
02-27-2020,93,2,26,2,0,2
02-28-2020,94,2,30,1,0,4
02-29-2020,95,2,33,1,0,3
03-01-2020,98,2,36,3,0,3
03-02-2020,100,2,36,2,0,0
03-03-2020,100,2,37,0,0,1
03-04-2020,104,2,43,4,0,6
03-05-2020,105,2,46,1,0,3
03-06-2020,107,2,51,2,0,5
03-07-2020,109,2,55,2,0,4
03-08-2020,114,3,59,5,1,4
03-09-2020,115,3,60,1,0,1
03-10-2020,120,3,60,5,0,0
03-11-2020,126,3,65,6,0,5
03-12-2020,131,3,67,5,0,2
03-13-2020,131,3,67,0,0,0
03-14-2020,141,4,81,10,1,14
03-15-2020,148,4,84,7,0,3
03-16-2020,157,4,88,9,0,4
03-17-2020,157,4,88,0,0,0
03-18-2020,192,4,95,35,0,7
03-19-2020,192,4,95,0,0,0
03-20-2020,256,4,98,64,0,3
03-21-2020,256,4,98,0,0,0
03-22-2020,317,4,100,61,0,2
