date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
02-28-2020,1,0,0,1,0,0
02-29-2020,1,0,0,0,0,0
03-01-2020,3,0,0,2,0,0
03-02-2020,9,0,0,6,0,0
03-03-2020,11,0,0,2,0,0
03-04-2020,26,0,0,15,0,0
03-05-2020,34,0,0,8,0,0
03-06-2020,43,0,0,9,0,0
03-07-2020,50,0,0,7,0,0
03-08-2020,50,0,0,0,0,0
03-09-2020,65,0,1,15,0,1
03-10-2020,69,0,1,4,0,0
03-11-2020,85,0,1,16,0,0
03-12-2020,85,0,1,0,0,0
03-13-2020,134,0,1,49,0,0
03-14-2020,156,0,1,22,0,0
03-15-2020,171,5,8,15,5,7
03-16-2020,180,0,0,9,-5,-8
03-17-2020,220,1,0,40,1,0
03-18-2020,220,1,0,0,0,0
03-19-2020,251,1,5,31,0,5
03-20-2020,409,0,5,158,-1,0
03-21-2020,473,1,22,64,1,17
03-22-2020,568,1,36,95,0,14
