date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
02-25-2020,5,0,0,5,0,0
02-26-2020,5,0,0,0,0,0
02-27-2020,7,0,0,2,0,0
02-28-2020,8,0,0,1,0,0
02-29-2020,13,0,0,5,0,0
03-01-2020,19,0,0,6,0,0
03-02-2020,26,0,0,7,0,0
03-03-2020,32,0,0,6,0,0
03-04-2020,35,2,0,3,2,0
03-05-2020,35,2,0,0,0,0
03-06-2020,40,2,0,5,0,0
03-07-2020,54,4,0,14,2,0
03-08-2020,60,6,0,6,2,0
03-09-2020,71,7,9,11,1,9
03-10-2020,71,7,9,0,0,0
03-11-2020,71,7,15,0,0,6
03-12-2020,71,8,15,0,1,0
03-13-2020,101,9,24,30,1,9
03-14-2020,110,10,26,9,1,2
03-15-2020,116,10,26,6,0,0
03-16-2020,124,10,26,8,0,0
03-17-2020,154,11,32,30,1,6
03-18-2020,154,11,32,0,0,0
03-19-2020,164,12,43,10,1,11
03-20-2020,208,17,49,44,5,6
03-21-2020,208,17,49,0,0,0
03-22-2020,233,20,57,25,3,8
