date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
02-29-2020,1,0,0,1,0,0
03-01-2020,1,0,0,0,0,0
03-02-2020,1,0,0,0,0,0
03-03-2020,2,0,0,1,0,0
03-04-2020,2,0,0,0,0,0
03-05-2020,6,0,0,4,0,0
03-06-2020,13,0,0,7,0,0
03-07-2020,18,0,0,5,0,0
03-08-2020,21,0,0,3,0,0
03-09-2020,24,0,0,3,0,0
03-10-2020,24,0,0,0,0,0
03-11-2020,43,1,0,19,1,0
03-12-2020,43,1,0,0,0,0
03-13-2020,90,1,0,47,0,0
03-14-2020,129,2,0,39,1,0
03-15-2020,129,2,0,0,0,0
03-16-2020,169,2,0,40,0,0
03-17-2020,223,2,5,54,0,5
03-18-2020,223,2,5,0,0,0
03-19-2020,366,2,5,143,0,0
03-20-2020,683,3,5,317,1,0
03-21-2020,683,3,5,0,0,0
03-22-2020,785,3,5,102,0,0
