date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
01-30-2020,2,0,0,2,0,0
01-31-2020,2,0,0,0,0,0
02-01-2020,2,0,0,0,0,0
02-02-2020,2,0,0,0,0,0
02-03-2020,2,0,0,0,0,0
02-04-2020,2,0,0,0,0,0
02-05-2020,2,0,0,0,0,0
02-06-2020,2,0,0,0,0,0
02-07-2020,3,0,0,1,0,0
02-08-2020,3,0,0,0,0,0
02-09-2020,3,0,0,0,0,0
02-10-2020,3,0,0,0,0,0
02-11-2020,3,0,0,0,0,0
02-12-2020,3,0,0,0,0,0
02-13-2020,3,0,0,0,0,0
02-14-2020,3,0,0,0,0,0
02-15-2020,3,0,0,0,0,0
02-16-2020,3,0,0,0,0,0
02-17-2020,3,0,0,0,0,0
02-18-2020,3,0,0,0,0,0
02-19-2020,3,0,0,0,0,0
02-20-2020,3,0,0,0,0,0
02-21-2020,20,1,0,17,1,0
02-22-2020,79,2,1,59,1,1
02-23-2020,157,3,2,78,1,1
02-24-2020,229,7,1,72,4,-1
02-25-2020,323,11,1,94,4,0
02-26-2020,470,12,3,147,1,2
02-27-2020,655,17,45,185,5,42
02-28-2020,889,21,46,234,4,1
02-29-2020,1128,29,46,239,8,0
03-01-2020,1694,34,83,566,5,37
03-02-2020,2036,52,149,342,18,66
03-03-2020,2502,79,160,466,27,11
03-04-2020,3089,107,276,587,28,116
03-05-2020,3858,148,414,769,41,138
03-06-2020,4636,197,523,778,49,109
03-07-2020,5883,233,589,1247,36,66
03-08-2020,7375,366,622,1492,133,33
03-09-2020,9172,463,724,1797,97,102
03-10-2020,10149,631,1004,977,168,280
03-11-2020,12462,827,1045,2313,196,41
03-12-2020,15113,1016,1258,2651,189,213
03-13-2020,17660,1266,1439,2547,250,181
03-14-2020,21157,1441,1966,3497,175,527
03-15-2020,24747,1809,2335,3590,368,369
03-16-2020,27980,2158,2749,3233,349,414
03-17-2020,31506,2503,2749,3526,345,0
03-18-2020,35713,2978,4205,4207,475,1456
03-19-2020,41035,3405,4440,5322,427,235
03-20-2020,47021,4032,4440,5986,627,0
03-21-2020,53578,4825,6072,6557,793,1632
03-22-2020,59138,5476,7024,5560,651,952
