date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
02-06-2020,45,0,1,45,0,1
02-07-2020,106,0,1,61,0,0
02-08-2020,106,0,1,0,0,0
02-09-2020,109,0,1,3,0,0
02-10-2020,180,0,1,71,0,0
02-11-2020,180,0,1,0,0,0
02-12-2020,220,0,1,40,0,0
02-13-2020,220,0,1,0,0,0
02-14-2020,263,0,1,43,0,0
02-15-2020,330,0,1,67,0,0
02-16-2020,400,0,1,70,0,0
02-17-2020,499,0,1,99,0,0
02-18-2020,587,0,1,88,0,0
02-19-2020,666,0,1,79,0,0
02-20-2020,679,2,1,13,2,0
02-21-2020,679,2,1,0,0,0
02-22-2020,679,2,1,0,0,0
02-23-2020,736,3,1,57,1,0
02-24-2020,736,3,1,0,0,0
02-25-2020,736,3,1,0,0,0
02-26-2020,750,4,1,14,1,0
02-27-2020,750,4,1,0,0,0
02-28-2020,750,6,11,0,2,10
02-29-2020,750,6,11,0,0,0
03-01-2020,750,6,11,0,0,0
03-02-2020,751,6,11,1,0,0
03-03-2020,751,6,11,0,0,0
03-04-2020,751,6,11,0,0,0
03-05-2020,751,6,11,0,0,0
03-06-2020,751,6,11,0,0,0
03-07-2020,751,6,11,0,0,0
03-08-2020,751,6,11,0,0,0
03-09-2020,751,6,11,0,0,0
03-10-2020,751,6,11,0,0,0
03-11-2020,751,6,11,0,0,0
03-12-2020,751,6,11,0,0,0
03-13-2020,751,6,11,0,0,0
03-14-2020,751,6,11,0,0,0
03-15-2020,751,6,11,0,0,0
03-16-2020,751,6,11,0,0,0
03-17-2020,751,6,11,0,0,0
03-18-2020,751,6,11,0,0,0
03-19-2020,751,6,11,0,0,0
03-20-2020,751,6,11,0,0,0
03-21-2020,751,6,11,0,0,0
03-22-2020,751,6,11,0,0,0
