date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-03-2020,1,0,0,1,0,0
03-04-2020,1,0,0,0,0,0
03-05-2020,1,0,0,0,0,0
03-06-2020,1,0,0,0,0,0
03-07-2020,1,0,0,0,0,0
03-08-2020,1,0,0,0,0,0
03-09-2020,1,0,0,0,0,0
03-10-2020,1,0,0,0,0,0
03-11-2020,1,0,0,0,0,0
03-12-2020,1,0,0,0,0,0
03-13-2020,1,0,0,0,0,0
03-14-2020,4,0,0,3,0,0
03-15-2020,4,0,0,0,0,0
03-16-2020,4,0,0,0,0,0
03-17-2020,4,0,0,0,0,0
03-18-2020,4,0,0,0,0,0
03-19-2020,4,0,0,0,0,0
03-20-2020,28,0,0,24,0,0
03-21-2020,28,0,0,0,0,0
03-22-2020,37,0,0,9,0,0
