date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
02-28-2020,1,0,0,1,0,0
02-29-2020,1,0,0,0,0,0
03-01-2020,1,0,0,0,0,0
03-02-2020,1,0,0,0,0,0
03-03-2020,1,0,0,0,0,0
03-04-2020,1,0,0,0,0,0
03-05-2020,1,0,0,0,0,0
03-06-2020,1,0,0,0,0,0
03-07-2020,1,0,0,0,0,0
03-08-2020,1,0,0,0,0,0
03-09-2020,1,0,0,0,0,0
03-10-2020,1,0,0,0,0,0
03-11-2020,3,0,0,2,0,0
03-12-2020,3,0,0,0,0,0
03-13-2020,3,0,0,0,0,0
03-14-2020,8,0,0,5,0,0
03-15-2020,12,0,1,4,0,1
03-16-2020,17,0,1,5,0,0
03-17-2020,25,0,1,8,0,0
03-18-2020,25,0,1,0,0,0
03-19-2020,25,0,1,0,0,0
03-20-2020,49,0,1,24,0,0
03-21-2020,49,0,1,0,0,0
03-22-2020,131,1,1,82,1,0
