date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
02-28-2020,2,0,0,2,0,0
02-29-2020,4,0,0,2,0,0
03-01-2020,5,0,0,1,0,0
03-02-2020,5,0,0,0,0,0
03-03-2020,5,0,0,0,0,0
03-04-2020,5,0,0,0,0,0
03-05-2020,5,0,0,0,0,0
03-06-2020,6,0,0,1,0,0
03-07-2020,6,0,0,0,0,0
03-08-2020,7,0,0,1,0,0
03-09-2020,7,0,0,0,0,0
03-10-2020,7,0,0,0,0,0
03-11-2020,7,0,0,0,0,0
03-12-2020,7,0,0,0,0,0
03-13-2020,15,0,0,8,0,0
03-14-2020,26,0,4,11,0,4
03-15-2020,43,0,4,17,0,0
03-16-2020,53,0,4,10,0,0
03-17-2020,82,0,4,29,0,0
03-18-2020,82,0,4,0,0,0
03-19-2020,118,1,4,36,1,0
03-20-2020,164,1,4,46,0,0
03-21-2020,164,1,4,0,0,0
03-22-2020,251,2,4,87,1,0
