date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
02-27-2020,1,0,0,1,0,0
02-28-2020,2,0,0,1,0,0
02-29-2020,6,0,0,4,0,0
03-01-2020,10,0,0,4,0,0
03-02-2020,18,0,0,8,0,0
03-03-2020,24,0,0,6,0,0
03-04-2020,38,0,0,14,0,0
03-05-2020,82,0,0,44,0,0
03-06-2020,128,1,1,46,1,1
03-07-2020,188,1,1,60,0,0
03-08-2020,265,3,1,77,2,0
03-09-2020,321,3,1,56,0,0
03-10-2020,382,4,1,61,1,0
03-11-2020,503,5,0,121,1,-1
03-12-2020,614,5,0,111,0,0
03-13-2020,804,5,0,190,0,0
03-14-2020,959,12,2,155,7,2
03-15-2020,1136,20,2,177,8,0
03-16-2020,1414,24,2,278,4,0
03-17-2020,1708,43,2,294,19,0
03-18-2020,2056,59,2,348,16,0
03-19-2020,2467,77,2,411,18,0
03-20-2020,3003,107,2,536,30,0
03-21-2020,3631,136,2,628,29,0
03-22-2020,4216,180,2,585,44,0
