date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
02-26-2020,1,0,0,1,0,0
02-27-2020,1,0,0,0,0,0
02-28-2020,6,0,0,5,0,0
02-29-2020,15,0,0,9,0,0
03-01-2020,19,0,0,4,0,0
03-02-2020,25,0,0,6,0,0
03-03-2020,32,0,0,7,0,0
03-04-2020,56,0,0,24,0,0
03-05-2020,91,0,0,35,0,0
03-06-2020,108,0,0,17,0,0
03-07-2020,156,0,0,48,0,0
03-08-2020,167,0,0,11,0,0
03-09-2020,227,0,0,60,0,0
03-10-2020,400,0,1,173,0,1
03-11-2020,629,0,1,229,0,0
03-12-2020,702,0,1,73,0,0
03-13-2020,996,1,1,294,1,0
03-14-2020,1090,3,1,94,2,0
03-15-2020,1256,3,1,166,0,0
03-16-2020,1347,3,1,91,0,0
03-17-2020,1463,3,1,116,0,0
03-18-2020,1577,6,1,114,3,0
03-19-2020,1781,7,1,204,1,0
03-20-2020,1914,7,1,133,0,0
03-21-2020,2118,7,1,204,0,0
03-22-2020,2257,7,1,139,0,0
