date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-02-2020,2,0,0,2,0,0
03-03-2020,4,0,0,2,0,0
03-04-2020,5,0,0,1,0,0
03-05-2020,8,0,0,3,0,0
03-06-2020,9,0,0,1,0,0
03-07-2020,13,0,0,4,0,0
03-08-2020,30,0,0,17,0,0
03-09-2020,30,0,0,0,0,0
03-10-2020,41,0,0,11,0,0
03-11-2020,59,0,0,18,0,0
03-12-2020,59,0,0,0,0,0
03-13-2020,112,0,1,53,0,1
03-14-2020,169,0,2,57,0,1
03-15-2020,245,0,2,76,0,0
03-16-2020,331,0,3,86,0,1
03-17-2020,448,1,3,117,1,0
03-18-2020,448,1,3,0,0,0
03-19-2020,785,3,3,337,2,0
03-20-2020,1020,6,5,235,3,2
03-21-2020,1280,12,5,260,6,0
03-22-2020,1600,14,5,320,2,0
