date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-02-2020,1,0,0,1,0,0
03-03-2020,1,0,0,0,0,0
03-04-2020,2,0,0,1,0,0
03-05-2020,5,0,0,3,0,0
03-06-2020,5,0,0,0,0,0
03-07-2020,5,0,0,0,0,0
03-08-2020,11,0,0,6,0,0
03-09-2020,20,0,1,9,0,1
03-10-2020,20,0,1,0,0,0
03-11-2020,45,0,1,25,0,0
03-12-2020,45,0,1,0,0,0
03-13-2020,86,0,1,41,0,0
03-14-2020,86,0,1,0,0,0
03-15-2020,118,0,2,32,0,1
03-16-2020,118,0,2,0,0,0
03-17-2020,171,0,6,53,0,4
03-18-2020,171,0,6,0,0,0
03-19-2020,238,0,6,67,0,0
03-20-2020,344,0,8,106,0,2
03-21-2020,392,0,16,48,0,8
03-22-2020,511,0,16,119,0,0
