date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-02-2020,1,0,0,1,0,0
03-03-2020,2,0,0,1,0,0
03-04-2020,4,0,0,2,0,0
03-05-2020,4,0,0,0,0,0
03-06-2020,4,0,0,0,0,0
03-07-2020,4,0,0,0,0,0
03-08-2020,4,0,0,0,0,0
03-09-2020,4,0,0,0,0,0
03-10-2020,4,0,0,0,0,0
03-11-2020,4,0,0,0,0,0
03-12-2020,4,0,0,0,0,0
03-13-2020,4,0,0,0,0,0
03-14-2020,10,0,0,6,0,0
03-15-2020,24,0,2,14,0,2
03-16-2020,24,0,2,0,0,0
03-17-2020,26,0,2,2,0,0
03-18-2020,26,0,2,0,0,0
03-19-2020,26,0,2,0,0,0
03-20-2020,47,0,5,21,0,3
03-21-2020,47,0,5,0,0,0
03-22-2020,56,0,5,9,0,0
