date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
01-23-2020,1,0,0,1,0,0
01-24-2020,3,0,0,2,0,0
01-25-2020,3,0,0,0,0,0
01-26-2020,4,0,0,1,0,0
01-27-2020,5,0,0,1,0,0
01-28-2020,7,0,0,2,0,0
01-29-2020,10,0,0,3,0,0
01-30-2020,10,0,0,0,0,0
01-31-2020,13,0,0,3,0,0
02-01-2020,18,0,0,5,0,0
02-02-2020,18,0,0,0,0,0
02-03-2020,18,0,0,0,0,0
02-04-2020,24,0,0,6,0,0
02-05-2020,28,0,0,4,0,0
02-06-2020,28,0,0,0,0,0
02-07-2020,30,0,0,2,0,0
02-08-2020,40,0,2,10,0,2
02-09-2020,43,0,2,3,0,0
02-10-2020,45,0,2,2,0,0
02-11-2020,47,0,9,2,0,7
02-12-2020,50,0,15,3,0,6
02-13-2020,58,0,15,8,0,0
02-14-2020,67,0,17,9,0,2
02-15-2020,72,0,18,5,0,1
02-16-2020,75,0,19,3,0,1
02-17-2020,77,0,24,2,0,5
02-18-2020,81,0,29,4,0,5
02-19-2020,84,0,34,3,0,5
02-20-2020,84,0,34,0,0,0
02-21-2020,85,0,37,1,0,3
02-22-2020,89,0,49,4,0,12
02-23-2020,89,0,51,0,0,2
02-24-2020,90,0,53,1,0,2
02-25-2020,90,0,53,0,0,0
02-26-2020,93,0,62,3,0,9
02-27-2020,96,0,66,3,0,4
02-28-2020,96,0,66,0,0,0
02-29-2020,102,0,72,6,0,6
03-01-2020,106,0,74,4,0,2
03-02-2020,108,0,78,2,0,4
03-03-2020,110,0,78,2,0,0
03-04-2020,110,0,78,0,0,0
03-05-2020,117,0,81,7,0,3
03-06-2020,130,0,82,13,0,1
03-07-2020,138,0,82,8,0,0
03-08-2020,150,0,82,12,0,0
03-09-2020,160,0,93,10,0,11
03-10-2020,160,0,93,0,0,0
03-11-2020,178,0,96,18,0,3
03-12-2020,187,0,96,9,0,0
03-13-2020,200,0,97,13,0,1
03-14-2020,212,0,105,12,0,8
03-15-2020,226,0,105,14,0,0
03-16-2020,243,0,109,17,0,4
03-17-2020,266,0,114,23,0,5
03-18-2020,266,0,114,0,0,0
03-19-2020,313,0,114,47,0,0
03-20-2020,385,0,131,72,0,17
03-21-2020,432,2,140,47,2,9
03-22-2020,455,2,144,23,0,4
