date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
01-27-2020,1,0,0,1,0,0
01-28-2020,1,0,0,0,0,0
01-29-2020,1,0,0,0,0,0
01-30-2020,1,0,0,0,0,0
01-31-2020,1,0,0,0,0,0
02-01-2020,1,0,0,0,0,0
02-02-2020,1,0,0,0,0,0
02-03-2020,1,0,0,0,0,0
02-04-2020,1,0,0,0,0,0
02-05-2020,1,0,0,0,0,0
02-06-2020,1,0,0,0,0,0
02-07-2020,1,0,0,0,0,0
02-08-2020,1,0,1,0,0,1
02-09-2020,1,0,1,0,0,0
02-10-2020,1,0,1,0,0,0
02-11-2020,1,0,1,0,0,0
02-12-2020,1,0,1,0,0,0
02-13-2020,1,0,1,0,0,0
02-14-2020,1,0,1,0,0,0
02-15-2020,1,0,1,0,0,0
02-16-2020,1,0,1,0,0,0
02-17-2020,1,0,1,0,0,0
02-18-2020,1,0,1,0,0,0
02-19-2020,1,0,1,0,0,0
02-20-2020,1,0,1,0,0,0
02-21-2020,1,0,1,0,0,0
02-22-2020,1,0,1,0,0,0
02-23-2020,1,0,1,0,0,0
02-24-2020,1,0,1,0,0,0
02-25-2020,1,0,1,0,0,0
02-26-2020,1,0,1,0,0,0
02-27-2020,1,0,1,0,0,0
02-28-2020,1,0,1,0,0,0
02-29-2020,1,0,1,0,0,0
03-01-2020,1,0,1,0,0,0
03-02-2020,1,0,1,0,0,0
03-03-2020,1,0,1,0,0,0
03-04-2020,1,0,1,0,0,0
03-05-2020,1,0,1,0,0,0
03-06-2020,1,0,1,0,0,0
03-07-2020,1,0,1,0,0,0
03-08-2020,1,0,1,0,0,0
03-09-2020,1,0,1,0,0,0
03-10-2020,1,0,1,0,0,0
03-11-2020,2,0,1,1,0,0
03-12-2020,2,0,1,0,0,0
03-13-2020,2,0,1,0,0,0
03-14-2020,10,0,1,8,0,0
03-15-2020,18,0,1,8,0,0
03-16-2020,28,0,1,10,0,0
03-17-2020,44,0,1,16,0,0
03-18-2020,44,0,1,0,0,0
03-19-2020,57,0,3,13,0,2
03-20-2020,73,0,3,16,0,0
03-21-2020,73,0,3,0,0,0
03-22-2020,82,0,3,9,0,0
