date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
01-31-2020,1,0,0,1,0,0
02-01-2020,1,0,0,0,0,0
02-02-2020,1,0,0,0,0,0
02-03-2020,1,0,0,0,0,0
02-04-2020,1,0,0,0,0,0
02-05-2020,1,0,0,0,0,0
02-06-2020,1,0,0,0,0,0
02-07-2020,1,0,0,0,0,0
02-08-2020,1,0,0,0,0,0
02-09-2020,1,0,0,0,0,0
02-10-2020,1,0,0,0,0,0
02-11-2020,1,0,0,0,0,0
02-12-2020,1,0,0,0,0,0
02-13-2020,1,0,0,0,0,0
02-14-2020,1,0,0,0,0,0
02-15-2020,1,0,0,0,0,0
02-16-2020,1,0,0,0,0,0
02-17-2020,1,0,0,0,0,0
02-18-2020,1,0,0,0,0,0
02-19-2020,1,0,0,0,0,0
02-20-2020,1,0,0,0,0,0
02-21-2020,1,0,0,0,0,0
02-22-2020,1,0,0,0,0,0
02-23-2020,1,0,0,0,0,0
02-24-2020,1,0,0,0,0,0
02-25-2020,1,0,0,0,0,0
02-26-2020,2,0,0,1,0,0
02-27-2020,7,0,0,5,0,0
02-28-2020,11,0,0,4,0,0
02-29-2020,13,0,0,2,0,0
03-01-2020,14,0,0,1,0,0
03-02-2020,15,0,0,1,0,0
03-03-2020,21,0,0,6,0,0
03-04-2020,52,0,0,31,0,0
03-05-2020,94,0,0,42,0,0
03-06-2020,101,0,0,7,0,0
03-07-2020,161,0,0,60,0,0
03-08-2020,203,0,0,42,0,0
03-09-2020,261,0,1,58,0,1
03-10-2020,355,0,1,94,0,0
03-11-2020,500,1,1,145,1,0
03-12-2020,635,1,1,135,0,0
03-13-2020,814,1,1,179,0,0
03-14-2020,961,2,1,147,1,0
03-15-2020,1032,3,1,71,1,0
03-16-2020,1121,7,1,89,4,0
03-17-2020,1190,7,1,69,0,0
03-18-2020,1279,10,1,89,3,0
03-19-2020,1439,11,16,160,1,15
03-20-2020,1639,16,16,200,5,0
03-21-2020,1763,20,16,124,4,0
03-22-2020,1934,21,16,171,1,0
