date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
01-22-2020,1,0,0,1,0,0
01-23-2020,1,0,0,0,0,0
01-24-2020,3,0,0,2,0,0
01-25-2020,3,0,0,0,0,0
01-26-2020,4,0,0,1,0,0
01-27-2020,5,0,0,1,0,0
01-28-2020,8,0,0,3,0,0
01-29-2020,8,0,0,0,0,0
01-30-2020,9,0,0,1,0,0
01-31-2020,10,0,0,1,0,0
02-01-2020,10,0,0,0,0,0
02-02-2020,10,0,0,0,0,0
02-03-2020,10,0,0,0,0,0
02-04-2020,11,0,0,1,0,0
02-05-2020,11,0,0,0,0,0
02-06-2020,16,0,1,5,0,1
02-07-2020,16,0,1,0,0,0
02-08-2020,17,0,1,1,0,0
02-09-2020,18,0,1,1,0,0
02-10-2020,18,0,1,0,0,0
02-11-2020,18,0,1,0,0,0
02-12-2020,18,0,1,0,0,0
02-13-2020,18,0,1,0,0,0
02-14-2020,18,0,1,0,0,0
02-15-2020,18,0,1,0,0,0
02-16-2020,20,1,2,2,1,1
02-17-2020,22,1,2,2,0,0
02-18-2020,22,1,2,0,0,0
02-19-2020,24,1,2,2,0,0
02-20-2020,24,1,2,0,0,0
02-21-2020,26,1,2,2,0,0
02-22-2020,26,1,2,0,0,0
02-23-2020,28,1,2,2,0,0
02-24-2020,30,1,5,2,0,3
02-25-2020,31,1,5,1,0,0
02-26-2020,32,1,5,1,0,0
02-27-2020,32,1,6,0,0,1
02-28-2020,34,1,9,2,0,3
02-29-2020,39,1,9,5,0,0
03-01-2020,41,1,12,2,0,3
03-02-2020,41,1,12,0,0,0
03-03-2020,42,1,12,1,0,0
03-04-2020,42,1,12,0,0,0
03-05-2020,44,1,12,2,0,0
03-06-2020,45,1,12,1,0,0
03-07-2020,45,1,12,0,0,0
03-08-2020,45,1,15,0,0,3
03-09-2020,45,1,15,0,0,0
03-10-2020,47,1,17,2,0,2
03-11-2020,48,1,17,1,0,0
03-12-2020,49,1,17,1,0,0
03-13-2020,50,1,20,1,0,3
03-14-2020,53,1,20,3,0,0
03-15-2020,59,1,20,6,0,0
03-16-2020,67,1,22,8,0,2
03-17-2020,67,1,22,0,0,0
03-18-2020,100,1,22,33,0,0
03-19-2020,100,1,22,0,0,0
03-20-2020,135,1,26,35,0,4
03-21-2020,135,1,26,0,0,0
03-22-2020,169,2,28,34,1,2
