date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
03-03-2020,1,0,0,1,0,0
03-04-2020,1,0,0,0,0,0
03-05-2020,1,0,0,0,0,0
03-06-2020,1,0,0,0,0,0
03-07-2020,1,0,0,0,0,0
03-08-2020,1,0,0,0,0,0
03-09-2020,1,0,0,0,0,0
03-10-2020,1,0,0,0,0,0
03-11-2020,1,0,0,0,0,0
03-12-2020,1,0,0,0,0,0
03-13-2020,3,1,0,2,1,0
03-14-2020,3,1,0,0,0,0
03-15-2020,3,1,0,0,0,0
03-16-2020,7,1,0,4,0,0
03-17-2020,14,2,0,7,1,0
03-18-2020,14,2,0,0,0,0
03-19-2020,14,2,0,0,0,0
03-20-2020,41,3,0,27,1,0
03-21-2020,41,3,0,0,0,0
03-22-2020,47,3,1,6,0,1
