date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
01-29-2020,4,0,0,4,0,0
01-30-2020,4,0,0,0,0,0
01-31-2020,4,0,0,0,0,0
02-01-2020,4,0,0,0,0,0
02-02-2020,5,0,0,1,0,0
02-03-2020,5,0,0,0,0,0
02-04-2020,5,0,0,0,0,0
02-05-2020,5,0,0,0,0,0
02-06-2020,5,0,0,0,0,0
02-07-2020,5,0,0,0,0,0
02-08-2020,7,0,0,2,0,0
02-09-2020,7,0,0,0,0,0
02-10-2020,8,0,0,1,0,0
02-11-2020,8,0,1,0,0,1
02-12-2020,8,0,1,0,0,0
02-13-2020,8,0,1,0,0,0
02-14-2020,8,0,1,0,0,0
02-15-2020,8,0,4,0,0,3
02-16-2020,9,0,4,1,0,0
02-17-2020,9,0,4,0,0,0
02-18-2020,9,0,4,0,0,0
02-19-2020,9,0,4,0,0,0
02-20-2020,9,0,4,0,0,0
02-21-2020,11,0,4,2,0,0
02-22-2020,13,0,4,2,0,0
02-23-2020,13,0,4,0,0,0
02-24-2020,13,0,4,0,0,0
02-25-2020,13,0,4,0,0,0
02-26-2020,13,0,4,0,0,0
02-27-2020,19,0,5,6,0,1
02-28-2020,19,0,5,0,0,0
02-29-2020,21,0,5,2,0,0
03-01-2020,21,0,5,0,0,0
03-02-2020,21,0,5,0,0,0
03-03-2020,21,0,5,0,0,0
03-04-2020,27,0,5,6,0,0
03-05-2020,29,0,5,2,0,0
03-06-2020,29,0,5,0,0,0
03-07-2020,45,0,7,16,0,2
03-08-2020,45,0,7,0,0,0
03-09-2020,59,0,7,14,0,0
03-10-2020,74,0,7,15,0,0
03-11-2020,74,0,17,0,0,10
03-12-2020,74,0,17,0,0,0
03-13-2020,85,0,17,11,0,0
03-14-2020,85,0,17,0,0,0
03-15-2020,98,0,23,13,0,6
03-16-2020,98,0,23,0,0,0
03-17-2020,98,0,23,0,0,0
03-18-2020,98,0,23,0,0,0
03-19-2020,113,0,26,15,0,3
03-20-2020,140,2,31,27,2,5
03-21-2020,140,2,31,0,0,0
03-22-2020,153,2,38,13,0,7
