date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
01-31-2020,2,0,0,2,0,0
02-01-2020,2,0,0,0,0,0
02-02-2020,2,0,0,0,0,0
02-03-2020,2,0,0,0,0,0
02-04-2020,2,0,0,0,0,0
02-05-2020,2,0,0,0,0,0
02-06-2020,2,0,0,0,0,0
02-07-2020,3,0,0,1,0,0
02-08-2020,3,0,0,0,0,0
02-09-2020,3,0,0,0,0,0
02-10-2020,8,0,0,5,0,0
02-11-2020,8,0,0,0,0,0
02-12-2020,9,0,1,1,0,1
02-13-2020,9,0,1,0,0,0
02-14-2020,9,0,1,0,0,0
02-15-2020,9,0,8,0,0,7
02-16-2020,9,0,8,0,0,0
02-17-2020,9,0,8,0,0,0
02-18-2020,9,0,8,0,0,0
02-19-2020,9,0,8,0,0,0
02-20-2020,9,0,8,0,0,0
02-21-2020,9,0,8,0,0,0
02-22-2020,9,0,8,0,0,0
02-23-2020,13,0,8,4,0,0
02-24-2020,13,0,8,0,0,0
02-25-2020,13,0,8,0,0,0
02-26-2020,13,0,8,0,0,0
02-27-2020,16,0,8,3,0,0
02-28-2020,20,0,8,4,0,0
02-29-2020,23,0,8,3,0,0
03-01-2020,36,0,8,13,0,0
03-02-2020,40,0,8,4,0,0
03-03-2020,51,0,8,11,0,0
03-04-2020,85,0,8,34,0,0
03-05-2020,116,1,8,31,1,0
03-06-2020,163,2,8,47,1,0
03-07-2020,209,2,8,46,0,0
03-08-2020,278,3,18,69,1,10
03-09-2020,319,5,18,41,2,0
03-10-2020,382,6,18,63,1,0
03-11-2020,459,8,19,77,2,1
03-12-2020,460,8,18,1,0,-1
03-13-2020,801,8,19,341,0,1
03-14-2020,1143,21,19,342,13,0
03-15-2020,1395,35,21,252,14,2
03-16-2020,1553,56,53,158,21,32
03-17-2020,1960,56,53,407,0,0
03-18-2020,2644,104,67,684,48,14
03-19-2020,2716,138,67,72,34,0
03-20-2020,4014,178,67,1298,40,0
03-21-2020,5018,233,65,1004,55,-2
03-22-2020,5071,234,67,53,1,2
