date,totalConfirmed,totalDeaths,totalRecovered,newConfirmed,newDeaths,newRecovered
01-22-2020,1,0,0,1,0,0
01-23-2020,1,0,0,0,0,0
01-24-2020,2,0,0,1,0,0
01-25-2020,2,0,0,0,0,0
01-26-2020,5,0,0,3,0,0
01-27-2020,5,0,0,0,0,0
01-28-2020,5,0,0,0,0,0
01-29-2020,5,0,0,0,0,0
01-30-2020,6,0,0,1,0,0
01-31-2020,7,0,0,1,0,0
02-01-2020,8,0,0,1,0,0
02-02-2020,9,0,0,1,0,0
02-03-2020,11,0,0,2,0,0
02-04-2020,11,0,0,0,0,0
02-05-2020,11,0,0,0,0,0
02-06-2020,12,0,0,1,0,0
02-07-2020,12,0,0,0,0,0
02-08-2020,12,0,0,0,0,0
02-09-2020,12,0,1,0,0,1
02-10-2020,12,0,2,0,0,1
02-11-2020,13,0,4,1,0,2
02-12-2020,14,0,4,1,0,0
02-13-2020,14,0,4,0,0,0
02-14-2020,14,0,4,0,0,0
02-15-2020,14,0,4,0,0,0
02-16-2020,14,0,4,0,0,0
02-17-2020,14,0,4,0,0,0
02-18-2020,14,0,4,0,0,0
02-19-2020,14,0,4,0,0,0
02-20-2020,14,0,4,0,0,0
02-21-2020,16,0,5,2,0,1
02-22-2020,16,0,5,0,0,0
02-23-2020,16,0,5,0,0,0
02-24-2020,16,0,5,0,0,0
02-25-2020,16,0,6,0,0,1
02-26-2020,17,0,6,1,0,0
02-27-2020,17,0,6,0,0,0
02-28-2020,21,0,6,4,0,0
02-29-2020,25,1,6,4,1,0
03-01-2020,40,2,6,15,1,0
03-02-2020,104,6,6,64,4,0
03-03-2020,125,9,6,21,3,0
03-04-2020,158,11,6,33,2,0
03-05-2020,232,12,6,74,1,0
03-06-2020,369,17,6,137,5,0
03-07-2020,479,19,8,110,2,2
03-08-2020,616,22,8,137,3,0
03-09-2020,806,26,8,190,4,0
03-10-2020,1062,30,8,256,4,0
03-11-2020,1368,38,8,306,8,0
03-12-2020,1816,41,8,448,3,0
03-13-2020,2345,50,8,529,9,0
03-14-2020,3101,60,8,756,10,0
03-15-2020,3858,69,8,757,9,0
03-16-2020,4789,92,11,931,23,3
03-17-2020,6561,115,17,1772,23,6
03-18-2020,9473,153,17,2912,38,0
03-19-2020,14338,211,17,4865,58,0
