HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,83.52,293,261,371,81.14,89.33,293 [261 - 371],83.52% [81.14% - 89.33%],297,96,788,05-18-2020
2,AL- DOTHAN,80.34,0,0,5,80.0,82.56,0 [0 - 5],80.34% [80.0% - 82.56%],4,0,34,05-18-2020
5,AL- HUNTSVILLE,82.75,48,44,62,80.96,87.13,48 [44 - 62],82.75% [80.96% - 87.13%],51,18,134,05-18-2020
6,AL- MOBILE,82.11,56,52,74,80.84,85.95,56 [52 - 74],82.11% [80.84% - 85.95%],60,24,170,05-18-2020
7,AL- MONTGOMERY,82.47,35,32,50,80.84,88.21,35 [32 - 50],82.47% [80.84% - 88.21%],38,13,127,05-18-2020
9,AL- TUSCALOOSA,82.84,28,26,38,80.8,89.32,28 [26 - 38],82.84% [80.8% - 89.32%],28,8,93,05-18-2020
11,AZ- MESA,86.46,125,115,165,82.88,98.74,125 [115 - 165],86.46% [82.88% - 98.74%],127,57,371,05-18-2020
12,AZ- PHOENIX,84.13,309,283,406,81.9,92.04,309 [283 - 406],84.13% [81.9% - 92.04%],312,144,912,05-18-2020
14,AZ- SUN CITY,82.69,19,18,26,81.11,87.78,19 [18 - 26],82.69% [81.11% - 87.78%],21,9,63,05-18-2020
15,AZ- TUCSON,83.2,77,70,106,81.27,90.02,77 [70 - 106],83.2% [81.27% - 90.02%],80,32,253,05-18-2020
16,AR- FORT SMITH,80.0,0,0,0,80.0,80.31,0 [0 - 0],80.0% [80.0% - 80.31%],0,0,4,05-18-2020
18,AR- JONESBORO,80.33,0,0,1,80.0,80.55,0 [0 - 1],80.33% [80.0% - 80.55%],2,0,5,05-18-2020
19,AR- LITTLE ROCK,81.29,73,64,95,80.21,83.83,73 [64 - 95],81.29% [80.21% - 83.83%],74,12,221,05-18-2020
21,AR- SPRINGDALE,80.78,7,6,8,80.0,81.61,7 [6 - 8],80.78% [80.0% - 81.61%],8,0,17,05-18-2020
22,AR- TEXARKANA,80.5,0,0,2,80.0,81.73,0 [0 - 2],80.5% [80.0% - 81.73%],4,0,17,05-18-2020
23,CA- ORANGE CO.,82.83,215,193,271,80.78,87.53,215 [193 - 271],82.83% [80.78% - 87.53%],216,60,576,05-18-2020
