HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,90.2,436,389,547,82.69,107.64,436 [389 - 547],90.2% [82.69% - 107.64%],861,227,2334,05-18-2020
2,AL- DOTHAN,83.39,21,19,31,80.6,92.05,21 [19 - 31],83.39% [80.6% - 92.05%],45,8,160,05-18-2020
5,AL- HUNTSVILLE,88.63,81,73,106,82.45,105.21,81 [73 - 106],88.63% [82.45% - 105.21%],162,46,474,05-18-2020
6,AL- MOBILE,86.47,94,85,124,82.31,99.88,94 [85 - 124],86.47% [82.31% - 99.88%],184,66,568,05-18-2020
7,AL- MONTGOMERY,88.3,63,57,86,82.33,106.78,63 [57 - 86],88.3% [82.33% - 106.78%],128,36,414,05-18-2020
9,AL- TUSCALOOSA,90.41,49,44,64,81.7,109.76,49 [44 - 64],90.41% [81.7% - 109.76%],103,17,297,05-18-2020
11,AZ- MESA,99.73,198,182,264,88.43,142.63,198 [182 - 264],99.73% [88.43% - 142.63%],390,167,1240,05-18-2020
12,AZ- PHOENIX,92.53,486,445,647,85.35,119.74,486 [445 - 647],92.53% [85.35% - 119.74%],949,405,3010,05-18-2020
14,AZ- SUN CITY,88.28,30,28,42,83.46,106.3,30 [28 - 42],88.28% [83.46% - 106.3%],67,28,213,05-18-2020
15,AZ- TUCSON,90.05,128,116,182,83.57,116.29,128 [116 - 182],90.05% [83.57% - 116.29%],253,90,916,05-18-2020
16,AR- FORT SMITH,80.64,0,0,5,80.0,85.46,0 [0 - 5],80.64% [80.0% - 85.46%],8,0,70,05-18-2020
18,AR- JONESBORO,80.91,0,0,3,80.0,83.98,0 [0 - 3],80.91% [80.0% - 83.98%],8,0,36,05-18-2020
19,AR- LITTLE ROCK,84.08,113,99,150,80.66,92.79,113 [99 - 150],84.08% [80.66% - 92.79%],235,38,738,05-18-2020
21,AR- SPRINGDALE,83.12,14,13,19,80.76,87.95,14 [13 - 19],83.12% [80.76% - 87.95%],32,8,84,05-18-2020
22,AR- TEXARKANA,83.51,14,13,19,80.61,89.29,14 [13 - 19],83.51% [80.61% - 89.29%],34,6,91,05-18-2020
23,CA- ORANGE CO.,86.69,252,225,331,81.62,100.15,252 [225 - 331],86.69% [81.62% - 100.15%],512,124,1542,05-18-2020
