HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,87.08,334,297,418,82.43,97.45,334 [297 - 418],87.08% [82.43% - 97.45%],598,205,1474,05-18-2020
2,AL- DOTHAN,80.91,4,2,10,80.0,85.65,4 [2 - 10],80.91% [80.0% - 85.65%],12,0,75,05-18-2020
5,AL- HUNTSVILLE,85.5,58,53,72,82.13,93.14,58 [53 - 72],85.5% [82.13% - 93.14%],103,40,247,05-18-2020
6,AL- MOBILE,84.29,67,61,86,81.82,91.17,67 [61 - 86],84.29% [81.82% - 91.17%],122,52,319,05-18-2020
7,AL- MONTGOMERY,85.02,39,35,54,81.81,94.42,39 [35 - 54],85.02% [81.81% - 94.42%],77,28,223,05-18-2020
9,AL- TUSCALOOSA,85.74,29,26,40,81.7,97.13,29 [26 - 40],85.74% [81.7% - 97.13%],57,17,171,05-18-2020
11,AZ- MESA,93.37,148,136,192,86.52,115.56,148 [136 - 192],93.37% [86.52% - 115.56%],264,129,704,05-18-2020
12,AZ- PHOENIX,88.57,367,337,476,84.21,102.85,367 [337 - 476],88.57% [84.21% - 102.85%],649,319,1731,05-18-2020
14,AZ- SUN CITY,85.57,22,20,30,82.72,94.81,22 [20 - 30],85.57% [82.72% - 94.81%],45,22,120,05-18-2020
15,AZ- TUCSON,86.67,93,85,125,82.85,98.7,93 [85 - 125],86.67% [82.85% - 98.7%],168,72,472,05-18-2020
16,AR- FORT SMITH,80.18,0,0,1,80.0,81.09,0 [0 - 1],80.18% [80.0% - 81.09%],2,0,14,05-18-2020
18,AR- JONESBORO,80.91,0,0,2,80.0,81.99,0 [0 - 2],80.91% [80.0% - 81.99%],8,0,18,05-18-2020
19,AR- LITTLE ROCK,83.84,120,107,151,81.02,89.48,120 [107 - 151],83.84% [81.02% - 89.48%],221,59,547,05-18-2020
21,AR- SPRINGDALE,81.67,7,7,10,80.28,84.45,7 [7 - 10],81.67% [80.28% - 84.45%],17,3,47,05-18-2020
22,AR- TEXARKANA,81.3,5,4,7,80.0,83.78,5 [4 - 7],81.3% [80.0% - 83.78%],12,0,37,05-18-2020
23,CA- ORANGE CO.,85.71,225,201,284,81.73,94.27,225 [201 - 284],85.71% [81.73% - 94.27%],436,132,1092,05-18-2020
25,CA- BAKERSFIELD,82.05,36,32,47,80.5,85.34,36 [32 - 47],82.05% [80.5% - 85.34%],74,18,193,05-18-2020
31,CA- CHICO,82.71,7,6,11,80.0,88.59,7 [6 - 11],82.71% [80.0% - 88.59%],17,0,55,05-18-2020
33,CA- CONTRA COSTA CO.,96.18,160,143,198,84.74,118.64,160 [143 - 198],96.18% [84.74% - 118.64%],324,95,774,05-18-2020
43,CA- FRESNO,83.59,38,34,51,80.88,89.64,38 [34 - 51],83.59% [80.88% - 89.64%],81,20,220,05-18-2020
56,CA- LOS ANGELES,85.13,658,584,832,81.52,92.89,658 [584 - 832],85.13% [81.52% - 92.89%],1273,378,3196,05-18-2020
58,CA- MODESTO,88.98,79,70,100,82.39,102.16,79 [70 - 100],88.98% [82.39% - 102.16%],154,41,381,05-18-2020
62,CA- NAPA,89.43,21,19,29,81.37,102.68,21 [19 - 29],89.43% [81.37% - 102.68%],54,8,132,05-18-2020
65,CA- ALAMEDA CO.,94.41,242,217,299,84.35,114.27,242 [217 - 299],94.41% [84.35% - 114.27%],486,147,1158,05-18-2020
69,CA- PALM SPR/RANCHO MIR.,83.87,18,16,24,81.04,89.69,18 [16 - 24],83.87% [81.04% - 89.69%],40,11,102,05-18-2020
73,CA- REDDING,84.44,21,19,28,80.83,91.83,21 [19 - 28],84.44% [80.83% - 91.83%],48,9,128,05-18-2020
77,CA- SACRAMENTO,91.17,276,245,345,83.09,107.76,276 [245 - 345],91.17% [83.09% - 107.76%],534,148,1328,05-18-2020
78,CA- SALINAS,89.87,39,35,50,82.52,105.09,39 [35 - 50],89.87% [82.52% - 105.09%],78,20,199,05-18-2020
79,CA- SAN BERNARDINO,86.55,194,172,247,81.92,96.53,194 [172 - 247],86.55% [81.92% - 96.53%],378,111,956,05-18-2020
80,CA- SAN DIEGO,88.67,311,276,393,82.5,101.81,311 [276 - 393],88.67% [82.5% - 101.81%],609,176,1534,05-18-2020
81,CA- SAN FRANCISCO,88.52,215,192,264,82.5,100.15,215 [192 - 264],88.52% [82.5% - 100.15%],432,127,1022,05-18-2020
82,CA- SAN JOSE,98.55,278,248,339,85.52,123.26,278 [248 - 339],98.55% [85.52% - 123.26%],561,167,1309,05-18-2020
83,CA- SAN LUIS OBISPO,88.52,17,15,22,81.97,102.37,17 [15 - 22],88.52% [81.97% - 102.37%],38,9,102,05-18-2020
85,CA- SAN MATEO CO.,89.96,133,120,164,83.08,103.41,133 [120 - 164],89.96% [83.08% - 103.41%],268,83,631,05-18-2020
86,CA- SANTA BARBARA,85.93,28,26,36,81.97,95.42,28 [26 - 36],85.93% [81.97% - 95.42%],57,19,149,05-18-2020
87,CA- SANTA CRUZ,100.33,35,32,44,85.57,129.3,35 [32 - 44],100.33% [85.57% - 129.3%],73,20,177,05-18-2020
89,CA- SANTA ROSA,86.67,62,56,78,82.1,96.5,62 [56 - 78],86.67% [82.1% - 96.5%],124,39,307,05-18-2020
91,CA- STOCKTON,93.14,67,59,84,83.67,111.7,67 [59 - 84],93.14% [83.67% - 111.7%],139,39,337,05-18-2020
96,CA- VENTURA,87.02,56,51,72,81.97,97.8,56 [51 - 72],87.02% [81.97% - 97.8%],110,31,280,05-18-2020
101,CO- BOULDER,99.27,45,41,57,88.42,127.58,45 [41 - 57],99.27% [88.42% - 127.58%],91,40,226,05-18-2020
102,CO- COLORADO SPRINGS,96.44,89,80,112,85.89,119.52,89 [80 - 112],96.44% [85.89% - 119.52%],170,61,409,05-18-2020
103,CO- DENVER,97.95,451,409,562,87.37,124.63,451 [409 - 562],97.95% [87.37% - 124.63%],857,352,2132,05-18-2020
104,CO- FORT COLLINS,90.07,30,28,39,84.69,105.82,30 [28 - 39],90.07% [84.69% - 105.82%],64,30,165,05-18-2020
105,CO- GRAND JUNCTION,95.51,57,51,71,84.8,116.62,57 [51 - 71],95.51% [84.8% - 116.62%],122,38,290,05-18-2020
106,CO- GREELEY,92.12,45,41,58,84.25,110.5,45 [41 - 58],92.12% [84.25% - 110.5%],94,33,237,05-18-2020
107,CO- PUEBLO,82.56,8,7,11,81.13,87.14,8 [7 - 11],82.56% [81.13% - 87.14%],20,9,57,05-18-2020
109,CT- BRIDGEPORT,103.96,175,158,207,88.79,129.73,175 [158 - 207],103.96% [88.79% - 129.73%],406,149,843,05-18-2020
110,CT- HARTFORD,92.52,196,176,243,83.22,112.25,196 [176 - 243],92.52% [83.22% - 112.25%],407,105,1050,05-18-2020
111,CT- NEW HAVEN,96.21,287,259,349,85.82,118.37,287 [259 - 349],96.21% [85.82% - 118.37%],624,224,1478,05-18-2020
112,DE- WILMINGTON,87.14,66,61,78,83.38,94.93,66 [61 - 78],87.14% [83.38% - 94.93%],132,63,278,05-18-2020
113,DC- WASHINGTON,108.25,867,808,1012,96.63,136.17,867 [808 - 1012],108.25% [96.63% - 136.17%],1550,913,3083,05-18-2020
115,FL- BRADENTON,88.33,31,28,37,82.4,97.35,31 [28 - 37],88.33% [82.4% - 97.35%],59,17,123,05-18-2020
116,FL- CLEARWATER,85.18,43,39,52,81.65,90.69,43 [39 - 52],85.18% [81.65% - 90.69%],84,27,175,05-18-2020
118,FL- FORT LAUDERDALE,88.19,387,345,454,82.61,96.66,387 [345 - 454],88.19% [82.61% - 96.66%],712,227,1449,05-18-2020
119,FL- FORT MYERS,86.88,140,125,166,82.14,94.14,140 [125 - 166],86.88% [82.14% - 94.14%],263,82,541,05-18-2020
120,FL- GAINESVILLE,84.66,45,40,55,80.98,90.7,45 [40 - 55],84.66% [80.98% - 90.7%],85,18,197,05-18-2020
122,FL- HUDSON,85.29,34,31,41,81.76,91.1,34 [31 - 41],85.29% [81.76% - 91.1%],66,22,139,05-18-2020
123,FL- JACKSONVILLE,84.81,126,112,155,81.2,90.81,126 [112 - 155],84.81% [81.2% - 90.81%],236,59,531,05-18-2020
124,FL- LAKELAND,85.82,32,29,39,81.87,92.17,32 [29 - 39],85.82% [81.87% - 92.17%],62,20,130,05-18-2020
127,FL- MIAMI,88.27,485,433,569,82.54,96.81,485 [433 - 569],88.27% [82.54% - 96.81%],891,274,1812,05-18-2020
129,FL- OCALA,85.54,39,35,47,81.97,91.55,39 [35 - 47],85.54% [81.97% - 91.55%],75,27,158,05-18-2020
130,FL- ORLANDO,85.43,307,275,365,81.78,91.33,307 [275 - 365],85.43% [81.78% - 91.33%],562,184,1174,05-18-2020
131,FL- ORMOND BEACH,83.73,33,30,39,81.15,87.8,33 [30 - 39],83.73% [81.15% - 87.8%],61,19,129,05-18-2020
133,FL- PANAMA CITY,81.47,0,0,2,80.15,83.46,0 [0 - 2],81.47% [80.15% - 83.46%],9,1,23,05-18-2020
134,FL- PENSACOLA,84.07,49,44,59,81.23,88.64,49 [44 - 59],84.07% [81.23% - 88.64%],95,29,203,05-18-2020
137,FL- SARASOTA,85.18,41,36,48,81.38,90.87,41 [36 - 48],85.18% [81.38% - 90.87%],74,20,157,05-18-2020
139,FL- ST PETERSBURG,84.31,33,30,40,81.38,88.89,33 [30 - 40],84.31% [81.38% - 88.89%],68,22,142,05-18-2020
140,FL- TALLAHASSEE,83.67,49,44,72,80.93,92.38,49 [44 - 72],83.67% [80.93% - 92.38%],98,25,334,05-18-2020
141,FL- TAMPA,85.84,135,121,160,81.9,92.04,135 [121 - 160],85.84% [81.9% - 92.04%],248,81,513,05-18-2020
142,GA- ALBANY,91.96,58,52,76,84.52,111.89,58 [52 - 76],91.96% [84.52% - 111.89%],127,48,339,05-18-2020
144,GA- ATLANTA,97.24,1285,1163,1612,87.49,121.61,1285 [1163 - 1612],97.24% [87.49% - 121.61%],2065,897,4985,05-18-2020
145,GA- AUGUSTA,83.08,40,38,54,81.75,88.27,40 [38 - 54],83.08% [81.75% - 88.27%],75,43,203,05-18-2020
146,GA- COLUMBUS,86.54,43,40,53,83.1,95.09,43 [40 - 53],86.54% [83.1% - 95.09%],82,39,190,05-18-2020
147,GA- MACON,83.43,39,36,63,81.43,94.8,39 [36 - 63],83.43% [81.43% - 94.8%],76,32,331,05-18-2020
148,GA- ROME,97.23,68,61,83,86.01,120.85,68 [61 - 83],97.23% [86.01% - 120.85%],126,44,299,05-18-2020
149,GA- SAVANNAH,83.4,32,29,48,81.46,92.05,32 [29 - 48],83.4% [81.46% - 92.05%],70,30,248,05-18-2020
151,ID- BOISE,81.51,7,7,13,80.39,83.95,7 [7 - 13],81.51% [80.39% - 83.95%],31,8,82,05-18-2020
152,ID- IDAHO FALLS,80.0,0,0,0,80.0,81.74,0 [0 - 0],80.0% [80.0% - 81.74%],0,0,8,05-18-2020
154,IL- AURORA,118.62,111,101,134,95.94,164.25,111 [101 - 134],118.62% [95.94% - 164.25%],203,84,444,05-18-2020
