HRRNum,HRR City,Beds Avail,Beds Needed,Projected Cases,Last Update
1,AL- BIRMINGHAM,8415,30,2025,04-12-2020
2,AL- DOTHAN,1238,90,225,04-12-2020
5,AL- HUNTSVILLE,1760,120,675,04-12-2020
6,AL- MOBILE,2737,120,1125,04-12-2020
7,AL- MONTGOMERY,1396,150,1125,04-12-2020
9,AL- TUSCALOOSA,908,90,1350,04-12-2020
11,AZ- MESA,1950,30,1575,04-12-2020
12,AZ- PHOENIX,7545,30,450,04-12-2020
14,AZ- SUN CITY,705,105,1575,04-12-2020
15,AZ- TUCSON,2464,60,675,04-12-2020
16,AR- FORT SMITH,1266,15,1575,04-12-2020
18,AR- JONESBORO,784,120,2025,04-12-2020
19,AR- LITTLE ROCK,5637,135,2025,04-12-2020
21,AR- SPRINGDALE,922,135,675,04-12-2020
22,AR- TEXARKANA,935,45,1575,04-12-2020
23,CA- ORANGE CO.,7621,30,225,04-12-2020
25,CA- BAKERSFIELD,3556,60,675,04-12-2020
31,CA- CHICO,505,135,1350,04-12-2020
33,CA- CONTRA COSTA CO.,1928,75,225,04-12-2020
43,CA- FRESNO,2253,30,900,04-12-2020
56,CA- LOS ANGELES,24788,15,1350,04-12-2020
58,CA- MODESTO,1614,105,1350,04-12-2020
62,CA- NAPA,567,15,1800,04-12-2020
65,CA- ALAMEDA CO.,3274,105,225,04-12-2020
69,CA- PALM SPR/RANCHO MIR.,978,75,1350,04-12-2020
73,CA- REDDING,932,150,1800,04-12-2020
77,CA- SACRAMENTO,4769,15,1350,04-12-2020
78,CA- SALINAS,643,150,2250,04-12-2020
79,CA- SAN BERNARDINO,5737,45,1350,04-12-2020
80,CA- SAN DIEGO,6988,45,675,04-12-2020
81,CA- SAN FRANCISCO,5043,30,2025,04-12-2020
82,CA- SAN JOSE,2936,90,1125,04-12-2020
83,CA- SAN LUIS OBISPO,411,45,225,04-12-2020
85,CA- SAN MATEO CO.,2636,60,1350,04-12-2020
86,CA- SANTA BARBARA,891,75,2250,04-12-2020
87,CA- SANTA CRUZ,344,15,1125,04-12-2020
89,CA- SANTA ROSA,1786,75,450,04-12-2020
91,CA- STOCKTON,1033,30,1575,04-12-2020
96,CA- VENTURA,1438,135,2025,04-12-2020
101,CO- BOULDER,430,45,1125,04-12-2020
102,CO- COLORADO SPRINGS,975,60,900,04-12-2020
103,CO- DENVER,4702,75,900,04-12-2020
104,CO- FORT COLLINS,624,15,2025,04-12-2020
105,CO- GRAND JUNCTION,717,75,1350,04-12-2020
106,CO- GREELEY,762,15,450,04-12-2020
107,CO- PUEBLO,678,120,1350,04-12-2020
109,CT- BRIDGEPORT,1560,135,225,04-12-2020
110,CT- HARTFORD,3151,105,1125,04-12-2020
111,CT- NEW HAVEN,3807,45,1125,04-12-2020
112,DE- WILMINGTON,1712,150,1125,04-12-2020
113,DC- WASHINGTON,5399,90,2250,04-12-2020
115,FL- BRADENTON,634,75,2025,04-12-2020
116,FL- CLEARWATER,1547,90,1125,04-12-2020
118,FL- FORT LAUDERDALE,8549,150,2025,04-12-2020
119,FL- FORT MYERS,3781,45,675,04-12-2020
120,FL- GAINESVILLE,1721,120,450,04-12-2020
122,FL- HUDSON,1207,45,1575,04-12-2020
123,FL- JACKSONVILLE,4807,105,900,04-12-2020
124,FL- LAKELAND,1008,60,1350,04-12-2020
127,FL- MIAMI,10767,15,1350,04-12-2020
129,FL- OCALA,1278,90,1350,04-12-2020
130,FL- ORLANDO,10286,75,1575,04-12-2020
131,FL- ORMOND BEACH,1534,120,1800,04-12-2020
133,FL- PANAMA CITY,514,150,450,04-12-2020
134,FL- PENSACOLA,2199,150,675,04-12-2020
137,FL- SARASOTA,1400,45,1350,04-12-2020
139,FL- ST PETERSBURG,1583,15,2025,04-12-2020
140,FL- TALLAHASSEE,2562,135,1575,04-12-2020
141,FL- TAMPA,4155,105,675,04-12-2020
142,GA- ALBANY,1033,30,1575,04-12-2020
144,GA- ATLANTA,11829,150,1800,04-12-2020
145,GA- AUGUSTA,2380,75,2250,04-12-2020
146,GA- COLUMBUS,1169,90,1125,04-12-2020
147,GA- MACON,2161,75,900,04-12-2020
148,GA- ROME,582,150,2025,04-12-2020
149,GA- SAVANNAH,2013,45,2025,04-12-2020
151,ID- BOISE,1957,120,900,04-12-2020
152,ID- IDAHO FALLS,446,15,1575,04-12-2020
154,IL- AURORA,497,30,2025,04-12-2020
155,IL- BLUE ISLAND,2491,45,900,04-12-2020
156,IL- CHICAGO,8455,105,1575,04-12-2020
158,IL- ELGIN,1071,15,450,04-12-2020
161,IL- EVANSTON,2281,135,900,04-12-2020
163,IL- HINSDALE,980,120,900,04-12-2020
164,IL- JOLIET,1206,120,1800,04-12-2020
166,IL- MELROSE PARK,2974,120,1125,04-12-2020
170,IL- PEORIA,1754,105,900,04-12-2020
171,IL- ROCKFORD,1411,120,900,04-12-2020
172,IL- SPRINGFIELD,2410,135,1125,04-12-2020
173,IL- URBANA,964,75,1350,04-12-2020
175,IL- BLOOMINGTON,132,135,675,04-12-2020
179,IN- EVANSVILLE,1910,135,450,04-12-2020
180,IN- FORT WAYNE,2137,75,900,04-12-2020
181,IN- GARY,1356,150,2250,04-12-2020
183,IN- INDIANAPOLIS,6372,45,1125,04-12-2020
184,IN- LAFAYETTE,651,90,450,04-12-2020
185,IN- MUNCIE,344,75,1800,04-12-2020
186,IN- MUNSTER,1109,45,450,04-12-2020
187,IN- SOUTH BEND,1469,60,225,04-12-2020
188,IN- TERRE HAUTE,524,15,225,04-12-2020
190,IA- CEDAR RAPIDS,981,135,675,04-12-2020
191,IA- DAVENPORT,2148,75,2250,04-12-2020
192,IA- DES MOINES,3158,135,1125,04-12-2020
193,IA- DUBUQUE,470,75,1125,04-12-2020
194,IA- IOWA CITY,1838,105,1125,04-12-2020
195,IA- MASON CITY,628,105,450,04-12-2020
196,IA- SIOUX CITY,1117,15,450,04-12-2020
197,IA- WATERLOO,579,60,2025,04-12-2020
200,KS- TOPEKA,1442,105,1800,04-12-2020
201,KS- WICHITA,4815,135,1350,04-12-2020
203,KY- COVINGTON,1071,30,1350,04-12-2020
204,KY- LEXINGTON,5056,150,1575,04-12-2020
205,KY- LOUISVILLE,4681,135,225,04-12-2020
207,KY- OWENSBORO,382,90,1800,04-12-2020
208,KY- PADUCAH,1562,60,2025,04-12-2020
209,LA- ALEXANDRIA,856,135,675,04-12-2020
210,LA- BATON ROUGE,2405,75,1350,04-12-2020
212,LA- HOUMA,581,120,2250,04-12-2020
213,LA- LAFAYETTE,2132,30,2025,04-12-2020
214,LA- LAKE CHARLES,805,60,1125,04-12-2020
216,LA- METAIRIE,936,75,1575,04-12-2020
217,LA- MONROE,805,120,2250,04-12-2020
218,LA- NEW ORLEANS,2290,135,1125,04-12-2020
219,LA- SHREVEPORT,2631,105,450,04-12-2020
220,LA- SLIDELL,354,150,900,04-12-2020
221,ME- BANGOR,1075,15,675,04-12-2020
222,ME- PORTLAND,2475,150,900,04-12-2020
223,MD- BALTIMORE,6595,150,1800,04-12-2020
225,MD- SALISBURY,922,15,900,04-12-2020
226,MD- TAKOMA PARK,1242,45,1575,04-12-2020
227,MA- BOSTON,10834,150,2025,04-12-2020
230,MA- SPRINGFIELD,1541,60,225,04-12-2020
231,MA- WORCESTER,1612,30,1350,04-12-2020
232,MI- ANN ARBOR,3219,45,1800,04-12-2020
233,MI- DEARBORN,1599,45,900,04-12-2020
234,MI- DETROIT,4509,150,1350,04-12-2020
235,MI- FLINT,1311,15,225,04-12-2020
236,MI- GRAND RAPIDS,2264,45,1350,04-12-2020
238,MI- KALAMAZOO,1342,135,675,04-12-2020
239,MI- LANSING,1505,30,1350,04-12-2020
240,MI- MARQUETTE,383,105,2025,04-12-2020
242,MI- MUSKEGON,491,45,1125,04-12-2020
243,MI- PETOSKEY,196,150,2250,04-12-2020
244,MI- PONTIAC,1064,120,1350,04-12-2020
245,MI- ROYAL OAK,2567,75,2250,04-12-2020
246,MI- SAGINAW,1961,135,225,04-12-2020
248,MI- ST JOSEPH,287,15,2025,04-12-2020
249,MI- TRAVERSE CITY,359,150,1350,04-12-2020
250,MN- DULUTH,1147,15,2025,04-12-2020
251,MN- MINNEAPOLIS,8380,135,1350,04-12-2020
253,MN- ROCHESTER,2539,60,1125,04-12-2020
254,MN- ST CLOUD,632,75,450,04-12-2020
256,MN- ST PAUL,2165,120,1125,04-12-2020
257,MS- GULFPORT,623,150,1125,04-12-2020
258,MS- HATTIESBURG,1120,90,1575,04-12-2020
259,MS- JACKSON,4331,150,450,04-12-2020
260,MS- MERIDIAN,933,45,1125,04-12-2020
261,MS- OXFORD,563,75,900,04-12-2020
262,MS- TUPELO,1585,45,1125,04-12-2020
263,MO- CAPE GIRARDEAU,877,150,1800,04-12-2020
264,MO- COLUMBIA,1754,90,225,04-12-2020
267,MO- JOPLIN,849,105,1350,04-12-2020
268,MO- KANSAS CITY,7880,45,1125,04-12-2020
270,MO- SPRINGFIELD,1914,45,2250,04-12-2020
273,MO- ST LOUIS,12096,105,1575,04-12-2020
274,MT- BILLINGS,2074,135,675,04-12-2020
275,MT- GREAT FALLS,745,60,1125,04-12-2020
276,MT- MISSOULA,1129,30,675,04-12-2020
277,NE- LINCOLN,1702,135,1575,04-12-2020
278,NE- OMAHA,5392,75,1575,04-12-2020
279,NV- LAS VEGAS,4052,30,1350,04-12-2020
280,NV- RENO,1906,15,450,04-12-2020
281,NH- LEBANON,941,30,900,04-12-2020
282,NH- MANCHESTER,1929,45,225,04-12-2020
283,NJ- CAMDEN,7897,90,1800,04-12-2020
284,NJ- HACKENSACK,3594,135,675,04-12-2020
285,NJ- MORRISTOWN,1793,135,1350,04-12-2020
288,NJ- NEW BRUNSWICK,2721,45,2250,04-12-2020
289,NJ- NEWARK,4801,60,1575,04-12-2020
291,NJ- PATERSON,1118,60,1350,04-12-2020
292,NJ- RIDGEWOOD,672,120,1125,04-12-2020
293,NM- ALBUQUERQUE,3209,150,450,04-12-2020
295,NY- ALBANY,4899,30,225,04-12-2020
296,NY- BINGHAMTON,899,30,1575,04-12-2020
297,NY- BRONX,3605,15,2025,04-12-2020
299,NY- BUFFALO,3445,150,900,04-12-2020
300,NY- ELMIRA,972,105,675,04-12-2020
301,NY- EAST LONG ISLAND,10909,30,675,04-12-2020
304,NY- ROCHESTER,2870,90,2250,04-12-2020
307,NY- SYRACUSE,2750,75,1350,04-12-2020
308,NY- WHITE PLAINS,2909,60,450,04-12-2020
309,NC- ASHEVILLE,1788,90,1350,04-12-2020
311,NC- CHARLOTTE,5642,150,1125,04-12-2020
312,NC- DURHAM,4557,60,225,04-12-2020
313,NC- GREENSBORO,1779,15,2025,04-12-2020
314,NC- GREENVILLE,2404,105,450,04-12-2020
315,NC- HICKORY,658,90,900,04-12-2020
318,NC- RALEIGH,4205,30,225,04-12-2020
319,NC- WILMINGTON,1097,120,1125,04-12-2020
320,NC- WINSTON-SALEM,3607,75,1125,04-12-2020
321,ND- BISMARCK,823,15,450,04-12-2020
322,ND- FARGO MOORHEAD -MN,1984,45,225,04-12-2020
323,ND- GRAND FORKS,572,15,225,04-12-2020
324,ND- MINOT,640,60,900,04-12-2020
325,OH- AKRON,2396,30,1800,04-12-2020
326,OH- CANTON,2085,30,1800,04-12-2020
327,OH- CINCINNATI,4644,150,225,04-12-2020
328,OH- CLEVELAND,8676,150,1350,04-12-2020
329,OH- COLUMBUS,8925,30,2250,04-12-2020
330,OH- DAYTON,3133,135,675,04-12-2020
331,OH- ELYRIA,650,75,1125,04-12-2020
332,OH- KETTERING,1006,150,1575,04-12-2020
334,OH- TOLEDO,4099,90,675,04-12-2020
335,OH- YOUNGSTOWN,2480,120,225,04-12-2020
336,OK- LAWTON,683,30,2025,04-12-2020
339,OK- OKLAHOMA CITY,6430,150,2250,04-12-2020
340,OK- TULSA,4917,105,2025,04-12-2020
341,OR- BEND,285,120,1575,04-12-2020
342,OR- EUGENE,1100,75,1125,04-12-2020
343,OR- MEDFORD,815,150,900,04-12-2020
344,OR- PORTLAND,5221,15,2250,04-12-2020
345,OR- SALEM,421,15,1800,04-12-2020
346,PA- ALLENTOWN,3127,30,900,04-12-2020
347,PA- ALTOONA,665,30,225,04-12-2020
350,PA- DANVILLE,1384,135,1350,04-12-2020
351,PA- ERIE,2211,15,1350,04-12-2020
352,PA- HARRISBURG,2246,45,450,04-12-2020
354,PA- JOHNSTOWN,665,75,1800,04-12-2020
355,PA- LANCASTER,1146,45,675,04-12-2020
356,PA- PHILADELPHIA,12319,135,675,04-12-2020
357,PA- PITTSBURGH,11567,105,675,04-12-2020
358,PA- READING,1319,105,1575,04-12-2020
359,PA- SAYRE,366,105,675,04-12-2020
360,PA- SCRANTON,837,45,2025,04-12-2020
362,PA- WILKES-BARRE,580,75,1575,04-12-2020
363,PA- YORK,696,135,1800,04-12-2020
364,RI- PROVIDENCE,3102,30,2250,04-12-2020
365,SC- CHARLESTON,2962,15,225,04-12-2020
366,SC- COLUMBIA,3733,15,675,04-12-2020
367,SC- FLORENCE,1236,105,675,04-12-2020
368,SC- GREENVILLE,2272,120,1350,04-12-2020
369,SC- SPARTANBURG,956,105,900,04-12-2020
370,SD- RAPID CITY,658,30,450,04-12-2020
371,SD- SIOUX FALLS,2759,15,2025,04-12-2020
373,TN- CHATTANOOGA,2136,105,1350,04-12-2020
374,TN- JACKSON,1275,75,675,04-12-2020
375,TN- JOHNSON CITY,865,75,1575,04-12-2020
376,TN- KINGSPORT,1941,45,900,04-12-2020
377,TN- KNOXVILLE,4025,150,900,04-12-2020
379,TN- MEMPHIS,6243,75,900,04-12-2020
380,TN- NASHVILLE,8479,75,450,04-12-2020
382,TX- ABILENE,1193,135,450,04-12-2020
383,TX- AMARILLO,1427,75,1350,04-12-2020
385,TX- AUSTIN,3363,135,2025,04-12-2020
386,TX- BEAUMONT,1310,60,1575,04-12-2020
388,TX- BRYAN,567,45,1125,04-12-2020
390,TX- CORPUS CHRISTI,1947,105,450,04-12-2020
391,TX- DALLAS,12125,120,225,04-12-2020
393,TX- EL PASO,2625,120,1575,04-12-2020
394,TX- FORT WORTH,4857,150,225,04-12-2020
396,TX- HARLINGEN,1268,150,1575,04-12-2020
397,TX- HOUSTON,16916,150,1350,04-12-2020
399,TX- LONGVIEW,581,105,900,04-12-2020
400,TX- LUBBOCK,2300,90,675,04-12-2020
402,TX- MCALLEN,1556,30,900,04-12-2020
406,TX- ODESSA,1172,120,675,04-12-2020
411,TX- SAN ANGELO,567,120,675,04-12-2020
412,TX- SAN ANTONIO,7116,120,2025,04-12-2020
413,TX- TEMPLE,789,150,2250,04-12-2020
416,TX- TYLER,1559,45,1350,04-12-2020
417,TX- VICTORIA,632,135,1125,04-12-2020
