HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound,Last Update
1,AL- BIRMINGHAM,81,144,139,148,04-20-2020
2,AL- DOTHAN,94,192,186,197,04-20-2020
5,AL- HUNTSVILLE,82,48,46,49,04-20-2020
6,AL- MOBILE,85,144,139,148,04-20-2020
7,AL- MONTGOMERY,89,144,139,148,04-20-2020
9,AL- TUSCALOOSA,87,72,69,74,04-20-2020
11,AZ- MESA,81,24,23,24,04-20-2020
12,AZ- PHOENIX,83,240,232,247,04-20-2020
14,AZ- SUN CITY,109,240,232,247,04-20-2020
15,AZ- TUCSON,81,48,46,49,04-20-2020
16,AR- FORT SMITH,87,96,93,98,04-20-2020
18,AR- JONESBORO,95,144,139,148,04-20-2020
19,AR- LITTLE ROCK,80,48,46,49,04-20-2020
21,AR- SPRINGDALE,102,240,232,247,04-20-2020
22,AR- TEXARKANA,99,192,186,197,04-20-2020
23,CA- ORANGE CO.,80,72,69,74,04-20-2020
25,CA- BAKERSFIELD,81,48,46,49,04-20-2020
31,CA- CHICO,98,120,116,123,04-20-2020
33,CA- CONTRA COSTA CO.,85,120,116,123,04-20-2020
43,CA- FRESNO,83,72,69,74,04-20-2020
56,CA- LOS ANGELES,80,96,93,98,04-20-2020
58,CA- MODESTO,93,240,232,247,04-20-2020
62,CA- NAPA,104,144,139,148,04-20-2020
65,CA- ALAMEDA CO.,80,24,23,24,04-20-2020
69,CA- PALM SPR/RANCHO MIR.,91,120,116,123,04-20-2020
73,CA- REDDING,93,144,139,148,04-20-2020
77,CA- SACRAMENTO,81,72,69,74,04-20-2020
78,CA- SALINAS,107,216,209,222,04-20-2020
79,CA- SAN BERNARDINO,81,96,93,98,04-20-2020
80,CA- SAN DIEGO,82,168,162,173,04-20-2020
81,CA- SAN FRANCISCO,84,216,209,222,04-20-2020
82,CA- SAN JOSE,84,144,139,148,04-20-2020
83,CA- SAN LUIS OBISPO,90,48,46,49,04-20-2020
85,CA- SAN MATEO CO.,85,144,139,148,04-20-2020
86,CA- SANTA BARBARA,94,144,139,148,04-20-2020
87,CA- SANTA CRUZ,140,216,209,222,04-20-2020
89,CA- SANTA ROSA,81,24,23,24,04-20-2020
91,CA- STOCKTON,82,24,23,24,04-20-2020
96,CA- VENTURA,89,144,139,148,04-20-2020
101,CO- BOULDER,115,168,162,173,04-20-2020
102,CO- COLORADO SPRINGS,98,192,186,197,04-20-2020
103,CO- DENVER,85,240,232,247,04-20-2020
104,CO- FORT COLLINS,110,192,186,197,04-20-2020
105,CO- GRAND JUNCTION,101,168,162,173,04-20-2020
106,CO- GREELEY,89,72,69,74,04-20-2020
107,CO- PUEBLO,104,192,186,197,04-20-2020
109,CT- BRIDGEPORT,84,72,69,74,04-20-2020
110,CT- HARTFORD,85,192,186,197,04-20-2020
111,CT- NEW HAVEN,83,120,116,123,04-20-2020
112,DE- WILMINGTON,83,72,69,74,04-20-2020
113,DC- WASHINGTON,80,24,23,24,04-20-2020
115,FL- BRADENTON,83,24,23,24,04-20-2020
116,FL- CLEARWATER,93,216,209,222,04-20-2020
118,FL- FORT LAUDERDALE,81,96,93,98,04-20-2020
119,FL- FORT MYERS,82,96,93,98,04-20-2020
120,FL- GAINESVILLE,93,240,232,247,04-20-2020
122,FL- HUDSON,87,96,93,98,04-20-2020
123,FL- JACKSONVILLE,83,192,186,197,04-20-2020
124,FL- LAKELAND,84,48,46,49,04-20-2020
127,FL- MIAMI,80,72,69,74,04-20-2020
129,FL- OCALA,90,144,139,148,04-20-2020
130,FL- ORLANDO,80,72,69,74,04-20-2020
131,FL- ORMOND BEACH,91,192,186,197,04-20-2020
133,FL- PANAMA CITY,116,240,232,247,04-20-2020
134,FL- PENSACOLA,82,48,46,49,04-20-2020
137,FL- SARASOTA,96,240,232,247,04-20-2020
139,FL- ST PETERSBURG,83,48,46,49,04-20-2020
