HRRNum,Hospital Referral Region,Beds Avail,Beds Needed,Projected Cases,Last Update
1,AL- BIRMINGHAM,8414,31,7688,04-23-2020
2,AL- DOTHAN,1266,62,2883,04-23-2020
5,AL- HUNTSVILLE,1570,310,9610,04-23-2020
6,AL- MOBILE,2702,155,3844,04-23-2020
7,AL- MONTGOMERY,1267,279,7688,04-23-2020
9,AL- TUSCALOOSA,719,279,4805,04-23-2020
11,AZ- MESA,1856,124,3844,04-23-2020
12,AZ- PHOENIX,7358,217,9610,04-23-2020
14,AZ- SUN CITY,779,31,8649,04-23-2020
15,AZ- TUCSON,2245,279,2883,04-23-2020
16,AR- FORT SMITH,1188,93,9610,04-23-2020
18,AR- JONESBORO,625,279,1922,04-23-2020
19,AR- LITTLE ROCK,5493,279,6727,04-23-2020
21,AR- SPRINGDALE,747,310,6727,04-23-2020
22,AR- TEXARKANA,825,155,9610,04-23-2020
23,CA- ORANGE CO.,7496,155,9610,04-23-2020
25,CA- BAKERSFIELD,3492,124,2883,04-23-2020
31,CA- CHICO,578,62,1922,04-23-2020
33,CA- CONTRA COSTA CO.,1941,62,9610,04-23-2020
43,CA- FRESNO,2190,93,5766,04-23-2020
56,CA- LOS ANGELES,24524,279,7688,04-23-2020
58,CA- MODESTO,1440,279,8649,04-23-2020
62,CA- NAPA,365,217,4805,04-23-2020
65,CA- ALAMEDA CO.,3224,155,8649,04-23-2020
69,CA- PALM SPR/RANCHO MIR.,929,124,961,04-23-2020
73,CA- REDDING,927,155,2883,04-23-2020
77,CA- SACRAMENTO,4505,279,5766,04-23-2020
78,CA- SALINAS,638,155,7688,04-23-2020
79,CA- SAN BERNARDINO,5689,93,1922,04-23-2020
80,CA- SAN DIEGO,6847,186,2883,04-23-2020
81,CA- SAN FRANCISCO,4980,93,9610,04-23-2020
82,CA- SAN JOSE,2747,279,6727,04-23-2020
83,CA- SAN LUIS OBISPO,301,155,6727,04-23-2020
85,CA- SAN MATEO CO.,2541,155,9610,04-23-2020
86,CA- SANTA BARBARA,811,155,3844,04-23-2020
87,CA- SANTA CRUZ,49,310,961,04-23-2020
89,CA- SANTA ROSA,1737,124,2883,04-23-2020
91,CA- STOCKTON,877,186,1922,04-23-2020
96,CA- VENTURA,1511,62,7688,04-23-2020
101,CO- BOULDER,227,248,8649,04-23-2020
102,CO- COLORADO SPRINGS,818,217,961,04-23-2020
103,CO- DENVER,4684,93,2883,04-23-2020
104,CO- FORT COLLINS,546,93,9610,04-23-2020
105,CO- GRAND JUNCTION,637,155,7688,04-23-2020
106,CO- GREELEY,498,279,6727,04-23-2020
107,CO- PUEBLO,674,124,7688,04-23-2020
109,CT- BRIDGEPORT,1540,155,4805,04-23-2020
110,CT- HARTFORD,3225,31,9610,04-23-2020
111,CT- NEW HAVEN,3635,217,8649,04-23-2020
112,DE- WILMINGTON,1645,217,9610,04-23-2020
113,DC- WASHINGTON,5272,217,961,04-23-2020
115,FL- BRADENTON,492,217,8649,04-23-2020
116,FL- CLEARWATER,1327,310,5766,04-23-2020
118,FL- FORT LAUDERDALE,8575,124,961,04-23-2020
119,FL- FORT MYERS,3671,155,3844,04-23-2020
120,FL- GAINESVILLE,1562,279,961,04-23-2020
122,FL- HUDSON,1190,62,4805,04-23-2020
123,FL- JACKSONVILLE,4757,155,3844,04-23-2020
124,FL- LAKELAND,851,217,7688,04-23-2020
127,FL- MIAMI,10658,124,8649,04-23-2020
129,FL- OCALA,1182,186,6727,04-23-2020
130,FL- ORLANDO,10144,217,1922,04-23-2020
131,FL- ORMOND BEACH,1592,62,9610,04-23-2020
133,FL- PANAMA CITY,416,248,1922,04-23-2020
134,FL- PENSACOLA,2287,62,4805,04-23-2020
137,FL- SARASOTA,1259,186,7688,04-23-2020
139,FL- ST PETERSBURG,1443,155,4805,04-23-2020
140,FL- TALLAHASSEE,2635,62,7688,04-23-2020
141,FL- TAMPA,4105,155,961,04-23-2020
142,GA- ALBANY,1001,62,7688,04-23-2020
144,GA- ATLANTA,11700,279,4805,04-23-2020
145,GA- AUGUSTA,2362,93,1922,04-23-2020
146,GA- COLUMBUS,1073,186,3844,04-23-2020
147,GA- MACON,2205,31,3844,04-23-2020
148,GA- ROME,546,186,1922,04-23-2020
149,GA- SAVANNAH,1996,62,961,04-23-2020
151,ID- BOISE,1891,186,961,04-23-2020
152,ID- IDAHO FALLS,275,186,5766,04-23-2020
154,IL- AURORA,434,93,2883,04-23-2020
155,IL- BLUE ISLAND,2226,310,1922,04-23-2020
156,IL- CHICAGO,8467,93,3844,04-23-2020
158,IL- ELGIN,1055,31,961,04-23-2020
161,IL- EVANSTON,2106,310,8649,04-23-2020
163,IL- HINSDALE,1007,93,9610,04-23-2020
164,IL- JOLIET,1047,279,4805,04-23-2020
166,IL- MELROSE PARK,3001,93,9610,04-23-2020
170,IL- PEORIA,1735,124,3844,04-23-2020
171,IL- ROCKFORD,1345,186,4805,04-23-2020
172,IL- SPRINGFIELD,2421,124,961,04-23-2020
173,IL- URBANA,822,217,6727,04-23-2020
175,IL- BLOOMINGTON,205,62,6727,04-23-2020
179,IN- EVANSVILLE,1766,279,3844,04-23-2020
180,IN- FORT WAYNE,1933,279,9610,04-23-2020
181,IN- GARY,1289,217,1922,04-23-2020
183,IN- INDIANAPOLIS,6169,248,1922,04-23-2020
184,IN- LAFAYETTE,617,124,5766,04-23-2020
185,IN- MUNCIE,202,217,6727,04-23-2020
186,IN- MUNSTER,937,217,961,04-23-2020
187,IN- SOUTH BEND,1343,186,9610,04-23-2020
188,IN- TERRE HAUTE,477,62,9610,04-23-2020
190,IA- CEDAR RAPIDS,806,310,9610,04-23-2020
191,IA- DAVENPORT,2130,93,961,04-23-2020
192,IA- DES MOINES,3231,62,961,04-23-2020
193,IA- DUBUQUE,359,186,8649,04-23-2020
194,IA- IOWA CITY,1664,279,6727,04-23-2020
195,IA- MASON CITY,423,310,7688,04-23-2020
196,IA- SIOUX CITY,1101,31,7688,04-23-2020
197,IA- WATERLOO,360,279,4805,04-23-2020
200,KS- TOPEKA,1454,93,6727,04-23-2020
201,KS- WICHITA,4640,310,4805,04-23-2020
203,KY- COVINGTON,853,248,2883,04-23-2020
204,KY- LEXINGTON,5144,62,6727,04-23-2020
205,KY- LOUISVILLE,4599,217,2883,04-23-2020
207,KY- OWENSBORO,255,217,3844,04-23-2020
208,KY- PADUCAH,1560,62,8649,04-23-2020
209,LA- ALEXANDRIA,681,310,9610,04-23-2020
210,LA- BATON ROUGE,2170,310,2883,04-23-2020
212,LA- HOUMA,453,248,3844,04-23-2020
213,LA- LAFAYETTE,1976,186,1922,04-23-2020
214,LA- LAKE CHARLES,834,31,6727,04-23-2020
216,LA- METAIRIE,701,310,3844,04-23-2020
217,LA- MONROE,677,248,961,04-23-2020
218,LA- NEW ORLEANS,2270,155,1922,04-23-2020
219,LA- SHREVEPORT,2550,186,2883,04-23-2020
220,LA- SLIDELL,256,248,3844,04-23-2020
221,ME- BANGOR,1028,62,9610,04-23-2020
222,ME- PORTLAND,2439,186,8649,04-23-2020
223,MD- BALTIMORE,6497,248,8649,04-23-2020
225,MD- SALISBURY,627,310,8649,04-23-2020
226,MD- TAKOMA PARK,1194,93,4805,04-23-2020
227,MA- BOSTON,10891,93,5766,04-23-2020
230,MA- SPRINGFIELD,1446,155,6727,04-23-2020
231,MA- WORCESTER,1332,310,7688,04-23-2020
232,MI- ANN ARBOR,2985,279,961,04-23-2020
233,MI- DEARBORN,1489,155,6727,04-23-2020
234,MI- DETROIT,4628,31,6727,04-23-2020
235,MI- FLINT,1078,248,961,04-23-2020
236,MI- GRAND RAPIDS,2061,248,7688,04-23-2020
238,MI- KALAMAZOO,1260,217,3844,04-23-2020
239,MI- LANSING,1380,155,6727,04-23-2020
240,MI- MARQUETTE,302,186,961,04-23-2020
242,MI- MUSKEGON,474,62,3844,04-23-2020
243,MI- PETOSKEY,36,310,9610,04-23-2020
244,MI- PONTIAC,1029,155,8649,04-23-2020
245,MI- ROYAL OAK,2518,124,961,04-23-2020
246,MI- SAGINAW,2034,62,5766,04-23-2020
248,MI- ST JOSEPH,240,62,961,04-23-2020
249,MI- TRAVERSE CITY,385,124,6727,04-23-2020
250,MN- DULUTH,852,310,9610,04-23-2020
251,MN- MINNEAPOLIS,8391,124,9610,04-23-2020
253,MN- ROCHESTER,2537,62,961,04-23-2020
254,MN- ST CLOUD,521,186,9610,04-23-2020
256,MN- ST PAUL,2006,279,1922,04-23-2020
257,MS- GULFPORT,494,279,6727,04-23-2020
258,MS- HATTIESBURG,993,217,7688,04-23-2020
259,MS- JACKSON,4388,93,1922,04-23-2020
260,MS- MERIDIAN,668,310,961,04-23-2020
261,MS- OXFORD,359,279,961,04-23-2020
262,MS- TUPELO,1351,279,8649,04-23-2020
263,MO- CAPE GIRARDEAU,965,62,4805,04-23-2020
264,MO- COLUMBIA,1534,310,7688,04-23-2020
267,MO- JOPLIN,737,217,7688,04-23-2020
268,MO- KANSAS CITY,7894,31,2883,04-23-2020
270,MO- SPRINGFIELD,1773,186,4805,04-23-2020
273,MO- ST LOUIS,11922,279,961,04-23-2020
274,MT- BILLINGS,2085,124,961,04-23-2020
275,MT- GREAT FALLS,743,62,3844,04-23-2020
276,MT- MISSOULA,942,217,8649,04-23-2020
277,NE- LINCOLN,1558,279,5766,04-23-2020
278,NE- OMAHA,5405,62,2883,04-23-2020
279,NV- LAS VEGAS,3772,310,3844,04-23-2020
280,NV- RENO,1704,217,6727,04-23-2020
281,NH- LEBANON,723,248,5766,04-23-2020
282,NH- MANCHESTER,1819,155,5766,04-23-2020
