HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations,Last Update
1,AL- BIRMINGHAM,81,102,04-25-2020
2,AL- DOTHAN,82,34,04-25-2020
5,AL- HUNTSVILLE,96,306,04-25-2020
6,AL- MOBILE,89,272,04-25-2020
7,AL- MONTGOMERY,84,68,04-25-2020
9,AL- TUSCALOOSA,90,102,04-25-2020
11,AZ- MESA,97,340,04-25-2020
12,AZ- PHOENIX,82,204,04-25-2020
14,AZ- SUN CITY,92,102,04-25-2020
15,AZ- TUCSON,85,136,04-25-2020
16,AR- FORT SMITH,101,272,04-25-2020
18,AR- JONESBORO,110,272,04-25-2020
19,AR- LITTLE ROCK,81,68,04-25-2020
21,AR- SPRINGDALE,108,306,04-25-2020
22,AR- TEXARKANA,93,136,04-25-2020
23,CA- ORANGE CO.,83,238,04-25-2020
25,CA- BAKERSFIELD,89,340,04-25-2020
31,CA- CHICO,111,204,04-25-2020
33,CA- CONTRA COSTA CO.,85,102,04-25-2020
43,CA- FRESNO,91,272,04-25-2020
56,CA- LOS ANGELES,80,102,04-25-2020
58,CA- MODESTO,87,136,04-25-2020
62,CA- NAPA,97,102,04-25-2020
65,CA- ALAMEDA CO.,90,340,04-25-2020
69,CA- PALM SPR/RANCHO MIR.,96,170,04-25-2020
73,CA- REDDING,98,204,04-25-2020
77,CA- SACRAMENTO,83,170,04-25-2020
78,CA- SALINAS,92,102,04-25-2020
79,CA- SAN BERNARDINO,85,306,04-25-2020
80,CA- SAN DIEGO,84,340,04-25-2020
81,CA- SAN FRANCISCO,83,170,04-25-2020
82,CA- SAN JOSE,83,102,04-25-2020
83,CA- SAN LUIS OBISPO,94,68,04-25-2020
85,CA- SAN MATEO CO.,85,136,04-25-2020
86,CA- SANTA BARBARA,90,102,04-25-2020
87,CA- SANTA CRUZ,108,102,04-25-2020
89,CA- SANTA ROSA,90,204,04-25-2020
91,CA- STOCKTON,105,272,04-25-2020
96,CA- VENTURA,84,68,04-25-2020
101,CO- BOULDER,130,238,04-25-2020
102,CO- COLORADO SPRINGS,89,102,04-25-2020
103,CO- DENVER,80,34,04-25-2020
104,CO- FORT COLLINS,111,204,04-25-2020
105,CO- GRAND JUNCTION,97,136,04-25-2020
106,CO- GREELEY,123,340,04-25-2020
107,CO- PUEBLO,118,306,04-25-2020
109,CT- BRIDGEPORT,82,34,04-25-2020
110,CT- HARTFORD,84,136,04-25-2020
111,CT- NEW HAVEN,83,136,04-25-2020
112,DE- WILMINGTON,98,340,04-25-2020
113,DC- WASHINGTON,80,34,04-25-2020
115,FL- BRADENTON,127,340,04-25-2020
116,FL- CLEARWATER,92,204,04-25-2020
118,FL- FORT LAUDERDALE,82,204,04-25-2020
119,FL- FORT MYERS,80,34,04-25-2020
120,FL- GAINESVILLE,87,136,04-25-2020
122,FL- HUDSON,99,238,04-25-2020
123,FL- JACKSONVILLE,86,306,04-25-2020
124,FL- LAKELAND,95,170,04-25-2020
127,FL- MIAMI,82,306,04-25-2020
129,FL- OCALA,102,306,04-25-2020
130,FL- ORLANDO,81,136,04-25-2020
131,FL- ORMOND BEACH,82,34,04-25-2020
133,FL- PANAMA CITY,115,238,04-25-2020
134,FL- PENSACOLA,94,340,04-25-2020
137,FL- SARASOTA,94,204,04-25-2020
139,FL- ST PETERSBURG,99,306,04-25-2020
140,FL- TALLAHASSEE,91,306,04-25-2020
141,FL- TAMPA,82,102,04-25-2020
142,GA- ALBANY,99,204,04-25-2020
144,GA- ATLANTA,81,136,04-25-2020
145,GA- AUGUSTA,88,204,04-25-2020
146,GA- COLUMBUS,96,204,04-25-2020
147,GA- MACON,81,34,04-25-2020
148,GA- ROME,112,238,04-25-2020
149,GA- SAVANNAH,84,102,04-25-2020
151,ID- BOISE,94,306,04-25-2020
152,ID- IDAHO FALLS,87,34,04-25-2020
154,IL- AURORA,86,34,04-25-2020
155,IL- BLUE ISLAND,86,170,04-25-2020
156,IL- CHICAGO,83,306,04-25-2020
158,IL- ELGIN,108,306,04-25-2020
161,IL- EVANSTON,89,238,04-25-2020
163,IL- HINSDALE,101,238,04-25-2020
164,IL- JOLIET,95,204,04-25-2020
166,IL- MELROSE PARK,81,34,04-25-2020
170,IL- PEORIA,94,272,04-25-2020
171,IL- ROCKFORD,88,136,04-25-2020
172,IL- SPRINGFIELD,93,340,04-25-2020
173,IL- URBANA,96,170,04-25-2020
175,IL- BLOOMINGTON,156,204,04-25-2020
179,IN- EVANSVILLE,86,136,04-25-2020
180,IN- FORT WAYNE,81,34,04-25-2020
181,IN- GARY,84,68,04-25-2020
183,IN- INDIANAPOLIS,83,238,04-25-2020
184,IN- LAFAYETTE,89,68,04-25-2020
185,IN- MUNCIE,120,170,04-25-2020
186,IN- MUNSTER,82,34,04-25-2020
187,IN- SOUTH BEND,84,68,04-25-2020
188,IN- TERRE HAUTE,130,272,04-25-2020
190,IA- CEDAR RAPIDS,92,136,04-25-2020
191,IA- DAVENPORT,81,34,04-25-2020
192,IA- DES MOINES,85,170,04-25-2020
193,IA- DUBUQUE,136,306,04-25-2020
194,IA- IOWA CITY,81,34,04-25-2020
195,IA- MASON CITY,126,340,04-25-2020
196,IA- SIOUX CITY,101,238,04-25-2020
197,IA- WATERLOO,122,272,04-25-2020
200,KS- TOPEKA,86,102,04-25-2020
201,KS- WICHITA,82,136,04-25-2020
203,KY- COVINGTON,101,238,04-25-2020
204,KY- LEXINGTON,85,272,04-25-2020
205,KY- LOUISVILLE,83,170,04-25-2020
207,KY- OWENSBORO,94,68,04-25-2020
208,KY- PADUCAH,88,136,04-25-2020
209,LA- ALEXANDRIA,110,306,04-25-2020
210,LA- BATON ROUGE,93,340,04-25-2020
