HRRNum,HRRCity,lastUpdate,bedsAvail,ventsAvail,staffAvail,bedsNeeded,ventsNeeded,staffNeeded,cases
1,AL- BIRMINGHAM,04-27-2020,8445,4222,NA,570,57,NA,25992
2,AL- DOTHAN,04-27-2020,1328,664,NA,114,11,NA,9747
5,AL- HUNTSVILLE,04-27-2020,1880,940,NA,114,34,NA,6498
6,AL- MOBILE,04-27-2020,2857,1428,NA,456,45,NA,19494
7,AL- MONTGOMERY,04-27-2020,1546,773,NA,456,91,NA,29241
9,AL- TUSCALOOSA,04-27-2020,998,499,NA,570,57,NA,25992
11,AZ- MESA,04-27-2020,1980,990,NA,399,39,NA,16245
12,AZ- PHOENIX,04-27-2020,7575,3787,NA,570,57,NA,29241
14,AZ- SUN CITY,04-27-2020,810,405,NA,57,5,NA,25992
15,AZ- TUCSON,04-27-2020,2524,1262,NA,342,34,NA,25992
16,AR- FORT SMITH,04-27-2020,1281,640,NA,285,57,NA,12996
18,AR- JONESBORO,04-27-2020,904,452,NA,171,34,NA,19494
19,AR- LITTLE ROCK,04-27-2020,5772,2886,NA,342,102,NA,25992
21,AR- SPRINGDALE,04-27-2020,1057,528,NA,513,153,NA,25992
22,AR- TEXARKANA,04-27-2020,980,490,NA,171,34,NA,9747
23,CA- ORANGE CO.,04-27-2020,7651,3825,NA,285,57,NA,9747
25,CA- BAKERSFIELD,04-27-2020,3616,1808,NA,456,45,NA,19494
31,CA- CHICO,04-27-2020,640,320,NA,342,68,NA,19494
33,CA- CONTRA COSTA CO.,04-27-2020,2003,1001,NA,513,51,NA,3249
43,CA- FRESNO,04-27-2020,2283,1141,NA,114,11,NA,19494
56,CA- LOS ANGELES,04-27-2020,24803,12401,NA,228,45,NA,3249
58,CA- MODESTO,04-27-2020,1719,859,NA,570,57,NA,12996
62,CA- NAPA,04-27-2020,582,291,NA,399,119,NA,6498
65,CA- ALAMEDA CO.,04-27-2020,3379,1689,NA,513,102,NA,22743
69,CA- PALM SPR/RANCHO MIR.,04-27-2020,1053,526,NA,399,119,NA,29241
73,CA- REDDING,04-27-2020,1082,541,NA,171,34,NA,9747
77,CA- SACRAMENTO,04-27-2020,4784,2392,NA,228,45,NA,19494
78,CA- SALINAS,04-27-2020,793,396,NA,513,51,NA,22743
79,CA- SAN BERNARDINO,04-27-2020,5782,2891,NA,456,91,NA,6498
80,CA- SAN DIEGO,04-27-2020,7033,3516,NA,456,136,NA,3249
81,CA- SAN FRANCISCO,04-27-2020,5073,2536,NA,513,153,NA,12996
82,CA- SAN JOSE,04-27-2020,3026,1513,NA,171,51,NA,6498
83,CA- SAN LUIS OBISPO,04-27-2020,456,228,NA,513,102,NA,22743
85,CA- SAN MATEO CO.,04-27-2020,2696,1348,NA,513,153,NA,32490
86,CA- SANTA BARBARA,04-27-2020,966,483,NA,399,119,NA,29241
