HRRNum,HRR City,Last Update,Beds Avail,Vent. Avail,Staff Avail,Beds Needed,Vents Needed,Staff Needed,Cases
1,AL- BIRMINGHAM,04-28-2020,8445,4222,NA,497,149,NA,50410
2,AL- DOTHAN,04-28-2020,1328,664,NA,497,149,NA,40328
5,AL- HUNTSVILLE,04-28-2020,1880,940,NA,639,191,NA,35287
6,AL- MOBILE,04-28-2020,2857,1428,NA,355,71,NA,35287
7,AL- MONTGOMERY,04-28-2020,1546,773,NA,142,42,NA,50410
9,AL- TUSCALOOSA,04-28-2020,998,499,NA,213,42,NA,40328
11,AZ- MESA,04-28-2020,1980,990,NA,710,71,NA,5041
12,AZ- PHOENIX,04-28-2020,7575,3787,NA,71,7,NA,20164
14,AZ- SUN CITY,04-28-2020,810,405,NA,710,142,NA,5041
15,AZ- TUCSON,04-28-2020,2524,1262,NA,71,21,NA,5041
16,AR- FORT SMITH,04-28-2020,1281,640,NA,284,85,NA,25205
18,AR- JONESBORO,04-28-2020,904,452,NA,142,14,NA,45369
19,AR- LITTLE ROCK,04-28-2020,5772,2886,NA,639,63,NA,30246
21,AR- SPRINGDALE,04-28-2020,1057,528,NA,355,35,NA,50410
22,AR- TEXARKANA,04-28-2020,980,490,NA,639,191,NA,50410
23,CA- ORANGE CO.,04-28-2020,7651,3825,NA,142,28,NA,45369
25,CA- BAKERSFIELD,04-28-2020,3616,1808,NA,213,63,NA,5041
31,CA- CHICO,04-28-2020,640,320,NA,568,113,NA,30246
33,CA- CONTRA COSTA CO.,04-28-2020,2003,1001,NA,568,170,NA,10082
43,CA- FRESNO,04-28-2020,2283,1141,NA,710,71,NA,20164
56,CA- LOS ANGELES,04-28-2020,24803,12401,NA,355,71,NA,25205
58,CA- MODESTO,04-28-2020,1719,859,NA,71,21,NA,25205
62,CA- NAPA,04-28-2020,582,291,NA,568,113,NA,10082
65,CA- ALAMEDA CO.,04-28-2020,3379,1689,NA,71,7,NA,10082
69,CA- PALM SPR/RANCHO MIR.,04-28-2020,1053,526,NA,568,170,NA,40328
73,CA- REDDING,04-28-2020,1082,541,NA,710,142,NA,25205
77,CA- SACRAMENTO,04-28-2020,4784,2392,NA,568,113,NA,5041
78,CA- SALINAS,04-28-2020,793,396,NA,568,170,NA,25205
79,CA- SAN BERNARDINO,04-28-2020,5782,2891,NA,71,7,NA,50410
80,CA- SAN DIEGO,04-28-2020,7033,3516,NA,710,213,NA,45369
81,CA- SAN FRANCISCO,04-28-2020,5073,2536,NA,568,56,NA,20164
82,CA- SAN JOSE,04-28-2020,3026,1513,NA,213,63,NA,45369
83,CA- SAN LUIS OBISPO,04-28-2020,456,228,NA,426,42,NA,50410
85,CA- SAN MATEO CO.,04-28-2020,2696,1348,NA,355,35,NA,5041
86,CA- SANTA BARBARA,04-28-2020,966,483,NA,426,127,NA,5041
87,CA- SANTA CRUZ,04-28-2020,359,179,NA,710,71,NA,50410
89,CA- SANTA ROSA,04-28-2020,1861,930,NA,497,49,NA,45369
91,CA- STOCKTON,04-28-2020,1063,531,NA,568,56,NA,40328
96,CA- VENTURA,04-28-2020,1573,786,NA,710,142,NA,15123
101,CO- BOULDER,04-28-2020,475,237,NA,639,191,NA,45369
102,CO- COLORADO SPRINGS,04-28-2020,1035,517,NA,355,35,NA,25205
103,CO- DENVER,04-28-2020,4777,2388,NA,355,71,NA,10082
104,CO- FORT COLLINS,04-28-2020,639,319,NA,568,56,NA,15123
105,CO- GRAND JUNCTION,04-28-2020,792,396,NA,426,127,NA,30246
106,CO- GREELEY,04-28-2020,777,388,NA,284,85,NA,40328
107,CO- PUEBLO,04-28-2020,798,399,NA,710,213,NA,25205
109,CT- BRIDGEPORT,04-28-2020,1695,847,NA,426,42,NA,15123
110,CT- HARTFORD,04-28-2020,3256,1628,NA,142,14,NA,10082
111,CT- NEW HAVEN,04-28-2020,3852,1926,NA,71,14,NA,15123
112,DE- WILMINGTON,04-28-2020,1862,931,NA,71,14,NA,45369
113,DC- WASHINGTON,04-28-2020,5489,2744,NA,497,99,NA,50410
115,FL- BRADENTON,04-28-2020,709,354,NA,710,213,NA,35287
116,FL- CLEARWATER,04-28-2020,1637,818,NA,426,127,NA,35287
118,FL- FORT LAUDERDALE,04-28-2020,8699,4349,NA,426,127,NA,25205
119,FL- FORT MYERS,04-28-2020,3826,1913,NA,213,21,NA,15123
120,FL- GAINESVILLE,04-28-2020,1841,920,NA,426,127,NA,15123
122,FL- HUDSON,04-28-2020,1252,626,NA,426,85,NA,25205
123,FL- JACKSONVILLE,04-28-2020,4912,2456,NA,142,42,NA,30246
124,FL- LAKELAND,04-28-2020,1068,534,NA,639,127,NA,25205
127,FL- MIAMI,04-28-2020,10782,5391,NA,284,56,NA,10082
129,FL- OCALA,04-28-2020,1368,684,NA,71,21,NA,40328
130,FL- ORLANDO,04-28-2020,10361,5180,NA,213,42,NA,20164
131,FL- ORMOND BEACH,04-28-2020,1654,827,NA,284,28,NA,5041
133,FL- PANAMA CITY,04-28-2020,664,332,NA,71,7,NA,5041
134,FL- PENSACOLA,04-28-2020,2349,1174,NA,71,7,NA,35287
137,FL- SARASOTA,04-28-2020,1445,722,NA,71,7,NA,40328
139,FL- ST PETERSBURG,04-28-2020,1598,799,NA,497,149,NA,15123
140,FL- TALLAHASSEE,04-28-2020,2697,1348,NA,497,99,NA,50410
141,FL- TAMPA,04-28-2020,4260,2130,NA,568,113,NA,20164
142,GA- ALBANY,04-28-2020,1063,531,NA,142,14,NA,15123
144,GA- ATLANTA,04-28-2020,11979,5989,NA,639,191,NA,35287
145,GA- AUGUSTA,04-28-2020,2455,1227,NA,213,21,NA,40328
146,GA- COLUMBUS,04-28-2020,1259,629,NA,213,63,NA,50410
147,GA- MACON,04-28-2020,2236,1118,NA,71,14,NA,35287
148,GA- ROME,04-28-2020,732,366,NA,142,14,NA,20164
149,GA- SAVANNAH,04-28-2020,2058,1029,NA,71,14,NA,35287
151,ID- BOISE,04-28-2020,2077,1038,NA,355,106,NA,10082
152,ID- IDAHO FALLS,04-28-2020,461,230,NA,213,21,NA,35287
154,IL- AURORA,04-28-2020,527,263,NA,284,85,NA,25205
155,IL- BLUE ISLAND,04-28-2020,2536,1268,NA,497,49,NA,10082
156,IL- CHICAGO,04-28-2020,8560,4280,NA,710,71,NA,40328
158,IL- ELGIN,04-28-2020,1086,543,NA,568,170,NA,20164
161,IL- EVANSTON,04-28-2020,2416,1208,NA,497,99,NA,5041
163,IL- HINSDALE,04-28-2020,1100,550,NA,639,63,NA,30246
164,IL- JOLIET,04-28-2020,1326,663,NA,497,149,NA,10082
166,IL- MELROSE PARK,04-28-2020,3094,1547,NA,71,7,NA,10082
170,IL- PEORIA,04-28-2020,1859,929,NA,426,127,NA,10082
171,IL- ROCKFORD,04-28-2020,1531,765,NA,710,213,NA,10082
172,IL- SPRINGFIELD,04-28-2020,2545,1272,NA,213,63,NA,50410
173,IL- URBANA,04-28-2020,1039,519,NA,710,142,NA,25205
175,IL- BLOOMINGTON,04-28-2020,267,133,NA,213,21,NA,10082
179,IN- EVANSVILLE,04-28-2020,2045,1022,NA,568,170,NA,40328
180,IN- FORT WAYNE,04-28-2020,2212,1106,NA,142,14,NA,5041
