HRRNum,HRR City,Last Update,Beds Avail,Vent. Avail,Staff Avail,Beds Needed,Vents Needed,Staff Needed,Beds Count,Vent. Count,Staff Count,Cases
1,AL- BIRMINGHAM,05-09-2020,7535,3949,NA,910,273,NA,8445,4222,NA,66248
2,AL- DOTHAN,05-09-2020,418,482,NA,910,182,NA,1328,664,NA,8281
5,AL- HUNTSVILLE,05-09-2020,1243,749,NA,637,191,NA,1880,940,NA,33124
6,AL- MOBILE,05-09-2020,2220,1237,NA,637,191,NA,2857,1428,NA,74529
7,AL- MONTGOMERY,05-09-2020,1273,719,NA,273,54,NA,1546,773,NA,57967
9,AL- TUSCALOOSA,05-09-2020,543,408,NA,455,91,NA,998,499,NA,49686
11,AZ- MESA,05-09-2020,1889,981,NA,91,9,NA,1980,990,NA,74529
12,AZ- PHOENIX,05-09-2020,7029,3733,NA,546,54,NA,7575,3787,NA,8281
14,AZ- SUN CITY,05-09-2020,719,378,NA,91,27,NA,810,405,NA,82810
15,AZ- TUCSON,05-09-2020,1978,1099,NA,546,163,NA,2524,1262,NA,66248
16,AR- FORT SMITH,05-09-2020,1190,622,NA,91,18,NA,1281,640,NA,82810
18,AR- JONESBORO,05-09-2020,813,425,NA,91,27,NA,904,452,NA,82810
19,AR- LITTLE ROCK,05-09-2020,4862,2704,NA,910,182,NA,5772,2886,NA,82810
21,AR- SPRINGDALE,05-09-2020,966,501,NA,91,27,NA,1057,528,NA,8281
22,AR- TEXARKANA,05-09-2020,889,472,NA,91,18,NA,980,490,NA,24843
23,CA- ORANGE CO.,05-09-2020,6832,3580,NA,819,245,NA,7651,3825,NA,16562
25,CA- BAKERSFIELD,05-09-2020,3525,1781,NA,91,27,NA,3616,1808,NA,66248
31,CA- CHICO,05-09-2020,94,266,NA,546,54,NA,640,320,NA,74529
33,CA- CONTRA COSTA CO.,05-09-2020,1821,983,NA,182,18,NA,2003,1001,NA,57967
43,CA- FRESNO,05-09-2020,1646,950,NA,637,191,NA,2283,1141,NA,8281
56,CA- LOS ANGELES,05-09-2020,24166,12338,NA,637,63,NA,24803,12401,NA,74529
58,CA- MODESTO,05-09-2020,1537,805,NA,182,54,NA,1719,859,NA,24843
62,CA- NAPA,05-09-2020,0,73,NA,728,218,NA,582,291,NA,8281
65,CA- ALAMEDA CO.,05-09-2020,3106,1608,NA,273,81,NA,3379,1689,NA,66248
69,CA- PALM SPR/RANCHO MIR.,05-09-2020,598,390,NA,455,136,NA,1053,526,NA,8281
73,CA- REDDING,05-09-2020,718,505,NA,364,36,NA,1082,541,NA,41405
77,CA- SACRAMENTO,05-09-2020,4420,2320,NA,364,72,NA,4784,2392,NA,57967
78,CA- SALINAS,05-09-2020,0,233,NA,819,163,NA,793,396,NA,49686
79,CA- SAN BERNARDINO,05-09-2020,5327,2755,NA,455,136,NA,5782,2891,NA,82810
80,CA- SAN DIEGO,05-09-2020,6669,3480,NA,364,36,NA,7033,3516,NA,8281
81,CA- SAN FRANCISCO,05-09-2020,4709,2500,NA,364,36,NA,5073,2536,NA,49686
82,CA- SAN JOSE,05-09-2020,2207,1268,NA,819,245,NA,3026,1513,NA,24843
83,CA- SAN LUIS OBISPO,05-09-2020,365,201,NA,91,27,NA,456,228,NA,41405
85,CA- SAN MATEO CO.,05-09-2020,1786,1166,NA,910,182,NA,2696,1348,NA,49686
86,CA- SANTA BARBARA,05-09-2020,329,420,NA,637,63,NA,966,483,NA,82810
87,CA- SANTA CRUZ,05-09-2020,0,0,NA,910,182,NA,359,179,NA,41405
89,CA- SANTA ROSA,05-09-2020,1406,794,NA,455,136,NA,1861,930,NA,24843
91,CA- STOCKTON,05-09-2020,790,504,NA,273,27,NA,1063,531,NA,16562
96,CA- VENTURA,05-09-2020,936,659,NA,637,127,NA,1573,786,NA,66248
101,CO- BOULDER,05-09-2020,111,128,NA,364,109,NA,475,237,NA,66248
102,CO- COLORADO SPRINGS,05-09-2020,125,426,NA,910,91,NA,1035,517,NA,41405
103,CO- DENVER,05-09-2020,4049,2170,NA,728,218,NA,4777,2388,NA,8281
104,CO- FORT COLLINS,05-09-2020,93,265,NA,546,54,NA,639,319,NA,66248
105,CO- GRAND JUNCTION,05-09-2020,519,369,NA,273,27,NA,792,396,NA,8281
106,CO- GREELEY,05-09-2020,0,297,NA,910,91,NA,777,388,NA,41405
107,CO- PUEBLO,05-09-2020,707,372,NA,91,27,NA,798,399,NA,49686
109,CT- BRIDGEPORT,05-09-2020,1240,756,NA,455,91,NA,1695,847,NA,49686
110,CT- HARTFORD,05-09-2020,2619,1501,NA,637,127,NA,3256,1628,NA,49686
111,CT- NEW HAVEN,05-09-2020,3033,1681,NA,819,245,NA,3852,1926,NA,49686
112,DE- WILMINGTON,05-09-2020,1225,868,NA,637,63,NA,1862,931,NA,49686
113,DC- WASHINGTON,05-09-2020,5125,2672,NA,364,72,NA,5489,2744,NA,49686
115,FL- BRADENTON,05-09-2020,254,218,NA,455,136,NA,709,354,NA,24843
116,FL- CLEARWATER,05-09-2020,1546,791,NA,91,27,NA,1637,818,NA,41405
118,FL- FORT LAUDERDALE,05-09-2020,8517,4331,NA,182,18,NA,8699,4349,NA,8281
119,FL- FORT MYERS,05-09-2020,3007,1750,NA,819,163,NA,3826,1913,NA,74529
120,FL- GAINESVILLE,05-09-2020,1659,884,NA,182,36,NA,1841,920,NA,41405
122,FL- HUDSON,05-09-2020,615,499,NA,637,127,NA,1252,626,NA,66248
123,FL- JACKSONVILLE,05-09-2020,4639,2375,NA,273,81,NA,4912,2456,NA,49686
124,FL- LAKELAND,05-09-2020,613,398,NA,455,136,NA,1068,534,NA,8281
127,FL- MIAMI,05-09-2020,10236,5228,NA,546,163,NA,10782,5391,NA,24843
129,FL- OCALA,05-09-2020,640,539,NA,728,145,NA,1368,684,NA,33124
130,FL- ORLANDO,05-09-2020,9542,5017,NA,819,163,NA,10361,5180,NA,57967
131,FL- ORMOND BEACH,05-09-2020,1563,809,NA,91,18,NA,1654,827,NA,49686
133,FL- PANAMA CITY,05-09-2020,209,196,NA,455,136,NA,664,332,NA,57967
