date,Total Projected Demand (%),Total Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound
04-13-2020,82,32,30,33
04-14-2020,87,90,85,94
04-15-2020,88,96,91,100
04-16-2020,87,84,79,88
04-17-2020,82,32,30,33
04-18-2020,87,90,85,94
04-19-2020,92,140,133,147
04-20-2020,97,198,188,207
04-21-2020,96,192,182,201
04-22-2020,93,156,148,163
04-23-2020,92,140,133,147
04-24-2020,90,120,114,126
04-25-2020,102,256,243,268
04-26-2020,94,170,161,178
04-13-2020,80,4,3,4
04-14-2020,83,42,39,44
04-15-2020,81,16,15,16
04-16-2020,85,60,57,63
04-17-2020,81,12,11,12
04-18-2020,81,14,13,14
04-19-2020,82,32,30,33
04-20-2020,81,18,17,18
04-21-2020,90,120,114,126
04-22-2020,98,220,209,231
04-23-2020,90,120,114,126
04-24-2020,95,182,172,191
04-25-2020,84,56,53,58
04-26-2020,95,180,171,189
