date,Total Beds Avail,Total Vent. Avail,Total Staff Avail,Total Beds Needed,Total Vent. Needed,Total Staff Needed,Total Beds Count,Total Vent. Count,Total Staff Count,Total Cases
03-27-2020,951,481,NA,20,4,NA,971,485,NA,100
03-28-2020,957,481,NA,14,4,NA,971,485,NA,196
03-29-2020,953,480,NA,18,5,NA,971,485,NA,243
03-30-2020,927,472,NA,44,13,NA,971,485,NA,726
03-31-2020,919,480,NA,52,5,NA,971,485,NA,507
04-01-2020,836,458,NA,135,27,NA,971,485,NA,900
04-02-2020,818,440,NA,153,45,NA,971,485,NA,2312
04-03-2020,952,482,NA,19,3,NA,971,485,NA,2527
04-04-2020,950,481,NA,21,4,NA,971,485,NA,2646
04-05-2020,741,462,NA,230,23,NA,971,485,NA,3703
04-06-2020,771,445,NA,200,40,NA,971,485,NA,5000
04-07-2020,809,453,NA,162,32,NA,971,485,NA,2916
04-08-2020,710,433,NA,261,52,NA,971,485,NA,4205
04-09-2020,723,436,NA,248,49,NA,971,485,NA,6727
04-10-2020,872,476,NA,99,9,NA,971,485,NA,2178
04-11-2020,796,433,NA,175,52,NA,971,485,NA,3675
04-12-2020,601,374,NA,370,111,NA,971,485,NA,5476
04-13-2020,620,450,NA,351,35,NA,971,485,NA,6084
04-14-2020,930,477,NA,41,8,NA,971,485,NA,8405
04-15-2020,842,473,NA,129,12,NA,971,485,NA,11094
04-16-2020,521,440,NA,450,45,NA,971,485,NA,14175
04-17-2020,595,410,NA,376,75,NA,971,485,NA,2209
04-18-2020,677,456,NA,294,29,NA,971,485,NA,14406
04-19-2020,869,455,NA,102,30,NA,971,485,NA,10404
04-20-2020,441,379,NA,530,106,NA,971,485,NA,8427
04-21-2020,531,397,NA,440,88,NA,971,485,NA,27225
04-22-2020,800,451,NA,171,34,NA,971,485,NA,29241
04-23-2020,558,403,NA,413,82,NA,971,485,NA,13924
04-24-2020,544,400,NA,427,85,NA,971,485,NA,29768
04-25-2020,908,479,NA,63,6,NA,971,485,NA,15876
04-26-2020,841,446,NA,130,39,NA,971,485,NA,25350
04-27-2020,770,425,NA,201,60,NA,971,485,NA,35912
04-28-2020,281,347,NA,690,138,NA,971,485,NA,33327
04-29-2020,758,464,NA,213,21,NA,971,485,NA,25205
04-30-2020,314,354,NA,657,131,NA,971,485,NA,47961
05-01-2020,296,283,NA,675,202,NA,971,485,NA,5625
05-02-2020,355,301,NA,616,184,NA,971,485,NA,23716
05-03-2020,339,422,NA,632,63,NA,971,485,NA,56169
05-04-2020,485,437,NA,486,48,NA,971,485,NA,26244
05-05-2020,307,419,NA,664,66,NA,971,485,NA,13778
05-06-2020,206,332,NA,765,153,NA,971,485,NA,43350
05-07-2020,101,224,NA,870,261,NA,971,485,NA,7569
05-08-2020,259,414,NA,712,71,NA,971,485,NA,39605
05-09-2020,880,458,NA,91,27,NA,971,485,NA,82810
05-10-2020,320,355,NA,651,130,NA,971,485,NA,8649
05-11-2020,591,447,NA,380,38,NA,971,485,NA,54150
05-12-2020,389,427,NA,582,58,NA,971,485,NA,75272
05-13-2020,80,218,NA,891,267,NA,971,485,NA,68607
05-14-2020,0,384,NA,1010,101,NA,971,485,NA,61206
05-15-2020,559,444,NA,412,41,NA,971,485,NA,31827
