date,totalBedsAvail,totalVentsAvail,totalStaffAvail,totalBedsNeeded,totalVentsNeeded,totalStaffNeeded,totalCases
04-01-2020,3729,1864,NA,35,3,NA,150
04-02-2020,3729,1864,NA,7,0,NA,245
04-03-2020,3729,1864,NA,36,7,NA,810
04-04-2020,3729,1864,NA,66,19,NA,121
04-05-2020,3729,1864,NA,13,1,NA,1352
04-06-2020,3729,1864,NA,45,9,NA,675
04-07-2020,3729,1864,NA,102,10,NA,2601
04-08-2020,3729,1864,NA,19,1,NA,2888
04-09-2020,3729,1864,NA,105,10,NA,3969
04-10-2020,3729,1864,NA,115,11,NA,1587
04-11-2020,3729,1864,NA,100,30,NA,1250
04-12-2020,3729,1864,NA,162,32,NA,5103
04-13-2020,3729,1864,NA,116,34,NA,7569
04-14-2020,3729,1864,NA,93,9,NA,9610
04-15-2020,3729,1864,NA,99,19,NA,6534
04-16-2020,3729,1864,NA,350,70,NA,12250
04-17-2020,3729,1864,NA,259,25,NA,5476
04-18-2020,3729,1864,NA,351,70,NA,4563
04-19-2020,3729,1864,NA,410,82,NA,3362
04-20-2020,3729,1864,NA,344,103,NA,18490
04-21-2020,3729,1864,NA,315,94,NA,14175
04-22-2020,3729,1864,NA,188,56,NA,17672
04-23-2020,3729,1864,NA,441,88,NA,14406
04-24-2020,3729,1864,NA,306,91,NA,5202
04-25-2020,3729,1864,NA,530,159,NA,14045
04-26-2020,3729,1864,NA,330,33,NA,24200
04-27-2020,3729,1864,NA,570,114,NA,29241
04-28-2020,3729,1864,NA,118,35,NA,13924
04-29-2020,3729,1864,NA,366,109,NA,37210
