date,Total Beds Avail,Total Vent. Avail,Total Staff Avail,Total Beds Needed,Total Vent. Needed,Total Staff Needed,Total Cases
03-26-2020,940,470,NA,20,2,NA,125
03-27-2020,940,470,NA,70,7,NA,490
03-28-2020,940,470,NA,72,21,NA,81
03-29-2020,940,470,NA,88,17,NA,1210
03-30-2020,940,470,NA,117,35,NA,1521
03-31-2020,940,470,NA,150,30,NA,225
04-01-2020,940,470,NA,170,17,NA,2023
04-02-2020,940,470,NA,57,5,NA,1444
04-03-2020,940,470,NA,63,18,NA,2646
04-04-2020,940,470,NA,230,69,NA,2116
04-05-2020,940,470,NA,225,45,NA,4375
04-06-2020,940,470,NA,81,16,NA,5103
04-07-2020,940,470,NA,232,69,NA,2523
04-08-2020,940,470,NA,248,49,NA,6727
04-09-2020,940,470,NA,165,49,NA,8712
04-10-2020,940,470,NA,175,52,NA,3675
04-11-2020,940,470,NA,148,29,NA,4107
04-12-2020,940,470,NA,312,31,NA,12168
04-13-2020,940,470,NA,41,8,NA,8405
04-14-2020,940,470,NA,387,77,NA,12943
04-15-2020,940,470,NA,180,36,NA,20250
04-16-2020,940,470,NA,47,9,NA,8836
04-17-2020,940,470,NA,196,58,NA,19208
04-18-2020,940,470,NA,408,40,NA,5202
04-19-2020,940,470,NA,318,95,NA,28090
04-20-2020,940,470,NA,55,11,NA,30250
04-21-2020,940,470,NA,171,17,NA,12996
04-22-2020,940,470,NA,590,177,NA,24367
04-23-2020,940,470,NA,244,48,NA,18605
04-24-2020,940,470,NA,378,75,NA,39690
04-25-2020,940,470,NA,130,26,NA,42250
04-26-2020,940,470,NA,670,201,NA,8978
04-27-2020,940,470,NA,414,124,NA,38088
04-28-2020,940,470,NA,284,85,NA,40328
04-29-2020,940,470,NA,730,73,NA,15987
04-30-2020,940,470,NA,525,157,NA,33750
05-01-2020,940,470,NA,77,15,NA,59290
05-02-2020,940,470,NA,158,15,NA,62410
05-03-2020,940,470,NA,486,145,NA,13122
05-04-2020,940,470,NA,830,83,NA,13778
05-05-2020,940,470,NA,85,25,NA,36125
05-06-2020,940,470,NA,609,121,NA,45414
