HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,86.88,262,252,277,85.6,88.47,262 [252 - 277],86.88% [85.6% - 88.47%],580,473,715,10-13-2020
2,AL- DOTHAN,93.58,78,74,83,89.71,96.42,78 [74 - 83],93.58% [89.71% - 96.42%],180,129,218,10-13-2020
5,AL- HUNTSVILLE,87.32,61,59,64,86.12,88.4,61 [59 - 64],87.32% [86.12% - 88.4%],137,115,158,10-13-2020
6,AL- MOBILE,91.22,177,170,190,88.93,94.39,177 [170 - 190],91.22% [88.93% - 94.39%],320,255,411,10-13-2020
7,AL- MONTGOMERY,84.77,32,31,34,83.82,86.08,32 [31 - 34],84.77% [83.82% - 86.08%],73,59,94,10-13-2020
9,AL- TUSCALOOSA,101.14,112,106,123,94.63,109.86,112 [106 - 123],101.14% [94.63% - 109.86%],211,146,298,10-13-2020
11,AZ- MESA,85.66,47,46,49,84.65,86.57,47 [46 - 49],85.66% [84.65% - 86.57%],112,92,130,10-13-2020
12,AZ- PHOENIX,84.8,170,164,178,83.76,85.77,170 [164 - 178],84.8% [83.76% - 85.77%],363,285,437,10-13-2020
14,AZ- SUN CITY,82.3,7,7,7,81.85,82.72,7 [7 - 7],82.3% [81.85% - 82.72%],18,15,22,10-13-2020
15,AZ- TUCSON,84.07,41,39,45,82.97,85.23,41 [39 - 45],84.07% [82.97% - 85.23%],102,75,132,10-13-2020
16,AR- FORT SMITH,89.07,56,55,59,87.81,91.09,56 [55 - 59],89.07% [87.81% - 91.09%],116,100,142,10-13-2020
18,AR- JONESBORO,91.23,49,48,50,89.96,92.61,49 [48 - 50],91.23% [89.96% - 92.61%],101,90,114,10-13-2020
19,AR- LITTLE ROCK,86.65,189,183,203,85.7,88.66,189 [183 - 203],86.65% [85.7% - 88.66%],383,329,500,10-13-2020
21,AR- SPRINGDALE,92.52,59,57,62,89.93,94.47,59 [57 - 62],92.52% [89.93% - 94.47%],132,105,153,10-13-2020
22,AR- TEXARKANA,85.33,21,21,24,83.16,86.43,21 [21 - 24],85.33% [83.16% - 86.43%],52,31,63,10-13-2020
23,CA- ORANGE CO.,83.19,113,110,120,82.68,83.92,113 [110 - 120],83.19% [82.68% - 83.92%],243,205,300,10-13-2020
25,CA- BAKERSFIELD,83.07,46,44,48,82.6,83.71,46 [44 - 48],83.07% [82.6% - 83.71%],110,94,134,10-13-2020
31,CA- CHICO,83.32,7,7,8,82.19,84.06,7 [7 - 8],83.32% [82.19% - 84.06%],21,14,26,10-13-2020
33,CA- CONTRA COSTA CO.,84.77,42,41,44,83.94,85.74,42 [41 - 44],84.77% [83.94% - 85.74%],95,79,115,10-13-2020
43,CA- FRESNO,86.26,59,57,63,85.21,87.67,59 [57 - 63],86.26% [85.21% - 87.67%],142,119,175,10-13-2020
56,CA- LOS ANGELES,84.65,560,540,588,83.75,85.73,560 [540 - 588],84.65% [83.75% - 85.73%],1152,929,1421,10-13-2020
