date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
08-30-2020,10,10,13
08-31-2020,10,10,10
09-01-2020,10,10,10
09-02-2020,10,10,10
09-03-2020,10,10,12
09-04-2020,10,10,12
09-05-2020,10,10,13
09-06-2020,9,9,13
09-07-2020,10,10,13
09-08-2020,10,10,14
09-09-2020,10,10,14
09-10-2020,11,11,14
09-11-2020,11,11,14
09-12-2020,13,11,15
09-13-2020,13,11,15
09-14-2020,13,11,15
09-15-2020,13,11,15
09-16-2020,13,11,15
09-17-2020,13,11,15
09-18-2020,13,11,15
09-19-2020,13,11,15
09-20-2020,13,11,16
09-21-2020,13,11,16
09-22-2020,13,11,17
09-23-2020,13,11,17
09-24-2020,14,11,17
09-25-2020,15,11,17
09-26-2020,15,11,18
09-27-2020,15,12,20
09-28-2020,15,12,20
09-29-2020,15,12,20
09-30-2020,15,13,20
10-01-2020,15,13,22
10-02-2020,15,13,22
10-03-2020,16,13,22
10-04-2020,16,13,23
10-05-2020,16,13,24
10-06-2020,17,13,26
10-07-2020,17,13,26
10-08-2020,17,13,27
10-09-2020,17,14,28
10-10-2020,18,15,28
10-11-2020,18,16,30
10-12-2020,18,16,30
10-13-2020,18,16,33
10-14-2020,19,16,34
10-15-2020,20,16,35
10-16-2020,20,16,36
10-17-2020,20,16,36
10-18-2020,20,16,38
10-19-2020,21,17,39
10-20-2020,23,17,40
10-21-2020,23,17,41
10-22-2020,23,17,43
10-23-2020,24,17,43
10-24-2020,24,17,45
