HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,85.85,490,452,582,82.81,92.61,490 [452 - 582],85.85% [82.81% - 92.61%],494,237,1065,10-20-2020
2,AL- DOTHAN,81.3,14,14,19,80.68,83.61,14 [14 - 19],81.3% [80.68% - 83.61%],17,9,48,10-20-2020
5,AL- HUNTSVILLE,87.72,140,133,159,84.52,93.94,140 [133 - 159],87.72% [84.52% - 93.94%],145,85,262,10-20-2020
6,AL- MOBILE,82.55,70,64,81,81.09,84.9,70 [64 - 81],82.55% [81.09% - 84.9%],72,31,140,10-20-2020
7,AL- MONTGOMERY,87.06,103,96,130,83.3,97.27,103 [96 - 130],87.06% [83.3% - 97.27%],109,51,267,10-20-2020
9,AL- TUSCALOOSA,84.63,42,39,50,81.8,89.32,42 [39 - 50],84.63% [81.8% - 89.32%],46,18,93,10-20-2020
11,AZ- MESA,93.52,264,246,304,87.58,105.1,264 [246 - 304],93.52% [87.58% - 105.1%],267,150,497,10-20-2020
12,AZ- PHOENIX,88.97,676,626,795,84.87,98.39,676 [626 - 795],88.97% [84.87% - 98.39%],679,369,1393,10-20-2020
14,AZ- SUN CITY,85.95,45,42,52,83.21,91.11,45 [42 - 52],85.95% [83.21% - 91.11%],48,26,90,10-20-2020
15,AZ- TUCSON,84.32,105,97,130,81.94,90.42,105 [97 - 130],84.32% [81.94% - 90.42%],109,49,263,10-20-2020
16,AR- FORT SMITH,85.26,63,59,70,82.58,88.43,63 [59 - 70],85.26% [82.58% - 88.43%],67,33,108,10-20-2020
18,AR- JONESBORO,89.8,84,77,98,84.09,99.47,84 [77 - 98],89.8% [84.09% - 99.47%],88,37,176,10-20-2020
19,AR- LITTLE ROCK,83.31,187,174,213,81.82,86.13,187 [174 - 213],83.31% [81.82% - 86.13%],190,105,354,10-20-2020
21,AR- SPRINGDALE,85.95,59,56,66,83.41,90.03,59 [56 - 66],85.95% [83.41% - 90.03%],62,36,106,10-20-2020
22,AR- TEXARKANA,86.36,56,53,69,82.96,93.27,56 [53 - 69],86.36% [82.96% - 93.27%],62,29,130,10-20-2020
23,CA- ORANGE CO.,81.19,88,83,98,80.67,81.97,88 [83 - 98],81.19% [80.67% - 81.97%],91,51,151,10-20-2020
25,CA- BAKERSFIELD,80.98,29,28,33,80.66,81.63,29 [28 - 33],80.98% [80.66% - 81.63%],35,24,59,10-20-2020
31,CA- CHICO,80.8,0,0,1,80.0,81.56,0 [0 - 1],80.8% [80.0% - 81.56%],5,0,10,10-20-2020
33,CA- CONTRA COSTA CO.,81.28,21,21,24,80.7,82.0,21 [21 - 24],81.28% [80.7% - 82.0%],25,14,40,10-20-2020
43,CA- FRESNO,81.48,28,27,33,80.92,82.89,28 [27 - 33],81.48% [80.92% - 82.89%],33,21,66,10-20-2020
56,CA- LOS ANGELES,82.26,559,526,609,81.36,83.54,559 [526 - 609],82.26% [81.36% - 83.54%],560,337,879,10-20-2020
58,CA- MODESTO,86.62,111,103,153,82.85,101.87,111 [103 - 153],86.62% [82.85% - 101.87%],113,49,376,10-20-2020
62,CA- NAPA,80.81,0,0,2,80.0,81.72,0 [0 - 2],80.81% [80.0% - 81.72%],4,0,10,10-20-2020
65,CA- ALAMEDA CO.,80.5,14,14,15,80.33,80.8,14 [14 - 15],80.5% [80.33% - 80.8%],16,11,27,10-20-2020
69,CA- PALM SPR/RANCHO MIR.,81.3,8,8,10,80.76,81.99,8 [8 - 10],81.3% [80.76% - 81.99%],13,8,21,10-20-2020
73,CA- REDDING,84.48,48,45,55,81.94,88.04,48 [45 - 55],84.48% [81.94% - 88.04%],48,21,87,10-20-2020
77,CA- SACRAMENTO,81.2,55,51,64,80.5,82.32,55 [51 - 64],81.2% [80.5% - 82.32%],57,24,111,10-20-2020
78,CA- SALINAS,82.53,14,14,16,81.39,83.91,14 [14 - 16],82.53% [81.39% - 83.91%],20,11,31,10-20-2020
79,CA- SAN BERNARDINO,83.08,175,166,190,81.89,84.81,175 [166 - 190],83.08% [81.89% - 84.81%],178,109,278,10-20-2020
80,CA- SAN DIEGO,82.67,187,176,206,81.56,84.39,187 [176 - 206],82.67% [81.56% - 84.39%],187,110,309,10-20-2020
81,CA- SAN FRANCISCO,80.53,21,20,25,80.24,80.89,21 [20 - 25],80.53% [80.24% - 80.89%],26,12,45,10-20-2020
82,CA- SAN JOSE,81.1,32,30,37,80.59,82.15,32 [30 - 37],81.1% [80.59% - 82.15%],33,18,65,10-20-2020
83,CA- SAN LUIS OBISPO,82.22,7,7,8,81.1,83.29,7 [7 - 8],82.22% [81.1% - 83.29%],10,5,15,10-20-2020
85,CA- SAN MATEO CO.,80.49,7,7,9,80.22,80.78,7 [7 - 9],80.49% [80.22% - 80.78%],13,6,21,10-20-2020
86,CA- SANTA BARBARA,80.64,0,0,1,80.52,81.24,0 [0 - 1],80.64% [80.52% - 81.24%],6,5,12,10-20-2020
87,CA- SANTA CRUZ,81.74,0,0,0,81.39,81.67,0 [0 - 0],81.74% [81.39% - 81.67%],6,5,6,10-20-2020
89,CA- SANTA ROSA,82.04,35,34,39,81.13,83.28,35 [34 - 39],82.04% [81.13% - 83.28%],38,21,61,10-20-2020
91,CA- STOCKTON,80.84,7,7,7,80.38,81.22,7 [7 - 7],80.84% [80.38% - 81.22%],8,4,13,10-20-2020
96,CA- VENTURA,81.38,18,17,21,80.76,82.29,18 [17 - 21],81.38% [80.76% - 82.29%],21,12,36,10-20-2020
101,CO- BOULDER,82.01,7,7,8,81.47,82.53,7 [7 - 8],82.01% [81.47% - 82.53%],9,7,12,10-20-2020
102,CO- COLORADO SPRINGS,139.4,611,564,765,109.47,237.2,611 [564 - 765],139.4% [109.47% - 237.2%],614,305,1627,10-20-2020
103,CO- DENVER,102.34,1064,989,1213,92.41,121.36,1064 [989 - 1213],102.34% [92.41% - 121.36%],1067,593,1976,10-20-2020
104,CO- FORT COLLINS,106.69,167,154,193,93.93,130.08,167 [154 - 193],106.69% [93.93% - 130.08%],170,89,320,10-20-2020
105,CO- GRAND JUNCTION,96.81,131,123,156,89.47,114.09,131 [123 - 156],96.81% [89.47% - 114.09%],133,75,270,10-20-2020
106,CO- GREELEY,90.94,81,75,94,85.02,101.88,81 [75 - 94],90.94% [85.02% - 101.88%],85,39,170,10-20-2020
107,CO- PUEBLO,92.27,94,87,111,86.02,105.44,94 [87 - 111],92.27% [86.02% - 105.44%],97,48,203,10-20-2020
109,CT- BRIDGEPORT,92.16,202,190,231,87.14,102.01,202 [190 - 231],92.16% [87.14% - 102.01%],206,121,373,10-20-2020
110,CT- HARTFORD,97.67,572,530,641,89.83,110.01,572 [530 - 641],97.67% [89.83% - 110.01%],575,320,977,10-20-2020
111,CT- NEW HAVEN,102.86,878,803,1044,90.93,126.88,878 [803 - 1044],102.86% [90.93% - 126.88%],880,421,1806,10-20-2020
112,DE- WILMINGTON,82.25,40,37,45,80.97,83.92,40 [37 - 45],82.25% [80.97% - 83.92%],41,18,73,10-20-2020
113,DC- WASHINGTON,84.9,265,248,304,82.88,89.2,265 [248 - 304],84.9% [82.88% - 89.2%],268,158,505,10-20-2020
115,FL- BRADENTON,85.19,34,33,38,83.1,88.74,34 [33 - 38],85.19% [83.1% - 88.74%],36,22,62,10-20-2020
