date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
09-13-2020,3292,3215,3470
09-14-2020,3351,3264,3525
09-15-2020,3455,3371,3618
09-16-2020,3459,3384,3637
09-17-2020,3470,3392,3632
09-18-2020,3457,3386,3607
09-19-2020,3443,3368,3609
09-20-2020,3428,3341,3646
09-21-2020,3418,3297,3685
09-22-2020,3395,3259,3724
09-23-2020,3380,3214,3751
09-24-2020,3336,3170,3774
09-25-2020,3299,3101,3773
09-26-2020,3318,3091,3815
09-27-2020,3337,3099,3841
09-28-2020,3339,3078,3894
09-29-2020,3352,3065,3952
09-30-2020,3361,3052,4010
10-01-2020,3385,3043,4062
10-02-2020,3395,3024,4118
10-03-2020,3451,3048,4417
10-04-2020,3473,3026,4494
10-05-2020,3576,3037,4674
10-06-2020,3592,3030,4785
10-07-2020,3703,3070,4960
10-08-2020,3707,3040,5086
10-09-2020,3825,3081,5269
10-10-2020,3863,3074,5414
10-11-2020,3967,3223,5570
10-12-2020,3992,3208,5735
10-13-2020,4012,3200,5868
10-14-2020,4064,3184,6022
10-15-2020,4087,3182,6153
10-16-2020,4125,3185,6315
10-17-2020,4166,3175,6440
10-18-2020,4197,3173,6589
10-19-2020,4237,3155,6731
10-20-2020,4263,3141,6884
10-21-2020,4303,3118,7022
10-22-2020,4321,3095,7151
10-23-2020,4348,3076,7261
10-24-2020,4361,3061,7371
10-25-2020,4368,3053,7479
10-26-2020,4381,3043,7607
10-27-2020,4378,3023,7705
10-28-2020,4388,2998,7824
10-29-2020,4398,2985,7912
10-30-2020,4397,2974,8017
10-31-2020,4395,2946,8108
11-01-2020,4408,2924,8219
11-02-2020,4417,2899,8325
11-03-2020,4422,2867,8403
11-04-2020,4408,2842,8494
11-05-2020,4414,2821,8571
11-06-2020,4411,2779,8654
11-07-2020,4396,2755,8715
11-08-2020,4399,2726,8800
11-09-2020,4387,2695,8865
11-10-2020,4371,2653,8910
11-11-2020,4353,2627,8968
11-12-2020,4334,2599,9036
11-13-2020,4314,2567,9097
11-14-2020,4291,2538,9138
