HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,87.94,666,650,690,86.69,89.48,666 [650 - 690],87.94% [86.69% - 89.48%],670,565,801,09-08-2020
2,AL- DOTHAN,85.15,66,64,68,84.14,85.72,66 [64 - 68],85.15% [84.14% - 85.72%],68,55,76,09-08-2020
5,AL- HUNTSVILLE,84.55,81,80,85,83.94,85.8,81 [80 - 85],84.55% [83.94% - 85.8%],85,74,109,09-08-2020
6,AL- MOBILE,82.46,65,65,68,82.38,82.94,65 [65 - 68],82.46% [82.38% - 82.94%],70,68,84,09-08-2020
7,AL- MONTGOMERY,85.46,82,81,83,84.59,85.56,82 [81 - 83],85.46% [84.59% - 85.56%],84,71,86,09-08-2020
9,AL- TUSCALOOSA,87.33,70,68,73,85.11,88.82,70 [68 - 73],87.33% [85.11% - 88.82%],73,51,88,09-08-2020
11,AZ- MESA,83.4,63,62,65,82.98,83.94,63 [62 - 65],83.4% [82.98% - 83.94%],67,59,78,09-08-2020
12,AZ- PHOENIX,81.96,146,143,150,81.64,82.23,146 [143 - 150],81.96% [81.64% - 82.23%],148,124,169,09-08-2020
14,AZ- SUN CITY,81.12,7,7,7,80.86,81.23,7 [7 - 7],81.12% [80.86% - 81.23%],9,7,10,09-08-2020
15,AZ- TUCSON,81.44,35,35,37,81.31,81.66,35 [35 - 37],81.44% [81.31% - 81.66%],36,33,42,09-08-2020
16,AR- FORT SMITH,82.15,21,21,22,82.11,82.34,21 [21 - 22],82.15% [82.11% - 82.34%],27,27,30,09-08-2020
18,AR- JONESBORO,84.24,34,34,37,83.65,85.2,34 [34 - 37],84.24% [83.65% - 85.2%],38,33,47,09-08-2020
19,AR- LITTLE ROCK,82.53,143,137,148,81.92,82.95,143 [137 - 148],82.53% [81.92% - 82.95%],146,111,170,09-08-2020
21,AR- SPRINGDALE,91.84,122,116,134,88.14,98.26,122 [116 - 134],91.84% [88.14% - 98.26%],125,86,193,09-08-2020
22,AR- TEXARKANA,82.33,21,21,23,82.24,82.86,21 [21 - 23],82.33% [82.24% - 82.86%],22,22,28,09-08-2020
23,CA- ORANGE CO.,82.62,196,194,198,82.4,82.77,196 [194 - 198],82.62% [82.4% - 82.77%],200,184,212,09-08-2020
25,CA- BAKERSFIELD,82.66,92,91,94,82.38,82.9,92 [91 - 94],82.66% [82.38% - 82.9%],96,86,105,09-08-2020
31,CA- CHICO,94.3,88,86,92,92.03,96.88,88 [86 - 92],94.3% [92.03% - 96.88%],91,77,108,09-08-2020
33,CA- CONTRA COSTA CO.,82.91,55,54,57,82.4,83.39,55 [54 - 57],82.91% [82.4% - 83.39%],58,48,68,09-08-2020
43,CA- FRESNO,87.92,178,174,182,86.79,89.02,178 [174 - 182],87.92% [86.79% - 89.02%],180,155,206,09-08-2020
56,CA- LOS ANGELES,82.44,601,590,613,82.15,82.75,601 [590 - 613],82.44% [82.15% - 82.75%],605,533,682,09-08-2020
58,CA- MODESTO,86.3,106,104,108,85.53,86.75,106 [104 - 108],86.3% [85.53% - 86.75%],108,95,116,09-08-2020
62,CA- NAPA,83.19,14,14,14,82.58,83.09,14 [14 - 14],83.19% [82.58% - 83.09%],18,15,18,09-08-2020
65,CA- ALAMEDA CO.,83.05,102,101,104,82.69,83.28,102 [101 - 104],83.05% [82.69% - 83.28%],103,91,111,09-08-2020
69,CA- PALM SPR/RANCHO MIR.,81.88,15,15,16,81.61,81.99,15 [15 - 16],81.88% [81.61% - 81.99%],19,17,21,09-08-2020
73,CA- REDDING,80.66,5,5,6,80.37,80.92,5 [5 - 6],80.66% [80.37% - 80.92%],7,4,10,09-08-2020
77,CA- SACRAMENTO,84.9,230,223,236,84.1,85.54,230 [223 - 236],84.9% [84.1% - 85.54%],234,196,265,09-08-2020
78,CA- SALINAS,88.63,63,63,64,87.82,89.33,63 [63 - 64],88.63% [87.82% - 89.33%],68,62,74,09-08-2020
79,CA- SAN BERNARDINO,83.43,195,192,199,83.03,83.8,195 [192 - 199],83.43% [83.03% - 83.8%],198,175,220,09-08-2020
80,CA- SAN DIEGO,83.83,266,260,273,83.2,84.41,266 [260 - 273],83.83% [83.2% - 84.41%],269,225,310,09-08-2020
81,CA- SAN FRANCISCO,81.64,79,78,82,81.46,81.95,79 [78 - 82],81.64% [81.46% - 81.95%],82,74,99,09-08-2020
82,CA- SAN JOSE,85.03,147,146,149,84.63,85.42,147 [146 - 149],85.03% [84.63% - 85.42%],152,140,164,09-08-2020
83,CA- SAN LUIS OBISPO,84.01,14,14,14,83.95,83.95,14 [14 - 14],84.01% [83.95% - 83.95%],18,18,18,09-08-2020
85,CA- SAN MATEO CO.,82.07,49,49,51,81.85,82.34,49 [49 - 51],82.07% [81.85% - 82.34%],55,50,63,09-08-2020
86,CA- SANTA BARBARA,83.03,23,23,24,82.8,83.42,23 [23 - 24],83.03% [82.8% - 83.42%],29,27,33,09-08-2020
87,CA- SANTA CRUZ,86.31,21,21,22,85.29,86.41,21 [21 - 22],86.31% [85.29% - 86.41%],22,19,23,09-08-2020
89,CA- SANTA ROSA,83.16,56,56,57,82.79,83.33,56 [56 - 57],83.16% [82.79% - 83.33%],58,52,62,09-08-2020
91,CA- STOCKTON,89.54,98,97,100,88.75,90.54,98 [97 - 100],89.54% [88.75% - 90.54%],101,93,112,09-08-2020
96,CA- VENTURA,83.64,52,51,53,83.05,83.88,52 [51 - 53],83.64% [83.05% - 83.88%],57,48,61,09-08-2020
101,CO- BOULDER,85.24,20,20,21,83.58,86.11,20 [20 - 21],85.24% [83.58% - 86.11%],24,17,29,09-08-2020
102,CO- COLORADO SPRINGS,82.53,21,21,23,81.64,83.48,21 [21 - 23],82.53% [81.64% - 83.48%],26,17,36,09-08-2020
