date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
08-30-2020,20,18,22
08-31-2020,20,18,20
09-01-2020,19,18,19
09-02-2020,19,18,19
09-03-2020,20,20,24
09-04-2020,22,22,24
09-05-2020,24,23,24
09-06-2020,24,23,24
09-07-2020,25,23,25
09-08-2020,25,24,27
09-09-2020,25,24,31
09-10-2020,28,26,31
09-11-2020,28,26,31
09-12-2020,29,27,34
09-13-2020,31,27,34
09-14-2020,32,28,39
09-15-2020,32,30,39
09-16-2020,37,31,40
09-17-2020,37,31,43
09-18-2020,40,34,46
09-19-2020,41,36,49
09-20-2020,42,37,50
09-21-2020,45,38,53
09-22-2020,48,38,58
09-23-2020,49,41,60
09-24-2020,52,44,65
09-25-2020,53,44,67
09-26-2020,58,45,75
09-27-2020,60,48,79
09-28-2020,63,49,83
09-29-2020,66,52,87
09-30-2020,70,53,93
10-01-2020,71,56,98
10-02-2020,75,57,103
10-03-2020,78,60,109
10-04-2020,83,63,116
10-05-2020,85,63,123
10-06-2020,90,66,130
10-07-2020,92,67,135
10-08-2020,97,69,142
10-09-2020,98,71,150
10-10-2020,103,71,157
10-11-2020,105,76,163
10-12-2020,109,75,170
10-13-2020,113,75,177
10-14-2020,115,78,183
10-15-2020,117,78,189
10-16-2020,118,77,195
10-17-2020,120,78,207
10-18-2020,124,80,212
10-19-2020,123,79,219
10-20-2020,126,78,223
10-21-2020,128,79,228
10-22-2020,128,79,231
10-23-2020,131,78,235
10-24-2020,130,79,239
