HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,91.34,464,426,575,85.19,106.71,464 [426 - 575],91.34% [85.19% - 106.71%],957,438,2256,10-20-2020
2,AL- DOTHAN,82.61,14,13,18,80.9,87.0,14 [13 - 18],82.61% [80.9% - 87.0%],34,12,93,10-20-2020
5,AL- HUNTSVILLE,95.44,140,130,166,88.3,110.32,140 [130 - 166],95.44% [88.3% - 110.32%],290,156,570,10-20-2020
6,AL- MOBILE,84.78,60,56,73,82.14,90.05,60 [56 - 73],84.78% [82.14% - 90.05%],136,61,287,10-20-2020
7,AL- MONTGOMERY,94.24,105,98,140,86.66,118.81,105 [98 - 140],94.24% [86.66% - 118.81%],220,103,600,10-20-2020
9,AL- TUSCALOOSA,89.26,42,38,50,83.11,99.54,42 [38 - 50],89.26% [83.11% - 99.54%],92,31,195,10-20-2020
11,AZ- MESA,108.79,301,278,356,95.51,136.41,301 [278 - 356],108.79% [95.51% - 136.41%],570,307,1117,10-20-2020
12,AZ- PHOENIX,99.0,762,700,925,89.73,121.0,762 [700 - 925],99.0% [89.73% - 121.0%],1439,737,3106,10-20-2020
14,AZ- SUN CITY,92.68,52,49,62,86.67,105.06,52 [49 - 62],92.68% [86.67% - 105.06%],102,54,203,10-20-2020
15,AZ- TUCSON,88.49,104,95,136,83.57,102.54,104 [95 - 136],88.49% [83.57% - 102.54%],214,90,569,10-20-2020
16,AR- FORT SMITH,89.65,53,50,64,85.15,98.19,53 [50 - 64],89.65% [85.15% - 98.19%],123,66,233,10-20-2020
18,AR- JONESBORO,98.81,77,70,95,87.3,120.71,77 [70 - 95],98.81% [87.3% - 120.71%],170,66,368,10-20-2020
19,AR- LITTLE ROCK,86.51,189,174,220,83.41,92.92,189 [174 - 220],86.51% [83.41% - 92.92%],375,197,746,10-20-2020
