date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
10-04-2020,3,3,4
10-05-2020,2,2,3
10-06-2020,5,5,5
10-07-2020,5,5,5
10-08-2020,5,5,5
10-09-2020,6,6,6
10-10-2020,7,7,7
10-11-2020,7,7,8
10-12-2020,8,7,8
10-13-2020,8,8,8
10-14-2020,9,9,11
10-15-2020,9,9,9
10-16-2020,8,8,8
10-17-2020,8,8,9
10-18-2020,8,8,9
10-19-2020,9,9,9
10-20-2020,9,9,10
10-21-2020,9,9,11
10-22-2020,9,9,12
10-23-2020,9,8,12
10-24-2020,10,8,12
10-25-2020,10,8,13
10-26-2020,10,8,13
10-27-2020,10,7,13
10-28-2020,10,7,13
10-29-2020,11,7,15
10-30-2020,11,7,15
10-31-2020,11,7,16
11-01-2020,11,7,17
11-02-2020,10,7,17
11-03-2020,10,7,18
11-04-2020,11,7,19
11-05-2020,11,7,21
11-06-2020,11,7,21
11-07-2020,11,7,21
11-08-2020,13,7,21
11-09-2020,13,7,23
11-10-2020,13,6,26
11-11-2020,13,6,26
11-12-2020,13,6,26
11-13-2020,14,6,26
11-14-2020,14,6,28
11-15-2020,14,6,29
11-16-2020,14,6,31
11-17-2020,14,6,32
11-18-2020,14,6,34
11-19-2020,14,6,34
11-20-2020,14,6,34
11-21-2020,14,7,36
11-22-2020,14,7,39
11-23-2020,14,7,39
11-24-2020,14,7,40
11-25-2020,14,7,41
11-26-2020,15,7,42
11-27-2020,15,7,42
11-28-2020,15,7,45
11-29-2020,15,6,42
11-30-2020,15,6,44
12-01-2020,14,5,43
12-02-2020,15,4,46
12-03-2020,13,4,44
12-04-2020,12,4,45
12-05-2020,12,4,43
