HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,90.89,441,403,569,84.54,109.15,441 [403 - 569],90.89% [84.54% - 109.15%],919,383,2462,10-20-2020
2,AL- DOTHAN,82.61,14,13,18,80.23,86.85,14 [13 - 18],82.61% [80.23% - 86.85%],34,3,91,10-20-2020
5,AL- HUNTSVILLE,95.45,140,129,171,87.07,114.68,140 [129 - 171],95.45% [87.07% - 114.68%],290,133,652,10-20-2020
6,AL- MOBILE,84.41,56,52,70,82.0,90.36,56 [52 - 70],84.41% [82.0% - 90.36%],125,57,296,10-20-2020
7,AL- MONTGOMERY,93.99,99,91,137,85.89,123.66,99 [91 - 137],93.99% [85.89% - 123.66%],216,91,675,10-20-2020
9,AL- TUSCALOOSA,89.25,42,37,52,82.0,101.54,42 [37 - 52],89.25% [82.0% - 101.54%],92,20,215,10-20-2020
11,AZ- MESA,113.06,344,316,423,96.21,154.95,344 [316 - 423],113.06% [96.21% - 154.95%],654,321,1484,10-20-2020
12,AZ- PHOENIX,101.24,837,766,1057,89.7,133.21,837 [766 - 1057],101.24% [89.7% - 133.21%],1608,735,4031,10-20-2020
14,AZ- SUN CITY,94.63,60,56,75,87.16,113.46,60 [56 - 75],94.63% [87.16% - 113.46%],118,58,271,10-20-2020
15,AZ- TUCSON,88.77,110,100,152,83.49,107.26,110 [100 - 152],88.77% [83.49% - 107.26%],221,88,688,10-20-2020
16,AR- FORT SMITH,88.85,53,49,65,84.84,99.91,53 [49 - 65],88.85% [84.84% - 99.91%],113,62,255,10-20-2020
18,AR- JONESBORO,97.3,72,65,93,85.31,124.69,72 [65 - 93],97.3% [85.31% - 124.69%],156,48,404,10-20-2020
19,AR- LITTLE ROCK,86.87,196,179,233,82.88,94.47,196 [179 - 233],86.87% [82.88% - 94.47%],396,166,835,10-20-2020
21,AR- SPRINGDALE,90.55,49,45,59,85.2,102.33,49 [45 - 59],90.55% [85.2% - 102.33%],111,55,236,10-20-2020
22,AR- TEXARKANA,93.01,63,58,81,85.1,115.2,63 [58 - 81],93.01% [85.1% - 115.2%],127,50,345,10-20-2020
23,CA- ORANGE CO.,82.15,75,70,87,81.01,84.05,75 [70 - 87],82.15% [81.01% - 84.05%],164,77,310,10-20-2020
25,CA- BAKERSFIELD,81.65,24,23,28,80.83,83.01,24 [23 - 28],81.65% [80.83% - 83.01%],59,30,109,10-20-2020
31,CA- CHICO,81.59,0,0,1,80.0,83.12,0 [0 - 1],81.59% [80.0% - 83.12%],10,0,20,10-20-2020
33,CA- CONTRA COSTA CO.,82.2,21,20,24,81.05,84.19,21 [20 - 24],82.2% [81.05% - 84.19%],43,21,84,10-20-2020
43,CA- FRESNO,82.5,28,26,32,81.36,85.34,28 [26 - 32],82.5% [81.36% - 85.34%],57,31,122,10-20-2020
56,CA- LOS ANGELES,84.39,534,494,605,82.27,87.82,534 [494 - 605],84.39% [82.27% - 87.82%],1088,563,1939,10-20-2020
58,CA- MODESTO,92.57,102,92,160,84.65,131.6,102 [92 - 160],92.57% [84.65% - 131.6%],216,80,887,10-20-2020
62,CA- NAPA,81.61,0,0,0,80.0,81.72,0 [0 - 0],81.61% [80.0% - 81.72%],9,0,10,10-20-2020
