date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
09-06-2020,12,10,13
09-07-2020,12,10,13
09-08-2020,11,10,13
09-09-2020,11,10,15
09-10-2020,11,10,13
09-11-2020,13,10,13
09-12-2020,13,12,15
09-13-2020,13,12,15
09-14-2020,13,12,13
09-15-2020,14,12,14
09-16-2020,14,12,14
09-17-2020,14,12,14
09-18-2020,14,12,14
09-19-2020,14,12,14
09-20-2020,14,12,14
09-21-2020,14,12,14
09-22-2020,14,12,14
09-23-2020,14,12,16
09-24-2020,14,12,16
09-25-2020,14,12,17
09-26-2020,14,13,18
09-27-2020,14,13,18
09-28-2020,14,13,18
09-29-2020,14,13,18
09-30-2020,14,13,18
10-01-2020,16,13,18
10-02-2020,16,13,18
10-03-2020,16,13,20
10-04-2020,16,13,20
10-05-2020,18,13,20
10-06-2020,18,13,22
10-07-2020,18,13,22
10-08-2020,18,13,22
10-09-2020,18,13,23
10-10-2020,18,13,23
10-11-2020,18,13,23
10-12-2020,18,13,23
10-13-2020,18,13,23
10-14-2020,18,13,23
10-15-2020,18,13,25
10-16-2020,18,13,27
10-17-2020,19,13,27
10-18-2020,20,13,27
10-19-2020,20,15,27
10-20-2020,20,15,27
10-21-2020,20,15,28
10-22-2020,20,15,28
10-23-2020,20,15,28
10-24-2020,21,15,30
10-25-2020,22,15,32
10-26-2020,22,15,32
10-27-2020,22,15,32
10-28-2020,22,15,32
10-29-2020,22,15,33
10-30-2020,23,15,33
10-31-2020,23,15,33
11-01-2020,23,15,33
11-02-2020,23,15,37
11-03-2020,23,15,37
11-04-2020,23,15,37
11-05-2020,23,15,37
11-06-2020,23,15,37
11-07-2020,23,15,37
