HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,88.22,301,279,313,84.31,90.09,301 [279 - 313],88.22% [84.31% - 90.09%],694,364,852,08-04-2020
2,AL- DOTHAN,89.82,54,50,58,85.65,93.18,54 [50 - 58],89.82% [85.65% - 93.18%],130,75,175,08-04-2020
5,AL- HUNTSVILLE,91.13,90,84,93,86.06,93.72,90 [84 - 93],91.13% [86.06% - 93.72%],209,114,258,08-04-2020
6,AL- MOBILE,91.45,139,131,143,86.79,93.51,139 [131 - 143],91.45% [86.79% - 93.51%],327,194,386,08-04-2020
7,AL- MONTGOMERY,89.33,60,56,63,84.92,91.58,60 [56 - 63],89.33% [84.92% - 91.58%],144,76,179,08-04-2020
9,AL- TUSCALOOSA,88.44,33,31,35,84.21,90.32,33 [31 - 35],88.44% [84.21% - 90.32%],84,42,103,08-04-2020
11,AZ- MESA,88.14,61,58,64,84.95,89.95,61 [58 - 64],88.14% [84.95% - 89.95%],161,98,197,08-04-2020
12,AZ- PHOENIX,85.4,163,153,170,83.26,86.72,163 [153 - 170],85.4% [83.26% - 86.72%],409,247,509,08-04-2020
14,AZ- SUN CITY,83.43,7,7,8,81.98,84.2,7 [7 - 8],83.43% [81.98% - 84.2%],27,16,34,08-04-2020
15,AZ- TUCSON,85.44,52,48,55,82.97,86.74,52 [48 - 55],85.44% [82.97% - 86.74%],137,75,170,08-04-2020
16,AR- FORT SMITH,93.64,85,80,91,87.96,99.05,85 [80 - 91],93.64% [87.96% - 99.05%],174,102,244,08-04-2020
18,AR- JONESBORO,84.2,13,13,16,82.1,88.08,13 [13 - 16],84.2% [82.1% - 88.08%],37,19,73,08-04-2020
19,AR- LITTLE ROCK,82.63,58,52,74,81.0,86.31,58 [52 - 74],82.63% [81.0% - 86.31%],151,58,364,08-04-2020
21,AR- SPRINGDALE,89.05,38,35,45,84.26,96.93,38 [35 - 45],89.05% [84.26% - 96.93%],95,45,179,08-04-2020
22,AR- TEXARKANA,89.96,48,45,53,84.69,96.84,48 [45 - 53],89.96% [84.69% - 96.84%],97,46,165,08-04-2020
23,CA- ORANGE CO.,90.73,428,378,502,82.4,103.91,428 [378 - 502],90.73% [82.4% - 103.91%],820,184,1829,08-04-2020
25,CA- BAKERSFIELD,88.25,154,135,189,81.24,101.6,154 [135 - 189],88.25% [81.24% - 101.6%],298,45,781,08-04-2020
31,CA- CHICO,92.31,35,31,45,81.41,112.66,35 [31 - 45],92.31% [81.41% - 112.66%],78,9,209,08-04-2020
33,CA- CONTRA COSTA CO.,90.26,101,91,115,82.8,99.67,101 [91 - 115],90.26% [82.8% - 99.67%],205,56,394,08-04-2020
43,CA- FRESNO,93.74,164,144,203,81.97,117.32,164 [144 - 203],93.74% [81.97% - 117.32%],313,45,852,08-04-2020
56,CA- LOS ANGELES,88.67,1231,1083,1448,81.85,100.49,1231 [1083 - 1448],88.67% [81.85% - 100.49%],2150,459,5081,08-04-2020
58,CA- MODESTO,92.7,110,98,129,82.56,107.57,110 [98 - 129],92.7% [82.56% - 107.57%],218,44,474,08-04-2020
62,CA- NAPA,90.76,28,26,33,82.41,101.82,28 [26 - 33],90.76% [82.41% - 101.82%],62,14,127,08-04-2020
65,CA- ALAMEDA CO.,88.82,151,136,171,82.46,96.93,151 [136 - 171],88.82% [82.46% - 96.93%],298,83,572,08-04-2020
69,CA- PALM SPR/RANCHO MIR.,88.09,41,37,49,81.71,98.04,41 [37 - 49],88.09% [81.71% - 98.04%],85,18,190,08-04-2020
73,CA- REDDING,86.86,35,31,43,81.02,96.54,35 [31 - 43],86.86% [81.02% - 96.54%],74,11,179,08-04-2020
77,CA- SACRAMENTO,91.91,292,261,335,82.99,104.31,292 [261 - 335],91.91% [82.99% - 104.31%],569,143,1163,08-04-2020
78,CA- SALINAS,91.43,42,38,49,82.65,103.46,42 [38 - 49],91.43% [82.65% - 103.46%],90,21,186,08-04-2020
79,CA- SAN BERNARDINO,94.0,419,370,493,83.08,111.37,419 [370 - 493],94.0% [83.08% - 111.37%],809,178,1814,08-04-2020
80,CA- SAN DIEGO,92.96,477,423,556,82.9,108.24,477 [423 - 556],92.96% [82.9% - 108.24%],911,204,1986,08-04-2020
81,CA- SAN FRANCISCO,85.2,132,118,150,81.42,89.95,132 [118 - 150],85.2% [81.42% - 89.95%],263,72,505,08-04-2020
82,CA- SAN JOSE,90.63,161,145,183,82.94,100.39,161 [145 - 183],90.63% [82.94% - 100.39%],321,89,617,08-04-2020
83,CA- SAN LUIS OBISPO,92.84,28,25,34,82.19,110.04,28 [25 - 34],92.84% [82.19% - 110.04%],58,10,137,08-04-2020
85,CA- SAN MATEO CO.,85.77,77,70,87,81.59,91.02,77 [70 - 87],85.77% [81.59% - 91.02%],155,43,297,08-04-2020
86,CA- SANTA BARBARA,91.27,51,45,62,82.07,106.29,51 [45 - 62],91.27% [82.07% - 106.29%],108,20,254,08-04-2020
87,CA- SANTA CRUZ,95.28,24,22,28,83.34,110.64,24 [22 - 28],95.28% [83.34% - 110.64%],54,12,110,08-04-2020
89,CA- SANTA ROSA,85.06,43,39,50,81.29,89.89,43 [39 - 50],85.06% [81.29% - 89.89%],94,24,184,08-04-2020
91,CA- STOCKTON,92.47,63,57,73,82.92,105.21,63 [57 - 73],92.47% [82.92% - 105.21%],132,31,268,08-04-2020
96,CA- VENTURA,93.19,105,93,125,82.73,109.75,105 [93 - 125],93.19% [82.73% - 109.75%],207,43,468,08-04-2020
101,CO- BOULDER,94.28,33,31,38,86.32,108.0,33 [31 - 38],94.28% [86.32% - 108.0%],67,30,133,08-04-2020
102,CO- COLORADO SPRINGS,97.17,90,82,107,85.99,118.74,90 [82 - 107],97.17% [85.99% - 118.74%],177,62,401,08-04-2020
103,CO- DENVER,92.72,319,292,360,85.34,105.12,319 [292 - 360],92.72% [85.34% - 105.12%],607,255,1200,08-04-2020
104,CO- FORT COLLINS,90.35,33,31,38,84.23,100.81,33 [31 - 38],90.35% [84.23% - 100.81%],66,27,133,08-04-2020
105,CO- GRAND JUNCTION,87.05,28,26,34,81.64,98.69,28 [26 - 34],87.05% [81.64% - 98.69%],55,13,148,08-04-2020
106,CO- GREELEY,89.91,35,33,41,83.73,100.98,35 [33 - 41],89.91% [83.73% - 100.98%],76,29,163,08-04-2020
107,CO- PUEBLO,84.42,14,13,19,81.25,93.16,14 [13 - 19],84.42% [81.25% - 93.16%],35,10,105,08-04-2020
109,CT- BRIDGEPORT,82.46,14,13,17,80.77,85.19,14 [13 - 17],82.46% [80.77% - 85.19%],41,13,88,08-04-2020
110,CT- HARTFORD,81.89,28,26,43,80.52,88.17,28 [26 - 43],81.89% [80.52% - 88.17%],61,17,266,08-04-2020
111,CT- NEW HAVEN,81.74,28,26,39,80.62,85.92,28 [26 - 39],81.74% [80.62% - 85.92%],66,24,228,08-04-2020
112,DE- WILMINGTON,90.26,91,86,98,85.64,95.2,91 [86 - 98],90.26% [85.64% - 95.2%],191,105,283,08-04-2020
113,DC- WASHINGTON,91.31,282,269,293,87.52,94.45,282 [269 - 293],91.31% [87.52% - 94.45%],621,413,793,08-04-2020
