date,Total Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound
07-19-2020,3,1,9
07-20-2020,3,1,9
07-21-2020,3,1,10
07-22-2020,3,2,10
07-23-2020,3,2,10
07-24-2020,4,2,11
07-25-2020,4,2,11
07-26-2020,4,2,12
07-27-2020,4,2,12
07-28-2020,5,2,13
07-29-2020,5,3,13
07-30-2020,5,3,14
07-31-2020,6,3,14
08-01-2020,6,3,14
08-02-2020,6,3,14
08-03-2020,6,3,15
08-04-2020,6,3,14
08-05-2020,6,3,13
08-06-2020,5,3,12
08-07-2020,5,2,11
08-08-2020,5,2,11
08-09-2020,5,2,10
08-10-2020,5,2,10
08-11-2020,4,2,10
08-12-2020,4,2,9
08-13-2020,4,2,9
08-14-2020,4,2,9
08-15-2020,4,2,9
08-16-2020,4,1,8
08-17-2020,4,1,8
08-18-2020,4,1,8
08-19-2020,4,1,7
08-20-2020,4,1,7
08-21-2020,4,1,7
08-22-2020,4,1,7
08-23-2020,4,1,6
08-24-2020,4,2,6
08-25-2020,3,2,6
08-26-2020,3,2,6
08-27-2020,3,1,6
08-28-2020,3,1,6
08-29-2020,3,1,6
08-30-2020,3,1,6
08-31-2020,3,1,6
09-01-2020,3,1,6
09-02-2020,3,1,6
09-03-2020,3,1,6
09-04-2020,3,1,6
09-05-2020,2,1,6
09-06-2020,3,1,6
09-07-2020,2,1,5
09-08-2020,2,1,5
09-09-2020,2,1,5
09-10-2020,2,1,5
09-11-2020,3,1,5
09-12-2020,3,1,5
