HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,85.89,494,463,515,83.59,87.38,494 [463 - 515],85.89% [83.59% - 87.38%],497,303,623,08-04-2020
2,AL- DOTHAN,87.05,90,84,95,83.99,88.96,90 [84 - 95],87.05% [83.99% - 88.96%],93,53,119,08-04-2020
5,AL- HUNTSVILLE,87.85,144,135,150,84.84,89.89,144 [135 - 150],87.85% [84.84% - 89.89%],147,91,186,08-04-2020
6,AL- MOBILE,88.59,243,228,251,85.18,90.22,243 [228 - 251],88.59% [85.18% - 90.22%],245,148,292,08-04-2020
7,AL- MONTGOMERY,86.74,101,95,105,84.01,88.54,101 [95 - 105],86.74% [84.01% - 88.54%],104,62,132,08-04-2020
9,AL- TUSCALOOSA,85.98,56,53,59,83.51,87.62,56 [53 - 59],85.98% [83.51% - 87.62%],59,35,76,08-04-2020
11,AZ- MESA,87.09,136,128,139,84.55,88.03,136 [128 - 139],87.09% [84.55% - 88.03%],140,90,159,08-04-2020
12,AZ- PHOENIX,84.65,348,327,356,82.93,85.35,348 [327 - 356],84.65% [82.93% - 85.35%],352,222,405,08-04-2020
14,AZ- SUN CITY,82.98,21,20,22,81.85,83.33,21 [20 - 22],82.98% [81.85% - 83.33%],24,15,27,08-04-2020
15,AZ- TUCSON,84.69,114,106,117,82.65,85.43,114 [106 - 117],84.69% [82.65% - 85.43%],118,67,137,08-04-2020
16,AR- FORT SMITH,86.3,78,73,83,83.2,88.35,78 [73 - 83],86.3% [83.2% - 88.35%],80,41,107,08-04-2020
18,AR- JONESBORO,83.15,25,24,28,81.44,84.65,25 [24 - 28],83.15% [81.44% - 84.65%],28,13,42,08-04-2020
19,AR- LITTLE ROCK,82.16,122,111,137,80.9,83.86,122 [111 - 137],82.16% [80.9% - 83.86%],124,52,223,08-04-2020
21,AR- SPRINGDALE,86.57,66,61,72,83.12,89.37,66 [61 - 72],86.57% [83.12% - 89.37%],69,33,99,08-04-2020
22,AR- TEXARKANA,84.29,37,34,42,81.94,87.45,37 [34 - 42],84.29% [81.94% - 87.45%],42,19,73,08-04-2020
23,CA- ORANGE CO.,84.59,348,307,420,81.01,91.08,348 [307 - 420],84.59% [81.01% - 91.08%],350,77,848,08-04-2020
25,CA- BAKERSFIELD,83.28,114,100,149,80.47,89.85,114 [100 - 149],83.28% [80.47% - 89.85%],118,17,356,08-04-2020
31,CA- CHICO,84.92,28,25,38,80.31,94.84,28 [25 - 38],84.92% [80.31% - 94.84%],31,2,95,08-04-2020
33,CA- CONTRA COSTA CO.,84.57,88,79,103,81.2,89.44,88 [79 - 103],84.57% [81.2% - 89.44%],91,24,189,08-04-2020
43,CA- FRESNO,85.37,118,103,157,80.83,97.0,118 [103 - 157],85.37% [80.83% - 97.0%],122,19,388,08-04-2020
56,CA- LOS ANGELES,83.62,1004,884,1213,80.77,89.37,1004 [884 - 1213],83.62% [80.77% - 89.37%],897,192,2324,08-04-2020
58,CA- MODESTO,85.65,92,81,111,81.11,92.91,92 [81 - 111],85.65% [81.11% - 92.91%],97,19,222,08-04-2020
62,CA- NAPA,84.47,24,21,29,80.86,90.65,24 [21 - 29],84.47% [80.86% - 90.65%],26,5,62,08-04-2020
65,CA- ALAMEDA CO.,83.98,132,119,153,81.07,88.17,132 [119 - 153],83.98% [81.07% - 88.17%],134,36,276,08-04-2020
