HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,84.92,412,367,464,81.35,89.03,412 [367 - 464],84.92% [81.35% - 89.03%],415,114,763,07-13-2020
2,AL- DOTHAN,85.75,72,64,87,81.51,93.03,72 [64 - 87],85.75% [81.51% - 93.03%],76,20,173,07-13-2020
5,AL- HUNTSVILLE,87.19,131,118,145,82.23,92.02,131 [118 - 145],87.19% [82.23% - 92.02%],135,42,226,07-13-2020
6,AL- MOBILE,85.33,149,134,171,81.72,90.29,149 [134 - 171],85.33% [81.72% - 90.29%],152,49,294,07-13-2020
7,AL- MONTGOMERY,84.88,72,64,85,80.91,90.09,72 [64 - 85],84.88% [80.91% - 90.09%],75,14,156,07-13-2020
9,AL- TUSCALOOSA,84.98,47,42,54,81.2,89.62,47 [42 - 54],84.98% [81.2% - 89.62%],49,12,96,07-13-2020
11,AZ- MESA,94.97,293,264,333,84.7,108.33,293 [264 - 333],94.97% [84.7% - 108.33%],296,93,561,07-13-2020
12,AZ- PHOENIX,89.55,720,645,820,82.92,98.46,720 [645 - 820],89.55% [82.92% - 98.46%],723,221,1398,07-13-2020
14,AZ- SUN CITY,86.3,49,45,55,81.98,91.85,49 [45 - 55],86.3% [81.98% - 91.85%],51,16,96,07-13-2020
15,AZ- TUCSON,88.79,219,194,258,82.02,99.26,219 [194 - 258],88.79% [82.02% - 99.26%],221,51,486,07-13-2020
16,AR- FORT SMITH,84.0,47,42,56,80.7,88.59,47 [42 - 56],84.0% [80.7% - 88.59%],51,9,110,07-13-2020
18,AR- JONESBORO,84.3,35,32,39,81.22,86.86,35 [32 - 39],84.3% [81.22% - 86.86%],38,11,62,07-13-2020
19,AR- LITTLE ROCK,83.98,227,200,246,80.66,86.1,227 [200 - 246],83.98% [80.66% - 86.1%],229,38,352,07-13-2020
21,AR- SPRINGDALE,88.21,82,74,92,82.08,94.1,82 [74 - 92],88.21% [82.08% - 94.1%],86,22,149,07-13-2020
22,AR- TEXARKANA,86.26,58,53,65,82.04,90.82,58 [53 - 65],86.26% [82.04% - 90.82%],61,20,106,07-13-2020
23,CA- ORANGE CO.,86.89,524,464,589,81.49,92.31,524 [464 - 589],86.89% [81.49% - 92.31%],526,114,942,07-13-2020
25,CA- BAKERSFIELD,84.95,176,154,207,80.69,90.51,176 [154 - 207],84.95% [80.69% - 90.51%],179,25,380,07-13-2020
31,CA- CHICO,87.33,43,38,51,80.94,95.62,43 [38 - 51],87.33% [80.94% - 95.62%],46,6,100,07-13-2020
33,CA- CONTRA COSTA CO.,87.33,143,128,157,81.9,91.48,143 [128 - 157],87.33% [81.9% - 91.48%],146,38,230,07-13-2020
43,CA- FRESNO,88.22,185,162,219,81.1,98.0,185 [162 - 219],88.22% [81.1% - 98.0%],187,25,411,07-13-2020
56,CA- LOS ANGELES,85.72,1508,1333,1699,81.16,91.42,1508 [1333 - 1699],85.72% [81.16% - 91.42%],1418,288,2832,07-13-2020
58,CA- MODESTO,88.37,140,125,156,81.69,94.31,140 [125 - 156],88.37% [81.69% - 94.31%],143,29,246,07-13-2020
62,CA- NAPA,86.81,35,32,40,81.2,91.68,35 [32 - 40],86.81% [81.2% - 91.68%],39,7,68,07-13-2020
65,CA- ALAMEDA CO.,86.34,210,188,229,81.66,89.91,210 [188 - 229],86.34% [81.66% - 89.91%],214,56,335,07-13-2020
69,CA- PALM SPR/RANCHO MIR.,85.12,50,44,57,81.04,89.21,50 [44 - 57],85.12% [81.04% - 89.21%],53,11,97,07-13-2020
73,CA- REDDING,84.21,42,38,49,80.65,88.41,42 [38 - 49],84.21% [80.65% - 88.41%],45,7,91,07-13-2020
77,CA- SACRAMENTO,88.22,388,346,427,81.88,93.4,388 [346 - 427],88.22% [81.88% - 93.4%],393,90,641,07-13-2020
78,CA- SALINAS,87.75,56,50,62,81.64,92.61,56 [50 - 62],87.75% [81.64% - 92.61%],61,13,100,07-13-2020
79,CA- SAN BERNARDINO,88.85,508,449,573,81.87,96.0,508 [449 - 573],88.85% [81.87% - 96.0%],511,108,925,07-13-2020
80,CA- SAN DIEGO,88.28,579,513,649,81.76,94.62,579 [513 - 649],88.28% [81.76% - 94.62%],582,124,1028,07-13-2020
81,CA- SAN FRANCISCO,83.73,186,167,203,80.99,85.85,186 [167 - 203],83.73% [80.99% - 85.85%],189,50,297,07-13-2020
82,CA- SAN JOSE,87.65,229,205,249,82.02,92.0,229 [205 - 249],87.65% [82.02% - 92.0%],231,61,363,07-13-2020
83,CA- SAN LUIS OBISPO,88.38,35,31,40,81.32,95.13,35 [31 - 40],88.38% [81.32% - 95.13%],38,6,69,07-13-2020
85,CA- SAN MATEO CO.,84.17,109,98,118,81.11,86.49,109 [98 - 118],84.17% [81.11% - 86.49%],112,30,175,07-13-2020
86,CA- SANTA BARBARA,87.2,65,57,74,81.24,93.25,65 [57 - 74],87.2% [81.24% - 93.25%],69,12,128,07-13-2020
87,CA- SANTA CRUZ,90.85,35,32,39,82.51,97.27,35 [32 - 39],90.85% [82.51% - 97.27%],38,9,62,07-13-2020
89,CA- SANTA ROSA,83.6,63,57,69,80.86,85.64,63 [57 - 69],83.6% [80.86% - 85.64%],67,16,105,07-13-2020
91,CA- STOCKTON,88.51,87,78,96,81.98,93.73,87 [78 - 96],88.51% [81.98% - 93.73%],90,21,146,07-13-2020
96,CA- VENTURA,88.45,129,114,146,81.65,95.26,129 [114 - 146],88.45% [81.65% - 95.26%],132,26,240,07-13-2020
101,CO- BOULDER,83.77,14,13,19,81.05,90.74,14 [13 - 19],83.77% [81.05% - 90.74%],17,5,51,07-13-2020
102,CO- COLORADO SPRINGS,84.17,42,38,58,80.87,94.2,42 [38 - 58],84.17% [80.87% - 94.2%],43,9,147,07-13-2020
103,CO- DENVER,83.5,162,144,207,80.82,89.69,162 [144 - 207],83.5% [80.82% - 89.69%],166,39,463,07-13-2020
104,CO- FORT COLLINS,83.84,21,20,26,81.25,89.23,21 [20 - 26],83.84% [81.25% - 89.23%],24,8,59,07-13-2020
