region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,80.3,173,159,197,80.14,80.54,173 [159 - 197],80.3% [80.14% - 80.54%],25,12,46,04-28-2021,projected
2,AL- DOTHAN,80.38,35,32,41,80.23,80.68,35 [32 - 41],80.38% [80.23% - 80.68%],5,3,9,04-28-2021,projected
5,AL- HUNTSVILLE,80.53,70,65,80,80.32,81.01,70 [65 - 80],80.53% [80.32% - 81.01%],10,6,19,04-28-2021,projected
6,AL- MOBILE,82.45,468,433,519,81.3,84.03,468 [433 - 519],82.45% [81.3% - 84.03%],70,37,115,04-28-2021,projected
7,AL- MONTGOMERY,80.39,41,38,48,80.19,80.78,41 [38 - 48],80.39% [80.19% - 80.78%],6,3,12,04-28-2021,projected
9,AL- TUSCALOOSA,80.1,7,7,10,80.1,80.4,7 [7 - 10],80.1% [80.1% - 80.4%],1,1,4,04-28-2021,projected
11,AZ- MESA,81.31,176,163,203,80.76,82.47,176 [163 - 203],81.31% [80.76% - 82.47%],26,15,49,04-28-2021,projected
12,AZ- PHOENIX,80.73,382,355,444,80.41,81.43,382 [355 - 444],80.73% [80.41% - 81.43%],55,31,108,04-28-2021,projected
14,AZ- SUN CITY,80.62,33,30,38,80.37,81.11,33 [30 - 38],80.62% [80.37% - 81.11%],5,3,9,04-28-2021,projected
15,AZ- TUCSON,80.44,71,65,81,80.24,80.79,71 [65 - 81],80.44% [80.24% - 80.79%],11,6,20,04-28-2021,projected
16,AR- FORT SMITH,80.94,72,63,100,80.23,82.97,72 [63 - 100],80.94% [80.23% - 82.97%],12,3,38,04-28-2021,projected
18,AR- JONESBORO,80.22,14,14,18,80.22,80.66,14 [14 - 18],80.22% [80.22% - 80.66%],2,2,6,04-28-2021,projected
19,AR- LITTLE ROCK,80.24,94,85,117,80.12,80.57,94 [85 - 117],80.24% [80.12% - 80.57%],14,7,33,04-28-2021,projected
21,AR- SPRINGDALE,80.57,39,35,49,80.19,81.23,39 [35 - 49],80.57% [80.19% - 81.23%],6,2,13,04-28-2021,projected
22,AR- TEXARKANA,80.2,14,12,18,80.0,80.51,14 [12 - 18],80.2% [80.0% - 80.51%],2,0,5,04-28-2021,projected
23,CA- ORANGE CO.,80.04,17,15,20,80.03,80.08,17 [15 - 20],80.04% [80.03% - 80.08%],3,2,6,04-28-2021,projected
25,CA- BAKERSFIELD,80.03,7,6,9,80.0,80.08,7 [6 - 9],80.03% [80.0% - 80.08%],1,0,3,04-28-2021,projected
31,CA- CHICO,80.31,11,10,14,80.16,80.62,11 [10 - 14],80.31% [80.16% - 80.62%],2,1,4,04-28-2021,projected
33,CA- CONTRA COSTA CO.,80.2,25,23,29,80.1,80.35,25 [23 - 29],80.2% [80.1% - 80.35%],4,2,7,04-28-2021,projected
43,CA- FRESNO,80.04,7,6,9,80.0,80.13,7 [6 - 9],80.04% [80.0% - 80.13%],1,0,3,04-28-2021,projected
56,CA- LOS ANGELES,80.03,38,33,47,80.01,80.06,38 [33 - 47],80.03% [80.01% - 80.06%],7,2,15,04-28-2021,projected
58,CA- MODESTO,80.17,11,8,15,80.0,80.29,11 [8 - 15],80.17% [80.0% - 80.29%],3,0,5,04-28-2021,projected
62,CA- NAPA,80.17,7,6,7,80.0,80.17,7 [6 - 7],80.17% [80.0% - 80.17%],1,0,1,04-28-2021,projected
65,CA- ALAMEDA CO.,80.18,40,37,45,80.09,80.33,40 [37 - 45],80.18% [80.09% - 80.33%],6,3,11,04-28-2021,projected
69,CA- PALM SPR/RANCHO MIR.,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],0,0,0,04-28-2021,projected
73,CA- REDDING,80.74,50,46,57,80.37,81.2,50 [46 - 57],80.74% [80.37% - 81.2%],8,4,13,04-28-2021,projected
77,CA- SACRAMENTO,80.23,63,56,68,80.08,80.31,63 [56 - 68],80.23% [80.08% - 80.31%],11,4,15,04-28-2021,projected
78,CA- SALINAS,80.0,0,0,1,80.0,80.13,0 [0 - 1],80.0% [80.0% - 80.13%],0,0,1,04-28-2021,projected
79,CA- SAN BERNARDINO,80.05,15,12,18,80.0,80.1,15 [12 - 18],80.05% [80.0% - 80.1%],3,0,6,04-28-2021,projected
80,CA- SAN DIEGO,80.09,37,34,43,80.04,80.17,37 [34 - 43],80.09% [80.04% - 80.17%],6,3,12,04-28-2021,projected
81,CA- SAN FRANCISCO,80.08,23,21,28,80.04,80.16,23 [21 - 28],80.08% [80.04% - 80.16%],4,2,8,04-28-2021,projected
82,CA- SAN JOSE,80.17,30,27,34,80.07,80.26,30 [27 - 34],80.17% [80.07% - 80.26%],5,2,8,04-28-2021,projected
83,CA- SAN LUIS OBISPO,80.22,7,6,8,80.22,80.44,7 [6 - 8],80.22% [80.22% - 80.44%],1,1,2,04-28-2021,projected
85,CA- SAN MATEO CO.,80.07,14,13,17,80.04,80.19,14 [13 - 17],80.07% [80.04% - 80.19%],2,1,5,04-28-2021,projected
86,CA- SANTA BARBARA,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],0,0,0,04-28-2021,projected
87,CA- SANTA CRUZ,80.84,20,18,22,80.28,81.39,20 [18 - 22],80.84% [80.28% - 81.39%],3,1,5,04-28-2021,projected
89,CA- SANTA ROSA,80.0,0,0,1,80.0,80.05,0 [0 - 1],80.0% [80.0% - 80.05%],0,0,1,04-28-2021,projected
91,CA- STOCKTON,80.28,16,14,17,80.09,80.38,16 [14 - 17],80.28% [80.09% - 80.38%],3,1,4,04-28-2021,projected
96,CA- VENTURA,80.06,7,6,8,80.06,80.13,7 [6 - 8],80.06% [80.06% - 80.13%],1,1,2,04-28-2021,projected
101,CO- BOULDER,80.84,25,23,28,80.42,81.26,25 [23 - 28],80.84% [80.42% - 81.26%],4,2,6,04-28-2021,projected
102,CO- COLORADO SPRINGS,81.74,117,108,128,80.97,82.71,117 [108 - 128],81.74% [80.97% - 82.71%],18,10,28,04-28-2021,projected
103,CO- DENVER,80.82,253,235,278,80.46,81.32,253 [235 - 278],80.82% [80.46% - 81.32%],39,22,63,04-28-2021,projected
104,CO- FORT COLLINS,81.1,44,40,50,80.47,81.88,44 [40 - 50],81.1% [80.47% - 81.88%],7,3,12,04-28-2021,projected
105,CO- GRAND JUNCTION,80.51,26,23,30,80.25,80.88,26 [23 - 30],80.51% [80.25% - 80.88%],4,2,7,04-28-2021,projected
106,CO- GREELEY,80.64,34,31,37,80.39,81.03,34 [31 - 37],80.64% [80.39% - 81.03%],5,3,8,04-28-2021,projected
107,CO- PUEBLO,80.63,31,29,35,80.38,81.13,31 [29 - 35],80.63% [80.38% - 81.13%],5,3,9,04-28-2021,projected
109,CT- BRIDGEPORT,80.18,20,18,22,80.12,80.29,20 [18 - 22],80.18% [80.12% - 80.29%],3,2,5,04-28-2021,projected
110,CT- HARTFORD,80.21,46,42,51,80.18,80.37,46 [42 - 51],80.21% [80.18% - 80.37%],7,6,12,04-28-2021,projected
111,CT- NEW HAVEN,80.21,47,44,53,80.13,80.34,47 [44 - 53],80.21% [80.13% - 80.34%],8,5,13,04-28-2021,projected
112,DE- WILMINGTON,80.75,85,78,94,80.38,81.13,85 [78 - 94],80.75% [80.38% - 81.13%],14,7,21,04-28-2021,projected
113,DC- WASHINGTON,80.49,174,161,190,80.29,80.77,174 [161 - 190],80.49% [80.29% - 80.77%],27,16,42,04-28-2021,projected
115,FL- BRADENTON,80.85,38,35,42,80.56,81.27,38 [35 - 42],80.85% [80.56% - 81.27%],6,4,9,04-28-2021,projected
116,FL- CLEARWATER,80.31,33,30,36,80.18,80.49,33 [30 - 36],80.31% [80.18% - 80.49%],5,3,8,04-28-2021,projected
118,FL- FORT LAUDERDALE,80.47,258,241,281,80.28,80.74,258 [241 - 281],80.47% [80.28% - 80.74%],41,24,64,04-28-2021,projected
119,FL- FORT MYERS,80.58,140,130,153,80.34,80.86,140 [130 - 153],80.58% [80.34% - 80.86%],22,13,33,04-28-2021,projected
120,FL- GAINESVILLE,80.22,28,26,33,80.16,80.49,28 [26 - 33],80.22% [80.16% - 80.49%],4,3,9,04-28-2021,projected
122,FL- HUDSON,80.8,61,57,67,80.48,81.2,61 [57 - 67],80.8% [80.48% - 81.2%],10,6,15,04-28-2021,projected
123,FL- JACKSONVILLE,80.51,156,144,183,80.26,81.04,156 [144 - 183],80.51% [80.26% - 81.04%],25,13,51,04-28-2021,projected
124,FL- LAKELAND,80.94,64,59,69,80.47,81.4,64 [59 - 69],80.94% [80.47% - 81.4%],10,5,15,04-28-2021,projected
127,FL- MIAMI,80.34,222,200,258,80.14,80.68,222 [200 - 258],80.34% [80.14% - 80.68%],37,15,73,04-28-2021,projected
129,FL- OCALA,80.66,61,57,67,80.44,81.1,61 [57 - 67],80.66% [80.44% - 81.1%],9,6,15,04-28-2021,projected
