region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,85.8,236,218,260,83.2,88.11,236 [218 - 260],85.8% [83.2% - 88.11%],490,270,685,02-02-2021,projected
2,AL- DOTHAN,89.56,62,58,70,85.95,93.93,62 [58 - 70],89.56% [85.95% - 93.93%],127,79,185,02-02-2021,projected
5,AL- HUNTSVILLE,88.19,82,77,89,85.32,91.22,82 [77 - 89],88.19% [85.32% - 91.22%],154,100,211,02-02-2021,projected
6,AL- MOBILE,88.05,128,118,138,85.04,91.41,128 [118 - 138],88.05% [85.04% - 91.41%],230,144,326,02-02-2021,projected
7,AL- MONTGOMERY,89.51,84,77,91,85.76,93.58,84 [77 - 91],89.51% [85.76% - 93.58%],147,89,210,02-02-2021,projected
9,AL- TUSCALOOSA,89.82,54,50,61,86.11,95.43,54 [50 - 61],89.82% [86.11% - 95.43%],98,61,154,02-02-2021,projected
11,AZ- MESA,100.66,213,198,232,92.88,109.7,213 [198 - 232],100.66% [92.88% - 109.7%],409,255,588,02-02-2021,projected
12,AZ- PHOENIX,91.6,453,421,492,87.22,96.73,453 [421 - 492],91.6% [87.22% - 96.73%],879,547,1267,02-02-2021,projected
14,AZ- SUN CITY,88.4,35,32,38,85.19,91.98,35 [32 - 38],88.4% [85.19% - 91.98%],68,42,97,02-02-2021,projected
15,AZ- TUCSON,89.83,129,120,140,86.22,94.22,129 [120 - 140],89.83% [86.22% - 94.22%],248,157,359,02-02-2021,projected
16,AR- FORT SMITH,86.95,47,45,54,84.06,91.79,47 [45 - 54],86.95% [84.06% - 91.79%],89,52,151,02-02-2021,projected
18,AR- JONESBORO,82.65,12,11,14,81.55,84.2,12 [11 - 14],82.65% [81.55% - 84.2%],24,14,38,02-02-2021,projected
19,AR- LITTLE ROCK,86.6,212,197,230,84.24,89.27,212 [197 - 230],86.6% [84.24% - 89.27%],381,245,535,02-02-2021,projected
21,AR- SPRINGDALE,90.41,63,59,68,87.0,94.85,63 [59 - 68],90.41% [87.0% - 94.85%],110,74,157,02-02-2021,projected
22,AR- TEXARKANA,102.76,143,135,153,95.92,112.14,143 [135 - 153],102.76% [95.92% - 112.14%],223,156,315,02-02-2021,projected
23,CA- ORANGE CO.,82.33,76,70,83,81.39,83.24,76 [70 - 83],82.33% [81.39% - 83.24%],178,106,248,02-02-2021,projected
25,CA- BAKERSFIELD,84.42,80,75,86,82.96,85.97,80 [75 - 86],84.42% [82.96% - 85.97%],160,107,216,02-02-2021,projected
31,CA- CHICO,83.12,7,7,8,82.03,84.53,7 [7 - 8],83.12% [82.03% - 84.53%],20,13,29,02-02-2021,projected
33,CA- CONTRA COSTA CO.,84.94,54,50,58,83.34,87.09,54 [50 - 58],84.94% [83.34% - 87.09%],99,67,142,02-02-2021,projected
43,CA- FRESNO,86.22,72,67,77,84.16,88.5,72 [67 - 77],86.22% [84.16% - 88.5%],142,95,194,02-02-2021,projected
56,CA- LOS ANGELES,83.77,427,396,458,82.35,85.12,427 [396 - 458],83.77% [82.35% - 85.12%],936,583,1269,02-02-2021,projected
58,CA- MODESTO,86.75,58,54,63,84.3,89.48,58 [54 - 63],86.75% [84.3% - 89.48%],116,74,163,02-02-2021,projected
62,CA- NAPA,83.78,7,6,8,81.89,84.64,7 [6 - 8],83.78% [81.89% - 84.64%],22,11,27,02-02-2021,projected
65,CA- ALAMEDA CO.,83.88,69,65,75,82.63,85.39,69 [65 - 75],83.88% [82.63% - 85.39%],131,89,182,02-02-2021,projected
69,CA- PALM SPR/RANCHO MIR.,83.99,19,17,21,82.37,85.41,19 [17 - 21],83.99% [82.37% - 85.41%],42,25,57,02-02-2021,projected
73,CA- REDDING,82.4,15,14,17,81.48,83.33,15 [14 - 17],82.4% [81.48% - 83.33%],26,16,36,02-02-2021,projected
