region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,102.85,1181,1126,1263,97.16,112.49,1181 [1126 - 1263],102.85% [97.16% - 112.49%],1930,1449,2744,01-26-2021,projected
2,AL- DOTHAN,99.05,146,140,151,98.0,101.31,146 [140 - 151],99.05% [98.0% - 101.31%],253,239,283,01-26-2021,projected
5,AL- HUNTSVILLE,100.48,169,164,176,98.62,101.76,169 [164 - 176],100.48% [98.62% - 101.76%],385,350,409,01-26-2021,projected
6,AL- MOBILE,102.02,376,362,390,98.59,105.76,376 [362 - 390],102.02% [98.59% - 105.76%],629,531,736,01-26-2021,projected
7,AL- MONTGOMERY,116.48,354,339,374,108.4,127.22,354 [339 - 374],116.48% [108.4% - 127.22%],564,439,730,01-26-2021,projected
9,AL- TUSCALOOSA,100.14,118,112,125,94.83,105.25,118 [112 - 125],100.14% [94.83% - 105.25%],201,148,252,01-26-2021,projected
11,AZ- MESA,141.82,549,529,573,136.87,146.97,549 [529 - 573],141.82% [136.87% - 146.97%],1224,1126,1326,01-26-2021,projected
12,AZ- PHOENIX,118.07,1253,1210,1304,115.05,121.12,1253 [1210 - 1304],118.07% [115.05% - 121.12%],2884,2655,3115,01-26-2021,projected
14,AZ- SUN CITY,104.57,76,73,79,102.72,106.42,76 [73 - 79],104.57% [102.72% - 106.42%],199,184,214,01-26-2021,projected
15,AZ- TUCSON,127.86,727,696,770,118.07,140.06,727 [696 - 770],127.86% [118.07% - 140.06%],1208,961,1516,01-26-2021,projected
16,AR- FORT SMITH,99.13,131,126,137,97.56,101.7,131 [126 - 137],99.13% [97.56% - 101.7%],245,225,278,01-26-2021,projected
18,AR- JONESBORO,92.06,56,54,58,91.39,92.5,56 [54 - 58],92.06% [91.39% - 92.5%],109,103,113,01-26-2021,projected
